z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,sw_lints,266,SOLUSDT,-7.234643826055676,1.7089177469290506,-8.793291454774877,-8.793291454774877,2000,1100,0.55,357,179,178,0.193,0.153,0.04,0.193,0.153,0.04,0.3575,0.6425,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,366,BTCUSDT,-4.384405626284726,-0.7331906280653611,-3.6781830919325076,-3.6781830919325076,2000,1195,0.5975,356,178,178,0.17,0.1305,0.0395,0.17,0.1305,0.0395,0.356,0.644,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,366,ETHUSDT,-11.563235085373758,-2.9219492838677086,-8.901379598951987,-8.901379598951987,2000,1037,0.5185,412,206,206,0.263,0.206,0.057,0.263,0.206,0.057,0.412,0.588,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,366,SOLUSDT,-9.41465608612363,0.1881541452183999,-9.584776077841672,-9.584776077841672,2000,1070,0.535,389,195,194,0.23,0.1865,0.0435,0.23,0.1865,0.0435,0.3895,0.6105,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,466,BTCUSDT,-4.822530295244432,-0.6477917751583129,-4.2019584613946055,-4.2019584613946055,2000,1140,0.57,364,182,182,0.186,0.143,0.043,0.186,0.143,0.043,0.364,0.636,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,466,ETHUSDT,-9.482122693834082,-3.609637491448947,-6.092398710362945,-6.092398710362945,2000,1054,0.527,370,185,185,0.218,0.169,0.049,0.218,0.169,0.049,0.37,0.63,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,466,SOLUSDT,-10.35985236616568,0.790796574376107,-11.063161835727186,-11.063161835727186,2000,1051,0.5255,392,196,196,0.2555,0.202,0.0535,0.2555,0.202,0.0535,0.3915,0.6085,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,566,BTCUSDT,-7.5698965333994455,0.07305060982087941,-7.637367999322553,-7.637367999322553,2000,1237,0.6185,380,190,190,0.2045,0.162,0.0425,0.2045,0.162,0.0425,0.38,0.62,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,566,ETHUSDT,-9.582599119032265,-4.5541093423338115,-5.268419354725317,-5.268419354725317,2000,1108,0.554,403,202,201,0.248,0.198,0.05,0.248,0.198,0.05,0.4035,0.5965,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,566,SOLUSDT,-12.098751046432167,0.7050933871593612,-12.714197468014188,-12.714197468014188,2000,1078,0.539,339,170,169,0.176,0.138,0.038,0.176,0.138,0.038,0.3395,0.6605,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,666,BTCUSDT,-5.184729517738262,-1.4133361864900995,-3.825459940892484,-3.825459940892484,2000,1128,0.564,374,187,187,0.2085,0.1705,0.038,0.2085,0.1705,0.038,0.374,0.626,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,666,ETHUSDT,-14.094508396359462,-4.465964122517163,-10.078653314919483,-10.078653314919483,2000,1099,0.5495,403,202,201,0.244,0.192,0.052,0.244,0.192,0.052,0.4025,0.5975,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,666,SOLUSDT,-10.65048368898066,-0.3947118410551398,-10.296413009277073,-10.296413009277073,2000,1036,0.518,355,178,177,0.2055,0.1625,0.043,0.2055,0.1625,0.043,0.3555,0.6445,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,766,BTCUSDT,-4.171223977238969,-1.335106209646486,-2.8744953332831447,-2.8744953332831447,2000,1185,0.5925,372,186,186,0.193,0.157,0.036,0.193,0.157,0.036,0.372,0.628,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,766,ETHUSDT,-10.228262477316974,-4.219682041276895,-6.273293474166053,-6.273293474166053,2000,1075,0.5375,429,215,214,0.2905,0.2355,0.055,0.2905,0.2355,0.055,0.4285,0.5715,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,766,SOLUSDT,-8.045448064892113,0.7474457900102927,-8.727659332654037,-8.727659332654037,2000,1026,0.513,380,190,190,0.232,0.191,0.041,0.232,0.191,0.041,0.3795,0.6205,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,866,BTCUSDT,-6.645743938420368,-2.3628281907752458,-4.38656268742974,-4.38656268742974,2000,1197,0.5985,359,180,179,0.1815,0.1425,0.039,0.1815,0.1425,0.039,0.3595,0.6405,1.0,0.995
