z_window,set_name,algorithm,seed,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_val_full,mean_symbol_val_h1,mean_symbol_val_h2,median_symbol_val_full,median_symbol_val_h1,median_symbol_val_h2,median_symbol_per_symbol_min_half,median_exposure_bars_val,median_exposure_ratio_val,median_n_trade_events_val,mean_constraint_applied_ratio,mean_min_hold_ratio,mean_cooldown_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,discounted_lints,166,-5.203811415259571,0.5,-6.479833822415915,-7.778391995489939,-1.3757441937905364,-6.479833822415915,-6.565744777331939,-1.2199305361390023,-7.219646459806562,-7.219646459806562,1118.0,0.559,367.0,0.18916666666666668,0.147,0.042166666666666665,0.18916666666666668,0.147,0.042166666666666665,0.38033333333333336,0.6196666666666667,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,266,-5.883436667699508,0.5,-6.934798610674775,-9.485590465258698,-2.7293508387737067,-6.934798610674775,-8.79580446301851,-3.028963471335533,-5.744134271260948,-5.744134271260948,1123.0,0.5615,371.0,0.1975,0.15383333333333335,0.043666666666666666,0.1975,0.15383333333333335,0.043666666666666666,0.38466666666666666,0.6153333333333333,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,366,-4.02922509087095,0.5,-5.0832103434111335,-5.957896065467787,-0.8672693332503979,-5.0832103434111335,-7.232140013013377,-1.4640678922500983,-6.527364998178287,-6.527364998178287,1122.0,0.561,358.0,0.18483333333333332,0.14466666666666664,0.04016666666666666,0.18483333333333332,0.14466666666666664,0.04016666666666666,0.3706666666666667,0.6293333333333333,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,466,-6.02123120553499,0.5,-7.299473573311029,-9.324260463182725,-2.186504102206873,-7.299473573311029,-8.899553895506674,-1.3204782599763099,-7.617908657881822,-7.617908657881822,1162.0,0.581,368.0,0.18833333333333332,0.14816666666666667,0.04016666666666666,0.18833333333333332,0.14816666666666667,0.04016666666666666,0.3693333333333333,0.6306666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,566,-7.066021970245423,0.5,-8.20149553976452,-11.549091413761538,-3.659601261688128,-8.20149553976452,-13.106853608717072,-3.0279311456456792,-9.264109894243111,-9.264109894243111,1114.0,0.557,365.0,0.18466666666666667,0.14033333333333334,0.044333333333333336,0.18466666666666667,0.14033333333333334,0.044333333333333336,0.37333333333333335,0.6266666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,666,-6.120354535075743,0.5,-7.499359293311939,-9.375638007403722,-1.983340260367154,-7.499359293311939,-9.397327198721971,-2.577746361416944,-6.365483040743525,-6.365483040743525,1127.0,0.5635,394.0,0.2025,0.15533333333333335,0.04716666666666667,0.2025,0.15533333333333335,0.04716666666666667,0.3838333333333333,0.6161666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,766,-5.342185147957616,0.5,-6.578874177117771,-8.102922214260747,-1.6321180604771504,-6.578874177117771,-8.751022948185494,-1.5243701865290227,-8.154952294340989,-8.154952294340989,1106.0,0.553,372.0,0.18366666666666667,0.14116666666666666,0.0425,0.18366666666666667,0.14116666666666666,0.0425,0.3775,0.6224999999999999,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,866,-4.060042781209315,0.5,-4.9639021318948116,-6.260542843028001,-1.348464729152828,-4.9639021318948116,-6.0204402378965955,-1.0135431500950975,-5.058163760112711,-5.058163760112711,1143.0,0.5715,408.0,0.18883333333333333,0.1465,0.042333333333333334,0.18883333333333333,0.1465,0.042333333333333334,0.38466666666666666,0.6153333333333334,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,966,-3.152554698984635,0.5,-3.2975355688501815,-6.023791094499427,-2.717612089387996,-3.2975355688501815,-5.293945555017898,-2.1328365681017925,-1.5646193165071876,-6.097532190175903,1123.0,0.5615,397.0,0.209,0.16033333333333333,0.04866666666666667,0.209,0.16033333333333333,0.04866666666666667,0.39683333333333337,0.6031666666666666,1.0,0.995
24,z24_a0p5_corr_pruned_top10,discounted_lints,1066,-4.4377840257150964,0.5,-5.096628548032164,-7.430345669253157,-2.4612504587638973,-5.096628548032164,-6.60907106503471,-2.5821548338462508,-5.112601903413038,-5.112601903413038,1144.0,0.572,375.0,0.18899999999999997,0.14816666666666667,0.04083333333333333,0.18899999999999997,0.14816666666666667,0.04083333333333333,0.37333333333333335,0.6266666666666667,1.0,0.995
