bandit_name,method_group,set_name,z_window,alpha_out,original_trial_number,confirmation_rank_from_optuna,original_objective_score,confirmation_objective_score,memory_horizon_bars,n_confirmation_seeds,confirmation_seeds,valid,constraint_symbols_active_ok,constraint_symbols_have_long_ok,constraint_min_trades_ok,constraint_max_trades_ok,constraint_profit_factor_ok,constraint_drawdown_ok,constraint_finite_objective_return_ok,objective_metric_name,objective_score,calmar_like,effective_drawdown_abs_for_calmar,calmar_drawdown_floor_applied,calmar_drawdown_floor_abs,invalid_score,constraints_values,constraint_value_drawdown,constraint_value_profit_factor,constraint_value_min_trades,constraint_value_max_trades,constraint_value_all_symbols_active,constraint_value_all_symbols_have_long,constraint_value_finite_objective_return,optuna_constraints_convention,required_all_symbols_active_share,required_all_symbols_have_long_share,min_total_trades,max_total_trades,min_profit_factor,max_drawdown_abs,observed_all_symbols_active_share,observed_all_symbols_have_long_share,observed_median_total_trades,observed_median_profit_factor,observed_median_max_drawdown_abs,observed_median_of_seed_median_return_pct,observed_mean_of_seed_mean_return_pct,diagnostic_mean_of_seed_mean_return_pct,diagnostic_median_mean_turnover,confirmation_n_seeds,confirmation_seeds_used,confirmation_all_symbols_active_share,confirmation_all_symbols_have_long_share,confirmation_median_of_seed_median_return_pct,confirmation_mean_of_seed_median_return_pct,confirmation_std_of_seed_median_return_pct,confirmation_min_seed_median_return_pct,confirmation_max_seed_median_return_pct,confirmation_median_of_seed_mean_return_pct,confirmation_mean_of_seed_mean_return_pct,confirmation_median_max_drawdown_abs,confirmation_median_profit_factor,confirmation_median_total_trades,confirmation_median_total_trade_events,confirmation_median_mean_turnover,confirmation_median_positive_return_symbols,confirmation_median_active_symbols,confirmation_median_long_action_symbols,confirmation_median_seed_val_first_median_return_pct,confirmation_mean_seed_val_first_median_return_pct,confirmation_median_seed_val_second_median_return_pct,confirmation_mean_seed_val_second_median_return_pct,confirmation_median_seed_val_first_mean_return_pct,confirmation_mean_seed_val_first_mean_return_pct,confirmation_median_seed_val_second_mean_return_pct,confirmation_mean_seed_val_second_mean_return_pct,confirmation_median_seed_val_first_max_drawdown_abs,confirmation_mean_seed_val_first_max_drawdown_abs,confirmation_median_seed_val_second_max_drawdown_abs,confirmation_mean_seed_val_second_max_drawdown_abs,confirmation_median_seed_val_first_median_profit_factor,confirmation_mean_seed_val_first_median_profit_factor,confirmation_median_seed_val_second_median_profit_factor,confirmation_mean_seed_val_second_median_profit_factor,confirmation_median_seed_val_first_total_trades,confirmation_mean_seed_val_first_total_trades,confirmation_median_seed_val_second_total_trades,confirmation_mean_seed_val_second_total_trades,confirmation_median_seed_val_first_total_trade_events,confirmation_mean_seed_val_first_total_trade_events,confirmation_median_seed_val_second_total_trade_events,confirmation_mean_seed_val_second_total_trade_events,confirmation_median_seed_val_first_mean_turnover,confirmation_mean_seed_val_first_mean_turnover,confirmation_median_seed_val_second_mean_turnover,confirmation_mean_seed_val_second_mean_turnover,confirmation_median_seed_val_first_mean_executed_action_1_ratio,confirmation_mean_seed_val_first_mean_executed_action_1_ratio,confirmation_median_seed_val_second_mean_executed_action_1_ratio,confirmation_mean_seed_val_second_mean_executed_action_1_ratio,confirmation_median_seed_val_first_mean_threshold_applied_ratio,confirmation_mean_seed_val_first_mean_threshold_applied_ratio,confirmation_median_seed_val_second_mean_threshold_applied_ratio,confirmation_mean_seed_val_second_mean_threshold_applied_ratio,confirmation_median_seed_val_first_mean_constraint_applied_ratio,confirmation_mean_seed_val_first_mean_constraint_applied_ratio,confirmation_median_seed_val_second_mean_constraint_applied_ratio,confirmation_mean_seed_val_second_mean_constraint_applied_ratio,confirmation_median_seed_val_first_positive_return_symbols,confirmation_mean_seed_val_first_positive_return_symbols,confirmation_median_seed_val_second_positive_return_symbols,confirmation_mean_seed_val_second_positive_return_symbols,confirmation_median_seed_min_half_median_return_pct,confirmation_mean_seed_min_half_median_return_pct,confirmation_median_seed_max_half_median_return_pct,confirmation_mean_seed_max_half_median_return_pct,confirmation_median_seed_half_return_gap_pct,confirmation_mean_seed_half_return_gap_pct,confirmation_median_seed_second_minus_first_half_median_return_pct,confirmation_mean_seed_second_minus_first_half_median_return_pct,param_bandit_type,param_lambda_prior,param_reward_clip,param_discount_factor,param_noise_std,confirmation_rank_within_algorithm_method
discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,33,1,0.5350419130224715,-0.885643908336331,394.5027033270958,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.885643908336331,-0.09658699427950279,9.169390919997578,False,1.0,-1000000.0,"[-5.8306090800024215, -0.0494092859759967, -323.0, -227.0, 0.0, 0.0, 0.0]",-5.8306090800024215,-0.0494092859759967,-323.0,-227.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,423.0,0.8994092859759967,9.169390919997578,-0.885643908336331,1.29992848151714,1.29992848151714,0.0849,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,1.0,1.0,-0.885643908336331,-0.4729727190697157,1.5125846293752785,-2.9126390770748856,2.431128457889309,1.2965613376559637,1.29992848151714,9.169390919997578,0.8994092859759967,423.0,849.0,0.0849,2.0,5.0,5.0,0.8365008865548917,0.9163750573818943,-1.1789039552627,-1.2593249232774606,2.9449906490184774,2.930510767177333,-1.579885687725906,-1.6037585815666753,4.797783318667115,4.740056809907266,7.924246235801602,8.192215285889379,1.0433793957495423,1.0518712935581451,0.8268908017958567,0.8449698406128823,198.0,199.48,225.0,222.72,397.0,399.96,452.0,447.72,0.0794,0.07999200000000001,0.0904,0.089544,0.4612,0.46141600000000005,0.398,0.40059199999999995,0.10600000000000001,0.106024,0.09419999999999999,0.09411199999999999,0.060399999999999995,0.060448,0.08399999999999999,0.08217600000000001,3.0,3.04,1.0,0.88,-1.1789039552627,-1.2945910427091403,0.8365008865548917,0.9516411768135741,2.308981075021299,2.2462322195227142,-2.308981075021299,-2.175699980659355,discounted_lints,7.150325605431106,0.1,0.9974651631241906,0.0033675174734728,1
discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,35,2,0.4759581359052633,-1.1296324465593588,396.07036549594784,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-1.1296324465593588,-0.12670924789733437,8.915153907902907,False,1.0,-1000000.0,"[-6.084846092097093, -0.040641291771495114, -325.0, -225.0, 0.0, 0.0, 0.0]",-6.084846092097093,-0.040641291771495114,-325.0,-225.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,425.0,0.8906412917714951,8.915153907902907,-1.1296324465593588,1.276443448209354,1.276443448209354,0.0854,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,1.0,1.0,-1.1296324465593588,-0.6895176502136512,1.8011055780491818,-4.46968661736471,3.4403814317129466,1.1099407443365064,1.276443448209354,8.915153907902907,0.8906412917714951,425.0,854.0,0.0854,2.0,5.0,5.0,0.12703832460387865,0.32343734331154295,-1.447506080571681,-1.4365597631333906,2.722917516311101,2.8150095984887313,-1.4807950915785306,-1.510624482682771,5.068871873823189,4.987248568794843,7.749077610446986,7.903265327970346,0.9350465850067802,0.9684243346257301,0.8414201350904938,0.8434009825484133,201.0,200.88,224.0,224.32,403.0,402.84,450.0,450.64,0.08059999999999999,0.08056799999999999,0.09,0.09012799999999999,0.46560000000000007,0.463424,0.39899999999999997,0.398472,0.1044,0.10444799999999999,0.0952,0.09372799999999999,0.060799999999999986,0.05976,0.0838,0.08275199999999999,3.0,2.88,1.0,0.84,-1.447506080571681,-1.4721864004442586,0.12703832460387865,0.3590639806224107,1.4240989109306268,1.8312503810666692,-1.4240989109306268,-1.7599971064449336,discounted_lints,6.3051412912991065,0.1,0.9974751961087828,0.0030351377294692,2
discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,37,3,-0.0581596860041999,-1.4623419044160313,386.313334148406,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-1.4623419044160313,-0.1515272105241862,9.65068847606495,False,1.0,-1000000.0,"[-5.34931152393505, -0.0096985684935047, -314.0, -236.0, 0.0, 0.0, 0.0]",-5.34931152393505,-0.0096985684935047,-314.0,-236.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,414.0,0.8596985684935047,9.65068847606495,-1.4623419044160313,0.729906089561053,0.729906089561053,0.0831,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,1.0,1.0,-1.4623419044160313,-1.2924261401494475,1.3393687011895294,-3.398527274876273,2.1172056412826823,0.6976050918193956,0.729906089561053,9.65068847606495,0.8596985684935047,414.0,831.0,0.0831,2.0,5.0,5.0,0.2370374527322916,0.560383166709495,-1.875060788255134,-1.7841998981159475,2.813007585484779,2.7355638844657824,-2.0769691938515233,-1.9851101825478537,4.809669186894494,4.867293337362754,8.12158164474457,8.308611782948452,0.9602131642408923,1.0019413421497139,0.7669122682574282,0.7911299542081334,194.0,193.48,218.0,219.4,389.0,387.96,438.0,441.12,0.0778,0.077592,0.08759999999999998,0.088224,0.4544,0.45467199999999997,0.3976,0.398848,0.11139999999999999,0.111328,0.0996,0.098568,0.0538,0.055376,0.0796,0.080304,3.0,3.12,1.0,0.76,-1.875060788255134,-1.7841998981159475,0.2370374527322916,0.560383166709495,2.0469792536928932,2.3445830648254424,-2.0469792536928932,-2.3445830648254424,discounted_lints,9.617741930146304,0.1,0.9974114276893796,0.0035352675352223,3
discounted_lints,hybrid,z24_a0p5_hybrid_corr5_stablehie5_top10,24,0.5,12,2,1.794218285892879,1.9880873605236271,377.0522292055754,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,1.9880873605236271,0.17104584979232443,11.623125395544331,False,1.0,-1000000.0,"[-3.3768746044556686, -0.2639903414078596, -392.0, -158.0, 0.0, 0.0, 0.0]",-3.3768746044556686,-0.2639903414078596,-392.0,-158.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,492.0,1.1139903414078596,11.623125395544331,1.9880873605236271,2.898872456061613,2.898872456061613,0.09889999999999999,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,1.0,1.0,1.9880873605236271,1.9026253671377034,1.4365052189005818,-0.9227827960411328,4.567947495721891,2.7903826974274466,2.898872456061613,11.623125395544331,1.1139903414078596,492.0,989.0,0.09889999999999999,3.0,5.0,5.0,2.565597183419155,2.583722779593423,-1.3482215597947822,-1.370316479814234,5.267530496598011,5.253599457858681,-2.4585947889901734,-2.294581849408108,7.665059610272196,6.928541472420033,9.721727048145578,9.42027467097836,1.265061066914446,1.2668052338011198,0.8866800611691347,0.8748327081919685,217.0,217.76,275.0,274.44,437.0,438.16,551.0,550.8,0.0874,0.08763200000000002,0.1102,0.11016,0.4736000000000001,0.47158400000000006,0.44820000000000004,0.44695999999999997,0.0916,0.09196,0.08159999999999999,0.08156000000000001,0.065,0.06416000000000001,0.10500000000000001,0.104784,3.0,3.24,1.0,1.08,-1.3482215597947822,-1.370316479814234,2.565597183419155,2.583722779593423,3.9483817297664037,3.954039259407657,-3.9483817297664037,-3.954039259407657,discounted_lints,1.1761717273108772,0.1,0.9973478475326696,0.0122642534391449,1
discounted_lints,hybrid,z24_a0p5_hybrid_corr5_stablehie5_top10,24,0.5,11,3,1.7840796001162396,1.3115016882795594,390.79377318815943,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,1.3115016882795594,0.11978228177412596,10.949045792537703,False,1.0,-1000000.0,"[-4.050954207462297, -0.24197216419491807, -402.0, -148.0, 0.0, 0.0, 0.0]",-4.050954207462297,-0.24197216419491807,-402.0,-148.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,502.0,1.091972164194918,10.949045792537703,1.3115016882795594,2.8533826721499542,2.8533826721499542,0.10070000000000001,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,1.0,1.0,1.3115016882795594,1.3608103163433622,1.6725899208079613,-1.5146254471139264,5.544728055139969,2.638875051766889,2.8533826721499542,10.949045792537703,1.091972164194918,502.0,1007.0,0.10070000000000001,3.0,5.0,5.0,2.0739082424570565,1.8638239526908325,-1.3563150499472654,-1.5124772252680065,5.2600008316159785,5.451741566941183,-2.582186601910905,-2.50755043250525,4.987765002602718,6.0228342299115445,9.659504552102415,9.880063557941401,1.2059183010152403,1.2184429396188967,0.8412749935120385,0.8630548434361137,231.0,227.88,272.0,272.56,465.0,458.64,546.0,546.72,0.093,0.091728,0.1092,0.109344,0.4962,0.497184,0.45280000000000004,0.457048,0.1036,0.10372800000000001,0.0868,0.08666399999999999,0.06339999999999998,0.06340799999999999,0.0974,0.095208,3.0,3.48,1.0,1.0,-1.3563150499472654,-1.5124772252680065,2.0739082424570565,1.8638239526908325,3.4845623093753386,3.3763011779588386,-3.4845623093753386,-3.3763011779588386,discounted_lints,3.988473494397087,0.1,0.9974411055942836,0.0156591257572156,2
discounted_lints,hybrid,z24_a0p5_hybrid_corr5_stablehie5_top10,24,0.5,38,1,1.816901964437512,1.066810679666852,349.32730022497765,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,1.066810679666852,0.11052738874984744,9.65200292645405,False,1.0,-1000000.0,"[-5.347997073545949, -0.1768596186169068, -438.0, -112.0, 0.0, 0.0, 0.0]",-5.347997073545949,-0.1768596186169068,-438.0,-112.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,538.0,1.0268596186169068,9.65200292645405,1.066810679666852,2.3494905867293907,2.3494905867293907,0.1081,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,1.0,1.0,1.066810679666852,1.1167953722696504,1.5636315395455507,-2.1352772936846565,4.911034378017098,2.4308809932326247,2.3494905867293907,9.65200292645405,1.0268596186169068,538.0,1081.0,0.1081,3.0,5.0,5.0,1.9047224466575363,1.8387430838735577,-2.0359665336324717,-1.9046029393111223,4.792178781373893,4.863111066443128,-2.43665460490418,-2.4432987013158796,5.683617095353366,5.605828291375433,8.337546986722554,8.547322681268508,1.2236743050993852,1.2153863584284068,0.7727880932253186,0.7935700440668678,252.0,253.8,285.0,286.92,507.0,510.52,571.0,575.52,0.1014,0.102104,0.1142,0.11510400000000001,0.5144,0.51496,0.4624,0.46401600000000004,0.1028,0.102712,0.08719999999999999,0.087736,0.0654,0.06648799999999999,0.0964,0.096944,4.0,3.68,1.0,0.84,-2.0359665336324717,-1.9254761906075308,1.9047224466575363,1.8596163351699662,3.8588594639460294,3.7850925257774963,-3.8588594639460294,-3.74334602318468,discounted_lints,8.005954093106846,0.1,0.9971373551412788,0.0200143968894545,3
