feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
ADX_72_scaled,33984,15,0.007003295668549903,0.5011770244821092,0.49416496482639005,8.582377154335277e-05,0.007012059655719161,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,1.0,1,exit_hold
volatility_24_sqrt_z,33984,15,0.006179378531073476,0.5003531073446328,0.49417737767620606,7.303928086611608e-05,0.0061757296684267216,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,2.0,1,exit_hold
RSI_14_bounded,33984,15,0.005767419962335263,0.4999411487758946,0.49417848800575986,8.513342935702357e-05,0.005762660770134709,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,3.0,1,exit_hold
ADX_30_scaled,33984,15,0.00470809792843685,0.49888182674199616,0.49420473025973327,0.00010256572724394972,0.004677096482262888,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,4.0,1,exit_hold
volatility_72_sqrt_z,33984,15,0.0045903954802260505,0.49876412429378536,0.49418322002227577,9.269517768212794e-05,0.004580904271509589,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,5.0,1,exit_hold
ema_spread_50_100_z,33984,15,0.004531544256120512,0.4987052730696798,0.4941672393631208,8.783620347660731e-05,0.00453803370655903,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,6.0,1,exit_hold
bb_width_20_sqrt_z,33984,15,0.003531073446327637,0.49770480225988695,0.4941466366868087,7.618936810929943e-05,0.0035581655730782535,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,7.0,1,exit_hold
price_pos_in_range_72_norm,33984,15,0.00347222222222221,0.4976459510357815,0.4941505781223358,9.037183377157905e-05,0.0034953729134457046,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,8.0,1,exit_hold
price_pos_in_range_168_norm,33984,15,0.0030014124293784583,0.49717514124293777,0.4941504908896066,9.242728591086466e-05,0.0030246503533311597,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,9.0,1,exit_hold
NATR_14_z,33984,15,0.0030014124293785693,0.4971751412429379,0.49416983367571315,8.273031853512451e-05,0.0030053075672247243,0.0,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,10.0,1,exit_hold
