feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,in_top_7,in_top_14,in_top_20,in_top_26
ema_spread_100_200_z,1.0,0.015570769174840238,0.0,33840,15,2256,1128,ok,9.0,0.004772131141047298,0.0,33840,15,2256,1128,ok,1.0,5.0,0.015570769174840238,0.0,2,entry,1,True,True,True,True
ADX_72_scaled,6.0,0.010296990554094831,0.0,33840,15,2256,1128,ok,1.0,0.008802421976456365,0.0,33840,15,2256,1128,ok,1.0,3.5,0.010296990554094831,0.0,2,exit,2,True,True,True,True
ADX_30_scaled,2.0,0.013005857551634081,0.0,33840,15,2256,1128,ok,10.0,0.004621571574608796,0.0,33840,15,2256,1128,ok,2.0,6.0,0.013005857551634081,0.0,2,entry,3,True,True,True,True
bb_width_20_sqrt_z,53.0,0.00021772916061524317,0.1,33840,15,2256,1128,ok,2.0,0.008207155084143936,0.0,33840,15,2256,1128,ok,2.0,27.5,0.008207155084143936,0.0,1,exit,4,True,True,True,True
volatility_168_sqrt_z,3.0,0.012524698402238355,0.0,33840,15,2256,1128,ok,4.0,0.007090537537136898,0.0,33840,15,2256,1128,ok,3.0,3.5,0.012524698402238355,0.0,2,entry,5,True,True,True,True
NATR_14_z,30.0,0.0034298150853941944,0.0,33840,15,2256,1128,ok,3.0,0.00761844182225252,0.0,33840,15,2256,1128,ok,3.0,16.5,0.00761844182225252,0.0,1,exit,6,True,True,True,True
volatility_72_sqrt_z,4.0,0.011961320252914964,0.0,33840,15,2256,1128,ok,13.0,0.0035421772964632225,0.0,33840,15,2256,1128,ok,4.0,8.5,0.011961320252914964,0.0,2,entry,7,True,True,True,True
RSI_14_bounded,8.0,0.009102668818372073,0.0,33840,15,2256,1128,ok,5.0,0.005737712416485741,0.0,33840,15,2256,1128,ok,5.0,6.5,0.009102668818372073,0.0,2,exit,8,False,True,True,True
RSI_72_bounded,5.0,0.010569134950523362,0.0,33840,15,2256,1128,ok,15.0,0.003066367278162563,0.0,33840,15,2256,1128,ok,5.0,10.0,0.010569134950523362,0.0,1,entry,9,False,True,True,True
volatility_24_sqrt_z,29.0,0.003476337652198902,0.0,33840,15,2256,1128,ok,6.0,0.005731593576983773,0.0,33840,15,2256,1128,ok,6.0,17.5,0.005731593576983773,0.0,1,exit,10,False,True,True,True
ret_accel_24_72_z,7.0,0.00923484248708517,0.0,33840,15,2256,1128,ok,29.0,0.001346104103922774,0.0,33840,15,2256,1128,ok,7.0,18.0,0.00923484248708517,0.0,1,entry,11,False,True,True,True
