feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,in_top_7,in_top_14,in_top_20,in_top_26
ADX_30_scaled,1.0,0.013465998178659455,0.0,33984,15,2264,1132,ok,4.0,0.004677096482262888,0.0,33984,15,2264,1132,ok,1.0,2.5,0.013465998178659455,0.0,2,entry,1,True,True,True,True
ADX_72_scaled,4.0,0.009175884555027491,0.0,33984,15,2264,1132,ok,1.0,0.007012059655719161,0.0,33984,15,2264,1132,ok,1.0,2.5,0.009175884555027491,0.0,2,exit,2,True,True,True,True
RSI_72_bounded,2.0,0.01041134123190246,0.0,33984,15,2264,1132,ok,15.0,0.0024711339085000117,0.0,33984,15,2264,1132,ok,2.0,8.5,0.01041134123190246,0.0,1,entry,3,True,True,True,True
volatility_24_sqrt_z,43.0,0.0010923445865250736,0.0,33984,15,2264,1132,ok,2.0,0.0061757296684267216,0.0,33984,15,2264,1132,ok,2.0,22.5,0.0061757296684267216,0.0,1,exit,4,True,True,True,True
RSI_14_bounded,5.0,0.008988057396332017,0.0,33984,15,2264,1132,ok,3.0,0.005762660770134709,0.0,33984,15,2264,1132,ok,3.0,4.0,0.008988057396332017,0.0,2,exit,5,True,True,True,True
RSI_30_bounded,3.0,0.009645490450858607,0.0,33984,15,2264,1132,ok,21.0,0.0013993197217108677,0.0,33984,15,2264,1132,ok,3.0,12.0,0.009645490450858607,0.0,1,entry,6,True,True,True,True
volatility_72_sqrt_z,10.0,0.007235132970561775,0.0,33984,15,2264,1132,ok,5.0,0.004580904271509589,0.0,33984,15,2264,1132,ok,5.0,7.5,0.007235132970561775,0.0,2,exit,7,True,True,True,True
ema_spread_9_21_z,6.0,0.008780293716634358,0.0,33984,15,2264,1132,ok,27.0,0.0010612121868190938,0.0,33984,15,2264,1132,ok,6.0,16.5,0.008780293716634358,0.0,1,entry,8,False,True,True,True
ema_spread_50_100_z,34.0,0.0020532671777180322,0.0,33984,15,2264,1132,ok,6.0,0.00453803370655903,0.0,33984,15,2264,1132,ok,6.0,20.0,0.00453803370655903,0.0,1,exit,9,False,True,True,True
ema_slope_21_z,7.0,0.008370895128153033,0.0,33984,15,2264,1132,ok,28.0,0.001022909639376346,0.0,33984,15,2264,1132,ok,7.0,17.5,0.008370895128153033,0.0,1,entry,10,False,True,True,True
bb_width_20_sqrt_z,30.0,0.0027130270317574645,0.0,33984,15,2264,1132,ok,7.0,0.0035581655730782535,0.0,33984,15,2264,1132,ok,7.0,18.5,0.0035581655730782535,0.0,1,exit,11,False,True,True,True
volatility_168_sqrt_z,8.0,0.008169566591031518,0.0,33984,15,2264,1132,ok,34.0,0.00046802956244457183,0.0,33984,15,2264,1132,ok,8.0,21.0,0.008169566591031518,0.0,1,entry,12,False,True,True,True
price_pos_in_range_72_norm,38.0,0.0016980573491851558,0.0,33984,15,2264,1132,ok,8.0,0.0034953729134457046,0.0,33984,15,2264,1132,ok,8.0,23.0,0.0034953729134457046,0.0,1,exit,13,False,True,True,True
ema_slope_50_z,9.0,0.0078084491093094455,0.0,33984,15,2264,1132,ok,12.0,0.002710311453012093,0.0,33984,15,2264,1132,ok,9.0,10.5,0.0078084491093094455,0.0,2,entry,14,False,True,True,True
price_pos_in_range_168_norm,27.0,0.0031270351544748776,0.0,33984,15,2264,1132,ok,9.0,0.0030246503533311597,0.0,33984,15,2264,1132,ok,9.0,18.0,0.0031270351544748776,0.0,1,exit,15,False,False,True,True
NATR_14_z,20.0,0.004080987957899573,0.0,33984,15,2264,1132,ok,10.0,0.0030053075672247243,0.0,33984,15,2264,1132,ok,10.0,15.0,0.004080987957899573,0.0,1,exit,16,False,False,True,True
ret_accel_6_24_z,11.0,0.006507661092313932,0.0,33984,15,2264,1132,ok,23.0,0.001231681878005375,0.0,33984,15,2264,1132,ok,11.0,17.0,0.006507661092313932,0.0,1,entry,17,False,False,True,True
ADX_14_scaled,22.0,0.0036204114763610518,0.0,33984,15,2264,1132,ok,11.0,0.0029463941568898533,0.0,33984,15,2264,1132,ok,11.0,16.5,0.0036204114763610518,0.0,1,exit,18,False,False,True,True
ema_spread_100_200_z,12.0,0.00641583173811322,0.0,33984,15,2264,1132,ok,16.0,0.0021666299330281302,0.0,33984,15,2264,1132,ok,12.0,14.0,0.00641583173811322,0.0,1,entry,19,False,False,True,True
ret_accel_24_72_z,13.0,0.005473581547658424,0.0,33984,15,2264,1132,ok,26.0,0.0011013482000095665,0.0,33984,15,2264,1132,ok,13.0,19.5,0.005473581547658424,0.0,1,entry,20,False,False,True,True
log_ret_168_z,52.0,-4.3634862291641596e-05,0.6333333333333333,33984,15,2264,1132,ok,13.0,0.002640143226982694,0.0,33984,15,2264,1132,ok,13.0,32.5,0.002640143226982694,0.0,1,exit,21,False,False,False,True
ema_spread_21_50_z,14.0,0.005371098984116918,0.0,33984,15,2264,1132,ok,50.0,-1.9192505540333027e-05,0.6666666666666666,33984,15,2264,1132,ok,14.0,32.0,0.005371098984116918,0.0,1,entry,22,False,False,False,True
bb_pos_20_norm,19.0,0.004234440163098152,0.0,33984,15,2264,1132,ok,14.0,0.0025469979091147232,0.0,33984,15,2264,1132,ok,14.0,16.5,0.004234440163098152,0.0,1,exit,23,False,False,False,True
vol_expansion_168_log1p_z,15.0,0.004565621216840343,0.0,33984,15,2264,1132,ok,54.0,-5.552076320597399e-05,0.7333333333333333,33984,15,2264,1132,ok,15.0,34.5,0.004565621216840343,0.0,0,entry,24,False,False,False,True
dist_to_high_72_sqrt_z,16.0,0.004492333293284245,0.0,33984,15,2264,1132,ok,51.0,-2.652921845497369e-05,0.6666666666666666,33984,15,2264,1132,ok,16.0,33.5,0.004492333293284245,0.0,0,entry,25,False,False,False,True
range_sqrt_z,17.0,0.004318926490281538,0.0,33984,15,2264,1132,ok,37.0,0.00011004532488240182,0.1,33984,15,2264,1132,ok,17.0,27.0,0.004318926490281538,0.0,0,entry,26,False,False,False,True
dist_to_high_168_sqrt_z,36.0,0.0019072822000135714,0.0,33984,15,2264,1132,ok,17.0,0.0017205541814949155,0.0,33984,15,2264,1132,ok,17.0,26.5,0.0019072822000135714,0.0,0,exit,27,False,False,False,False
dist_ema_9_z,18.0,0.004266462020468653,0.0,33984,15,2264,1132,ok,38.0,7.839035295598151e-05,0.06666666666666667,33984,15,2264,1132,ok,18.0,28.0,0.004266462020468653,0.0,0,entry,28,False,False,False,False
dist_ema_200_z,25.0,0.0032641116219165323,0.0,33984,15,2264,1132,ok,18.0,0.0016940429666914558,0.0,33984,15,2264,1132,ok,18.0,21.5,0.0032641116219165323,0.0,0,exit,29,False,False,False,False
vol_ratio_168_log1p_z,33.0,0.0021819563556305654,0.0,33984,15,2264,1132,ok,19.0,0.0016434729275741633,0.0,33984,15,2264,1132,ok,19.0,26.0,0.0021819563556305654,0.0,0,exit,30,False,False,False,False
vol_expansion_72_log1p_z,28.0,0.0030715283213833544,0.0,33984,15,2264,1132,ok,20.0,0.0015825023751994682,0.0,33984,15,2264,1132,ok,20.0,24.0,0.0030715283213833544,0.0,0,exit,31,False,False,False,False
body_sqrt_z,21.0,0.0038942569766412527,0.0,33984,15,2264,1132,ok,43.0,1.7415045794832995e-05,0.4,33984,15,2264,1132,ok,21.0,32.0,0.0038942569766412527,0.0,0,entry,32,False,False,False,False
dist_to_high_24_sqrt_z,54.0,-6.974864124043023e-05,0.5666666666666667,33984,15,2264,1132,ok,22.0,0.0013403112782701676,0.0,33984,15,2264,1132,ok,22.0,38.0,0.0013403112782701676,0.0,0,exit,33,False,False,False,False
MOM_pct_30_z,23.0,0.003480965684537818,0.0,33984,15,2264,1132,ok,42.0,2.1526916731018364e-05,0.4,33984,15,2264,1132,ok,23.0,32.5,0.003480965684537818,0.0,0,entry,34,False,False,False,False
dist_ema_100_z,24.0,0.0033547222077134897,0.0,33984,15,2264,1132,ok,35.0,0.0002424706780411734,0.0,33984,15,2264,1132,ok,24.0,29.5,0.0033547222077134897,0.0,0,entry,35,False,False,False,False
MOM_pct_14_z,44.0,0.0010905663925897535,0.0,33984,15,2264,1132,ok,24.0,0.001135772132555335,0.0,33984,15,2264,1132,ok,24.0,34.0,0.001135772132555335,0.0,0,exit,36,False,False,False,False
MOM_pct_72_z,41.0,0.0012310274396247767,0.0,33984,15,2264,1132,ok,25.0,0.0011291731228759705,0.0,33984,15,2264,1132,ok,25.0,33.0,0.0012310274396247767,0.0,0,exit,37,False,False,False,False
ema_slope_200_z,26.0,0.0031820970425168182,0.0,33984,15,2264,1132,ok,45.0,-3.9733188683666043e-07,0.43333333333333335,33984,15,2264,1132,ok,26.0,35.5,0.0031820970425168182,0.0,0,entry,38,False,False,False,False
dist_to_low_24_sqrt_z,29.0,0.0029691046514245256,0.0,33984,15,2264,1132,ok,29.0,0.0008655284050718692,0.0,33984,15,2264,1132,ok,29.0,29.0,0.0029691046514245256,0.0,0,both_tie,39,False,False,False,False
