feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
ema_spread_100_200_z,33696,15,0.008843779677112917,0.5030270655270654,0.49420228297187735,0.00012147942170513855,0.008824782555188093,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,1.0,1,exit_hold
ADX_72_scaled,33696,15,0.008309591642924885,0.5024928774928774,0.49421918003586107,8.689613734796432e-05,0.008273697457016338,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,2.0,1,exit_hold
ema_spread_50_100_z,33696,15,0.007716049382715973,0.5018993352326685,0.4942207522975051,8.45420192154171e-05,0.0076785829351633805,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,3.0,1,exit_hold
dist_to_high_168_sqrt_z,33696,15,0.007597340930674212,0.5017806267806267,0.4942009711102401,6.437941217788299e-05,0.0075796556703866536,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,4.0,1,exit_hold
ret_accel_72_168_z,33696,15,0.00718186134852794,0.5013651471984805,0.49421985376542493,0.00013207065704781918,0.007145293433055533,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,5.0,1,exit_hold
volatility_168_sqrt_z,33696,15,0.007003798670465411,0.5011870845204179,0.49419944283118833,6.787427849300113e-05,0.006987641689229607,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,6.0,1,exit_hold
ema_slope_200_z,33696,15,0.006707027540360788,0.5008903133903133,0.49415632415775235,6.752904145292318e-05,0.006733989232560966,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,7.0,1,exit_hold
dist_ema_200_z,33696,15,0.006291547958214627,0.5004748338081672,0.4942133751383979,0.00015971922872342584,0.006261458669769238,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,8.0,1,exit_hold
log_ret_6_z,33696,15,0.006172839506172756,0.5003561253561253,0.4941872956072901,6.968232876619465e-05,0.006168829748835203,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,9.0,1,exit_hold
dist_to_low_72_sqrt_z,33696,15,0.006172839506172867,0.5003561253561254,0.49419125775408745,7.701221185156917e-05,0.006164867602037938,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,10.0,1,exit_hold
NATR_14_z,33696,15,0.0059947768281101155,0.5001780626780626,0.4942078087853807,8.14315860030439e-05,0.005970253892681965,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,11.0,1,exit_hold
ema_slope_100_z,33696,15,0.005698005698005659,0.4998812915479582,0.4942079500466131,8.155118400825437e-05,0.005673341501345075,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,12.0,1,exit_hold
dist_to_low_24_sqrt_z,33696,15,0.0054012345679011475,0.4995845204178537,0.49418517169997134,7.768561539305074e-05,0.005399348717882335,0.0,1,0.4941832858499525,0.4318019943019943,0.4941832858499525,16848,16848,2246,1123,ok,13.0,1,exit_hold
