feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
ADX_72_scaled,33840,15,0.00880614657210399,0.5026595744680851,0.4938571524916287,8.569147037182113e-05,0.008802421976456365,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,1.0,1,exit_hold
bb_width_20_sqrt_z,33840,15,0.008215130023640604,0.5020685579196217,0.49386140283547775,0.00012369689978333534,0.008207155084143936,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,2.0,1,exit_hold
NATR_14_z,33840,15,0.007624113475177219,0.5014775413711583,0.4938590995489058,8.441349348524367e-05,0.00761844182225252,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,3.0,1,exit_hold
volatility_168_sqrt_z,33840,15,0.007092198581560294,0.5009456264775414,0.4938550889404045,0.00010773054607091399,0.007090537537136898,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,4.0,1,exit_hold
RSI_14_bounded,33840,15,0.005732860520094585,0.49958628841607566,0.4938485759995899,7.045235178238322e-05,0.005737712416485741,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,5.0,1,exit_hold
volatility_24_sqrt_z,33840,15,0.005732860520094529,0.4995862884160756,0.49385469483909183,8.628370584235089e-05,0.005731593576983773,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,6.0,1,exit_hold
ret_accel_72_168_z,33840,15,0.005378250591016487,0.49923167848699757,0.4938748476124255,8.833064102558678e-05,0.0053568308745720605,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,7.0,1,exit_hold
ema_spread_50_100_z,33840,15,0.00496453900709215,0.49881796690307323,0.4938687088338894,9.411628598030213e-05,0.004949258069183837,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,8.0,1,exit_hold
ema_spread_100_200_z,33840,15,0.004787234042553212,0.4986406619385343,0.493868530797487,7.637616840871518e-05,0.004772131141047298,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,9.0,1,exit_hold
ADX_30_scaled,33840,15,0.004669030732860513,0.4985224586288416,0.4939008870542328,0.00018455377508720986,0.004621571574608796,0.0,1,0.4938534278959811,0.4323286052009456,0.4938534278959811,16920,16920,2256,1128,ok,10.0,1,exit_hold
