z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
72,z72_a0p5_corr_pruned_top10,sw_lints,2614,ETHUSDT,-10.303932742128518,-6.117308100677333,-4.459421174182799,-6.117308100677333,2000,1115,0.5575,364,182,182,0.364,0.273,0.091,0.0,0.0,0.0,0.364,0.636,0.636,0.633
72,z72_a0p5_corr_pruned_top10,sw_lints,2614,SOLUSDT,-5.282407667253519,1.4306175937351506,-6.618342094570173,-6.618342094570173,2000,1030,0.515,385,193,192,0.3845,0.2885,0.096,0.0,0.0,0.0,0.3845,0.6155,0.6155,0.612
72,z72_a0p5_corr_pruned_top10,sw_lints,2714,BTCUSDT,-7.726743192070973,-3.2674625048185635,-4.609907692615356,-4.609907692615356,2000,1174,0.587,429,215,214,0.428,0.321,0.107,0.0,0.0,0.0,0.428,0.572,0.572,0.5685
72,z72_a0p5_corr_pruned_top10,sw_lints,2714,ETHUSDT,-17.983419338480555,-3.3899302715541646,-15.105556913421303,-15.105556913421303,2000,1067,0.5335,426,213,213,0.4255,0.3195,0.106,0.0,0.0,0.0,0.4255,0.5745,0.5745,0.572
72,z72_a0p5_corr_pruned_top10,sw_lints,2714,SOLUSDT,-6.483710624061856,0.23495413134762,-6.702915977399815,-6.702915977399815,2000,1051,0.5255,416,208,208,0.416,0.312,0.104,0.0,0.0,0.0,0.416,0.584,0.584,0.582
72,z72_a0p5_corr_pruned_top10,sw_lints,2814,BTCUSDT,-11.273640501892135,-5.805222052640824,-5.805436955653032,-5.805436955653032,2000,1101,0.5505,478,239,239,0.478,0.3585,0.1195,0.0,0.0,0.0,0.478,0.522,0.522,0.5195
72,z72_a0p5_corr_pruned_top10,sw_lints,2814,ETHUSDT,-11.81334920791417,-3.0440823382171356,-9.044591687830128,-9.044591687830128,2000,1050,0.525,413,207,206,0.4135,0.3105,0.103,0.0,0.0,0.0,0.4135,0.5865,0.5865,0.585
72,z72_a0p5_corr_pruned_top10,sw_lints,2814,SOLUSDT,-10.869999353597082,-0.7704087352702893,-10.178002841292155,-10.178002841292155,2000,1092,0.546,337,169,168,0.3375,0.2535,0.084,0.0,0.0,0.0,0.3375,0.6625,0.6625,0.66
72,z72_a0p5_corr_pruned_top10,sw_lints,2914,BTCUSDT,-8.366382003575467,-2.580802311755803,-5.938849661166756,-5.938849661166756,2000,1064,0.532,467,234,233,0.4675,0.351,0.1165,0.0,0.0,0.0,0.4675,0.5325,0.5325,0.5295
72,z72_a0p5_corr_pruned_top10,sw_lints,2914,ETHUSDT,-9.56539908020635,-2.0926828706756995,-7.632438952095932,-7.632438952095932,2000,1017,0.5085,422,211,211,0.4215,0.3165,0.105,0.0,0.0,0.0,0.4215,0.5785,0.5785,0.577
