algorithm,z_window,set_name,n_seeds,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_q25,dro_minimax_q75,pure_min_half_median,pure_min_half_mean,full_mean_aggregate,h1_mean_aggregate,h2_mean_aggregate,full_median,h1_median,h2_median,per_symbol_minhalf_median,median_exposure_bars,median_exposure_ratio,median_n_trade_events,mean_constraint_applied_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
discounted_lints,72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,30,-4.722411970766435,-4.767457454327233,1.0342990915358163,-5.296907524361826,-4.23894802009643,-5.69303878553532,-5.650391839362895,-7.5014225214732875,-2.178931012694627,-5.69303878553532,-7.526118741143717,-2.32856870599612,-5.307688758306384,-5.380405278560818,1031.0,0.5155,387.5,0.3820777777777778,0.0,0.0,0.0,0.3820777777777778,0.6179222222222223,0.6179222222222223,0.6155777777777778
discounted_linucb,72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,1,-4.015739433676508,-4.015739433676508,,-4.015739433676508,-4.015739433676508,-4.835319826065269,-4.835319826065269,-6.358071805536954,-1.5569982565102265,-4.835319826065269,-5.965031633928364,-1.68316561104066,-4.3551707594122195,-4.419609750545462,1042.0,0.521,300.0,0.3156666666666666,0.0,0.0,0.0,0.3156666666666666,0.6843333333333333,0.6843333333333333,0.6823333333333332
sw_lints,72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,30,-4.53208082123925,-4.643473369342497,0.9316077266934437,-5.400361166857463,-3.9740491513119407,-5.485115733608199,-5.6230286798914175,-7.028409232245181,-1.7993631039280256,-5.485115733608199,-6.73313029861472,-1.9277511252373425,-5.3409075875472,-5.3409075875472,1001.5,0.50075,333.0,0.32565000000000005,0.0,0.0,0.0,0.32565000000000005,0.67435,0.67435,0.6709777777777777
sw_linucb,72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,1,-4.205368956975946,-4.205368956975946,,-4.205368956975946,-4.205368956975946,-5.929193661056764,-5.929193661056764,-5.0010881640533835,0.9661051552665093,-5.929193661056764,-3.1257952090450125,1.9378639550594157,-5.651441733817664,-5.651441733817664,1075.0,0.5375,217.0,0.23949999999999996,0.0,0.0,0.0,0.23949999999999996,0.7605,0.7605,0.7561666666666667
