algorithm,method_group,set_name,z_window,n_market_features,n_state_features,n_total_features,screening_dro,screening_h1,screening_h2,screening_full,screening_median_trades,features
discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,1,11,-4.825890487274005,-2.7237911562793613,-5.64936565202923,-8.163884081096285,408.5,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z
discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,1,11,-4.722411970766435,-2.178931012694627,-5.69303878553532,-7.501422521473287,387.5,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z
discounted_linucb,corr,z24_a0p5_corr_pruned_top10,24,10,1,11,-4.313726568942774,-2.5143510209367186,-4.913518418278126,-7.305285931571966,390.0,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z
discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,1,11,-4.015739433676508,-1.5569982565102265,-4.835319826065269,-6.358071805536954,300.0,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z
