trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha,param_window_size,optuna_param_window_size,diagnostic_rank
9,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,279.09436110299373,-4.504134703639872,True,dro_minimax_median,"[-118.5, 0.0]",-118.5,0.0,-4.504134703639872,-5.351561377684977,0.5,8.953190408177175,0.6545191965148296,536.5,168.5,2,3142|3143,-4.504134703639872,-4.504134703639872,1.0359865328203075,-5.236687806215052,-3.771581601064693,-5.351561377684977,-5.351561377684977,1.9292609173942945,-1.96185468150456,-5.351561377684977,-7.231018214778958,8.953190408177175,0.6545191965148296,536.5,168.5,4.0,5.639481555333997,4.0,5.5,0.8937354602858092,0.1062645397141907,8.0,0.36275,0.63725,0.63725,0.6355,discounted_lints,0.1,0.5518655471519581,0.99641698242828,0.0043422597619205,0.5518655471519581,0.00358301757172,0.0043422597619205,,,,,11
7,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,299.83246572286345,-4.570818928735388,True,dro_minimax_median,"[-98.5, 0.0]",-98.5,0.0,-4.570818928735388,-5.552920188284606,0.5,8.781113584552013,0.6937260435539074,484.0,148.5,2,3142|3143,-4.570818928735388,-4.570818928735388,0.1474791637576294,-4.675102445512129,-4.466535411958647,-5.552920188284606,-5.552920188284606,0.2578921270615584,-1.6245151500877333,-5.552920188284606,-7.089137368493237,8.781113584552013,0.6937260435539074,484.0,148.5,4.0,6.379350649350649,4.0,6.5,0.838013338013338,0.161986661986662,9.0,0.316,0.6839999999999999,0.6839999999999999,0.6799999999999999,discounted_lints,0.1,26.83651039728718,0.996664804134572,0.0030827229826808,26.83651039728718,0.003335195865428,0.0030827229826808,,,,,12
13,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,395.8381558264803,-4.862935390362428,True,dro_minimax_median,"[-138.5, 0.0]",-138.5,0.0,-4.862935390362428,-5.415392167923842,0.5,9.316235741919057,0.6645470720436613,602.5,188.5,2,3142|3143,-4.862935390362428,-4.862935390362428,0.0215973111204032,-4.878206995511061,-4.847663785213795,-5.415392167923842,-5.415392167923842,0.0948836559628528,-3.2055650576781893,-5.415392167923842,-8.432068283891212,9.316235741919057,0.6645470720436613,602.5,188.5,4.5,6.055145830656559,4.0,6.5,0.881266149870801,0.1187338501291989,8.5,0.39675,0.6032500000000001,0.6032500000000001,0.5994999999999999,discounted_lints,0.1,2.4153255317850557,0.9974737149886116,0.0383024118013243,2.4153255317850557,0.0025262850113882,0.0383024118013243,,,,,13
15,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,283.2454483236869,-4.957107773528068,True,dro_minimax_median,"[-156.5, 0.0]",-156.5,0.0,-4.957107773528068,-6.022696232562842,0.5,10.566618122658088,0.6964768050388379,645.5,206.5,2,3142|3143,-4.957107773528068,-4.957107773528068,0.6677303272962948,-5.429264415963191,-4.484951131092945,-6.022696232562842,-6.022696232562842,0.913422157180867,-1.7603423964237472,-6.022696232562842,-7.691780607957082,10.566618122658088,0.6964768050388379,645.5,206.5,4.5,5.489204808136847,4.0,6.0,0.9205039297272308,0.0794960702727693,8.0,0.4275,0.5725,0.5725,0.569,discounted_lints,0.1,3.7586010294627967,0.9964694931342472,0.0380474835574948,3.7586010294627967,0.0035305068657527,0.0380474835574948,,,,,14
11,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,355.681590855462,-5.0472060755478765,True,dro_minimax_median,"[-129.5, 0.0]",-129.5,0.0,-5.0472060755478765,-5.758407214420361,0.5,9.8677290332299,0.6789102274162112,600.5,179.5,2,3142|3143,-5.0472060755478765,-5.0472060755478765,0.4085114686166364,-5.336067305199176,-4.758344845896578,-5.758407214420361,-5.758407214420361,0.6479360229309845,-2.913602658930428,-5.758407214420361,-8.532763251492135,9.8677290332299,0.6789102274162112,600.5,179.5,4.0,5.353263790492012,4.0,5.0,0.9178555723848144,0.0821444276151854,7.75,0.40525,0.59475,0.59475,0.59075,discounted_lints,0.1,0.6158670898160412,0.9971884966056442,0.0250320632972792,0.6158670898160412,0.0028115033943557,0.0250320632972792,,,,,15
14,discounted_lints__corr__z24_a0p5_corr_pruned_top10,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24,10,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z,179.54844041806894,-5.466092446126298,True,dro_minimax_median,"[-157.5, 0.0]",-157.5,0.0,-5.466092446126298,-6.74252561993668,0.5,10.927337249770968,0.7148074761490185,657.0,207.5,2,3142|3143,-5.466092446126298,-5.466092446126298,1.4762394611879484,-6.509951379787472,-4.422233512465125,-6.74252561993668,-6.74252561993668,2.231785872222507,-1.6367929246951536,-6.74252561993668,-8.273179190822535,10.927337249770968,0.7148074761490185,657.0,207.5,4.0,5.456794425087107,4.0,5.875,0.920383275261324,0.0796167247386759,8.0,0.434,0.5660000000000001,0.5660000000000001,0.563,discounted_lints,0.1,6.956000070202951,0.9944304723690636,0.0358893039233907,6.956000070202951,0.0055695276309365,0.0358893039233907,,,,,16
11,discounted_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,247.7843044029148,-2.000018776547223,True,dro_minimax_median,"[-12.5, 0.0]",-12.5,0.0,-2.000018776547223,-2.487711086861542,0.5,5.138613435106587,0.7920160310070407,273.0,62.5,2,3142|3143,-2.000018776547223,-2.000018776547223,1.025504086279842,-2.725159670090213,-1.274877883004232,-2.487711086861542,-2.487711086861542,1.409883239126054,-0.5369418456042645,-2.487711086861542,-3.008160206781257,5.138613435106587,0.7920160310070407,273.0,62.5,4.0,6.375,4.0,6.0,0.875,0.125,9.5,0.1917499999999999,0.80825,0.80825,0.805,discounted_lints,0.1,0.6578150866732462,0.995964231865252,0.002943356253549,0.6578150866732462,0.004035768134748,0.002943356253549,,,,,1
14,discounted_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,239.93850697434573,-2.273908755761597,True,dro_minimax_median,"[-29.0, 0.0]",-29.0,0.0,-2.273908755761597,-2.893144941007767,0.5,6.174367287224463,0.7446492407712754,294.0,79.0,2,3142|3143,-2.273908755761597,-2.273908755761597,0.5546583250815851,-2.666111418668358,-1.8817060928548357,-2.893144941007767,-2.893144941007767,1.0393097105648657,-0.4162002000230849,-2.893144941007767,-3.3439890519282214,6.174367287224463,0.7446492407712754,294.0,79.0,4.0,6.74131347842688,4.0,6.0,0.842433498790887,0.1575665012091129,9.5,0.17175,0.8282499999999999,0.8282499999999999,0.8242499999999999,discounted_lints,0.1,0.9787266950625364,0.995832265472474,0.0010894233091934,0.9787266950625364,0.0041677345275259,0.0010894233091934,,,,,2
12,discounted_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,273.29520767783333,-2.7445816805325527,True,dro_minimax_median,"[-33.5, 0.0]",-33.5,0.0,-2.7445816805325527,-3.4514453783386507,0.5,6.211602809680612,0.6639093352053136,284.5,83.5,2,3142|3143,-2.7445816805325527,-2.7445816805325527,1.536029230581705,-3.8307183655776313,-1.6584449954874745,-3.4514453783386507,-3.4514453783386507,1.990146146380928,-0.6239905871142591,-3.4514453783386507,-4.072252020530373,6.211602809680612,0.6639093352053136,284.5,83.5,4.0,6.315453384418902,4.0,5.25,0.8681748759068346,0.1318251240931653,9.5,0.1945,0.8055,0.8055,0.804,discounted_lints,0.1,0.8102173489763744,0.9963409530357414,0.0010296316422533,0.8102173489763744,0.0036590469642586,0.0010296316422533,,,,,3
13,discounted_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,315.4330602558832,-2.838886521170431,True,dro_minimax_median,"[-12.5, 0.0]",-12.5,0.0,-2.838886521170431,-3.264236098803158,0.5,6.746370978791899,0.6181710241347635,257.0,62.5,2,3142|3143,-2.838886521170431,-2.838886521170431,1.5836113781643562,-3.958668865434621,-1.7191041769062405,-3.264236098803158,-3.264236098803158,2.109740730948143,-1.669477677268294,-3.1575962098071138,-4.800405855406414,6.746370978791899,0.6181710241347635,257.0,62.5,4.0,7.031498352393875,4.0,6.5,0.8111888111888113,0.1888111888111888,11.25,0.14875,0.8512500000000001,0.8512500000000001,0.8472500000000001,discounted_lints,0.1,0.5414292635690323,0.9968297552603116,0.0015584357714605,0.5414292635690323,0.0031702447396883,0.0015584357714605,,,,,4
