subsample_id,z_window,alpha_out,top_k,feature,union_rank,best_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,subsample_size,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason
0,48,0.5,7,volatility_168_sqrt_z,1,1.0,0.023727063920805536,0.0,2,both_tie,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,7,ADX_72_scaled,2,2.0,0.01930983759703392,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,7,ema_spread_50_100_z,3,2.0,0.011592718741584518,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,7,RSI_72_bounded,4,3.0,0.018620797741216777,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,7,volatility_24_sqrt_z,5,3.0,0.012245742278443938,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,7,ADX_30_scaled,6,4.0,0.018051432445417237,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,7,ema_spread_100_200_z,7,5.0,0.015723300915503002,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,volatility_168_sqrt_z,1,1.0,0.023727063920805536,0.0,2,both_tie,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,ADX_72_scaled,2,2.0,0.01930983759703392,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,ema_spread_50_100_z,3,2.0,0.011592718741584518,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,RSI_72_bounded,4,3.0,0.018620797741216777,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,volatility_24_sqrt_z,5,3.0,0.012245742278443938,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,ADX_30_scaled,6,4.0,0.018051432445417237,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,ema_spread_100_200_z,7,5.0,0.015723300915503002,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,NATR_14_z,8,5.0,0.007817874441403472,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,dist_to_low_24_sqrt_z,9,6.0,0.01521253173963194,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,price_pos_in_range_72_norm,10,6.0,0.004983771194014219,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,dist_ema_50_z,11,7.0,0.01461182273027034,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,ema_slope_50_z,12,7.0,0.0076615367057114026,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,dist_to_low_72_sqrt_z,13,8.0,0.01434093517000029,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,14,volatility_72_sqrt_z,14,9.0,0.014272723704978951,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,volatility_168_sqrt_z,1,1.0,0.023727063920805536,0.0,2,both_tie,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ADX_72_scaled,2,2.0,0.01930983759703392,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ema_spread_50_100_z,3,2.0,0.011592718741584518,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,RSI_72_bounded,4,3.0,0.018620797741216777,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,volatility_24_sqrt_z,5,3.0,0.012245742278443938,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ADX_30_scaled,6,4.0,0.018051432445417237,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ema_spread_100_200_z,7,5.0,0.015723300915503002,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,NATR_14_z,8,5.0,0.007817874441403472,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,dist_to_low_24_sqrt_z,9,6.0,0.01521253173963194,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,price_pos_in_range_72_norm,10,6.0,0.004983771194014219,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,dist_ema_50_z,11,7.0,0.01461182273027034,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ema_slope_50_z,12,7.0,0.0076615367057114026,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,dist_to_low_72_sqrt_z,13,8.0,0.01434093517000029,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,volatility_72_sqrt_z,14,9.0,0.014272723704978951,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,MOM_pct_14_z,15,10.0,0.014166509542596517,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,RSI_14_bounded,16,11.0,0.014098486380829611,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ret_accel_24_72_z,17,12.0,0.012907159571462323,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,ema_spread_21_50_z,18,12.0,0.010028670973463605,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,price_pos_in_range_168_norm,19,14.0,0.011348334063457033,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,20,dist_ema_100_z,20,14.0,0.010669211861314087,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,volatility_168_sqrt_z,1,1.0,0.023727063920805536,0.0,2,both_tie,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,ADX_72_scaled,2,2.0,0.01930983759703392,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,ema_spread_50_100_z,3,2.0,0.011592718741584518,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,RSI_72_bounded,4,3.0,0.018620797741216777,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,volatility_24_sqrt_z,5,3.0,0.012245742278443938,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,ADX_30_scaled,6,4.0,0.018051432445417237,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,ema_spread_100_200_z,7,5.0,0.015723300915503002,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,NATR_14_z,8,5.0,0.007817874441403472,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,48,0.5,26,dist_to_low_24_sqrt_z,9,6.0,0.01521253173963194,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
