z_window,alpha_out,top_k,feature,frequency_top_k,n_appearances,n_subsamples_total,mean_union_rank,median_union_rank,mean_best_rank,mean_best_hie_norm,median_best_hie_norm,median_regime_coverage_topk,median_entry_n_samples,median_entry_n_bins_used,median_entry_min_bin_size_used,median_entry_min_action_count_in_bin,median_exit_n_samples,median_exit_n_bins_used,median_exit_min_bin_size_used,median_exit_min_action_count_in_bin,min_entry_min_bin_size_used,min_exit_min_bin_size_used,min_entry_min_action_count_in_bin,min_exit_min_action_count_in_bin,is_stable_at_pi
72,0.5,7,dist_ema_9_z,0.04,2,50,6.0,6.0,4.0,0.01917343695568796,0.01917343695568796,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ema_slope_9_z,0.06,3,50,3.6666666666666665,3.0,2.3333333333333335,0.015979396644067372,0.01565473672252138,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,dist_ema_21_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ema_slope_21_z,0.04,2,50,6.5,6.5,4.5,0.01477820287038678,0.01477820287038678,1.5,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,dist_ema_50_z,0.02,1,50,1.0,1.0,1.0,0.02440248575293319,0.02440248575293319,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ema_slope_50_z,0.04,2,50,7.0,7.0,4.5,0.01494474785725336,0.01494474785725336,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,dist_ema_100_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ema_slope_100_z,0.1,5,50,5.2,5.0,3.6,0.019313239900848312,0.019033525632754122,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,dist_ema_200_z,0.08,4,50,5.5,6.5,3.75,0.019626484288599533,0.01869372940296052,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ema_slope_200_z,0.22,11,50,4.454545454545454,5.0,3.3636363636363638,0.02002022740274084,0.019608513020608787,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ema_spread_9_21_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ema_spread_21_50_z,0.34,17,50,5.176470588235294,5.0,3.764705882352941,0.022216330927268983,0.021663779167293062,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ema_spread_50_100_z,0.64,32,50,3.5,3.0,2.3125,0.022561905310871086,0.021627732580004583,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
72,0.5,7,ema_spread_100_200_z,0.74,37,50,3.3783783783783785,3.0,2.3783783783783785,0.023295300564363748,0.023346687591422277,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
72,0.5,7,MOM_pct_14_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ADX_14_scaled,0.06,3,50,4.666666666666667,5.0,3.0,0.01783256359611418,0.020016191647611592,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,RSI_14_bounded,0.18,9,50,5.111111111111111,5.0,3.6666666666666665,0.017736817126655022,0.018932959173058928,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,MOM_pct_30_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ADX_30_scaled,0.52,26,50,3.8076923076923075,4.0,2.576923076923077,0.02214816848837176,0.022939125164318563,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,RSI_30_bounded,0.08,4,50,3.75,4.0,2.5,0.020696640729360644,0.021086853799408778,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1118.0,1118.0,559.0,559.0,False
72,0.5,7,MOM_pct_72_z,0.04,2,50,6.5,6.5,5.0,0.014389466886585905,0.014389466886585905,1.5,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ADX_72_scaled,0.7,35,50,2.6857142857142855,2.0,1.9428571428571428,0.023909784410885065,0.021040338087793875,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
72,0.5,7,RSI_72_bounded,0.38,19,50,4.526315789473684,4.0,3.1578947368421053,0.019972717647809904,0.018676901656353606,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1118.0,1118.0,559.0,559.0,False
72,0.5,7,MACD_hist_pct_z,0.02,1,50,7.0,7.0,5.0,0.017712387297477372,0.017712387297477372,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,NATR_14_z,0.16,8,50,5.625,5.5,3.5,0.017158047291067256,0.01587817864595656,1.5,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,bb_width_20_sqrt_z,0.06,3,50,5.0,5.0,3.3333333333333335,0.02064705824198369,0.021280008775810988,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,bb_pos_20_norm,0.02,1,50,1.0,1.0,1.0,0.015964617323056096,0.015964617323056096,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,volatility_24_sqrt_z,0.02,1,50,3.0,3.0,2.0,0.01633644462964501,0.01633644462964501,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,volatility_72_sqrt_z,0.5,25,50,3.6,3.0,2.48,0.020648127554683943,0.021111064529035883,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,volatility_168_sqrt_z,0.52,26,50,3.5384615384615383,3.5,2.4615384615384617,0.02108163421406861,0.019890655880624997,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,log_ret_6_z,0.08,4,50,5.75,6.5,3.5,0.01409406578653255,0.012905433839276947,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,log_ret_24_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,log_ret_72_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,log_ret_168_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ret_accel_6_24_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,ret_accel_24_72_z,0.08,4,50,4.5,4.5,3.0,0.01750417033077846,0.017456346033455472,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,ret_accel_72_168_z,0.18,9,50,4.888888888888889,5.0,3.2222222222222223,0.01744081787542097,0.017503607485847672,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
72,0.5,7,vol_ratio_24_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,vol_ratio_72_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,vol_ratio_168_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,range_sqrt_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,body_sqrt_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,vol_expansion_24_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,vol_expansion_72_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
72,0.5,7,vol_expansion_168_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
