feature,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,z_window
MOM_pct_14_z,selected,first_feature,,,48
MACD_hist_pct_z,selected,below_threshold,0.7888824635124754,MOM_pct_14_z,48
ema_spread_9_21_z,dropped,too_correlated,0.8501809546208522,MOM_pct_14_z,48
dist_to_low_24_sqrt_z,selected,below_threshold,0.6841677985398045,MOM_pct_14_z,48
ema_slope_21_z,dropped,too_correlated,0.8614905256137475,MOM_pct_14_z,48
MOM_pct_30_z,selected,below_threshold,0.6634527968161782,MOM_pct_14_z,48
log_ret_24_z,dropped,too_correlated,0.8565118053635227,MOM_pct_30_z,48
range_sqrt_z,selected,below_threshold,0.11529244098171577,dist_to_low_24_sqrt_z,48
bb_width_20_sqrt_z,selected,below_threshold,0.39542967021509323,dist_to_low_24_sqrt_z,48
vol_expansion_72_log1p_z,dropped,too_correlated,0.9687568258426656,range_sqrt_z,48
vol_expansion_168_log1p_z,dropped,too_correlated,0.991725329825369,range_sqrt_z,48
vol_ratio_72_log1p_z,selected,below_threshold,0.7455200059919685,range_sqrt_z,48
ema_slope_9_z,dropped,too_correlated,0.8644053006657465,MOM_pct_14_z,48
dist_ema_21_z,dropped,too_correlated,0.8822299306987127,MOM_pct_14_z,48
body_sqrt_z,selected,below_threshold,0.6883916011990484,range_sqrt_z,48
ret_accel_6_24_z,selected,below_threshold,0.7179636691761404,MOM_pct_30_z,48
NATR_14_z,selected,below_threshold,0.5536818357454125,bb_width_20_sqrt_z,48
vol_ratio_168_log1p_z,dropped,too_correlated,0.9694261998387768,vol_ratio_72_log1p_z,48
ema_slope_50_z,dropped,too_correlated,0.8602416289678573,MOM_pct_30_z,48
dist_ema_50_z,dropped,too_correlated,0.8699530774929455,MOM_pct_30_z,48
price_pos_in_range_168_norm,selected,below_threshold,0.16709249370411391,MOM_pct_30_z,48
ret_accel_24_72_z,selected,below_threshold,0.37261171334297405,MACD_hist_pct_z,48
vol_ratio_24_log1p_z,dropped,too_correlated,0.9038527007925317,vol_ratio_72_log1p_z,48
RSI_72_bounded,dropped,too_correlated,0.92202658571661,price_pos_in_range_168_norm,48
ADX_14_scaled,selected,below_threshold,0.4794468771439919,NATR_14_z,48
volatility_24_sqrt_z,selected,below_threshold,0.7280613779636118,NATR_14_z,48
ADX_30_scaled,selected,below_threshold,0.6586556877461546,ADX_14_scaled,48
vol_expansion_24_log1p_z,dropped,too_correlated,0.8946740295307104,range_sqrt_z,48
ADX_72_scaled,selected,below_threshold,0.6187534536727253,ADX_30_scaled,48
RSI_30_bounded,selected,below_threshold,0.8100415974846836,price_pos_in_range_168_norm,48
RSI_14_bounded,dropped,too_correlated,0.9192570044025321,RSI_30_bounded,48
ema_slope_100_z,selected,below_threshold,0.784794529649355,MOM_pct_30_z,48
dist_ema_100_z,dropped,too_correlated,0.921923475100154,ema_slope_100_z,48
price_pos_in_range_72_norm,dropped,too_correlated,0.9309368093655993,RSI_30_bounded,48
dist_to_low_72_sqrt_z,selected,below_threshold,0.6684957898574743,ema_slope_100_z,48
bb_pos_20_norm,selected,below_threshold,0.7558892303646855,MOM_pct_14_z,48
dist_to_high_72_sqrt_z,selected,below_threshold,0.7265201494364687,ema_slope_100_z,48
ema_slope_200_z,dropped,too_correlated,0.9720579463404295,ema_slope_100_z,48
volatility_72_sqrt_z,selected,below_threshold,0.5391824850336202,NATR_14_z,48
price_pos_in_range_24_norm,dropped,too_correlated,0.9082194528989194,bb_pos_20_norm,48
dist_to_high_24_sqrt_z,selected,below_threshold,0.7344760812456967,MOM_pct_14_z,48
dist_ema_200_z,dropped,too_correlated,0.9195212019064952,ema_slope_100_z,48
log_ret_168_z,selected,below_threshold,0.5989333341924065,RSI_30_bounded,48
dist_ema_9_z,selected,below_threshold,0.7814159704444967,MACD_hist_pct_z,48
dist_to_low_168_sqrt_z,selected,below_threshold,0.7552452619413424,dist_to_low_72_sqrt_z,48
ema_spread_21_50_z,dropped,too_correlated,0.9573996608104705,ema_slope_100_z,48
ret_accel_72_168_z,selected,below_threshold,0.47264418492868165,ret_accel_24_72_z,48
ema_spread_100_200_z,selected,below_threshold,0.6799021739091383,RSI_30_bounded,48
dist_to_high_168_sqrt_z,selected,below_threshold,0.7530442446060015,dist_to_high_72_sqrt_z,48
volatility_168_sqrt_z,selected,below_threshold,0.3818734983743534,volatility_72_sqrt_z,48
