feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
MOM_pct_14_z,0.04782256956416596,0.04782256956416596,16818,1,72
vol_expansion_72_log1p_z,0.040976781205240786,0.040976781205240786,16818,2,72
range_sqrt_z,0.03955082071525515,0.03955082071525515,16818,3,72
MACD_hist_pct_z,0.039225817821763105,0.039225817821763105,16818,4,72
ema_slope_21_z,0.037858101767178805,0.037858101767178805,16818,5,72
vol_ratio_72_log1p_z,0.03716685534650223,0.03716685534650223,16818,6,72
vol_expansion_168_log1p_z,0.03705779103732153,0.03705779103732153,16818,7,72
ema_spread_9_21_z,0.03612298973036709,0.03612298973036709,16818,8,72
bb_width_20_sqrt_z,0.03353036523586472,0.03353036523586472,16818,9,72
ema_slope_9_z,0.032860572709507166,0.032860572709507166,16818,10,72
body_sqrt_z,0.03154605277269094,0.03154605277269094,16818,11,72
vol_ratio_168_log1p_z,0.030730532395832236,0.030730532395832236,16818,12,72
vol_expansion_24_log1p_z,0.029240080777644385,0.029240080777644385,16818,13,72
vol_ratio_24_log1p_z,0.02909179949930591,0.02909179949930591,16818,14,72
dist_ema_21_z,0.028676872139630213,0.028676872139630213,16818,15,72
dist_to_low_24_sqrt_z,0.028563009964798096,0.028563009964798096,16818,16,72
price_pos_in_range_168_norm,0.028560590390702075,0.028560590390702075,16818,17,72
RSI_72_bounded,0.026658465436741736,0.026658465436741736,16818,18,72
volatility_24_sqrt_z,0.02580541584306948,0.02580541584306948,16818,19,72
log_ret_168_z,0.02522943895042347,0.02522943895042347,16818,20,72
log_ret_24_z,0.0245811963822252,0.0245811963822252,16818,21,72
MOM_pct_30_z,0.023989568030505396,0.023989568030505396,16818,22,72
dist_ema_50_z,0.02309319868750401,0.02309319868750401,16818,23,72
ADX_14_scaled,0.022386297638016972,0.022386297638016972,16818,24,72
RSI_30_bounded,0.021917673296104192,0.021917673296104192,16818,25,72
ema_slope_50_z,0.021684914618610093,0.021684914618610093,16818,26,72
ADX_30_scaled,0.021505479209670053,0.021505479209670053,16818,27,72
dist_to_high_168_sqrt_z,0.021299192310742225,0.021299192310742225,16818,28,72
RSI_14_bounded,0.021070351295143622,0.021070351295143622,16818,29,72
NATR_14_z,0.020077874476563798,0.020077874476563798,16818,30,72
ADX_72_scaled,0.020070964920620632,0.020070964920620632,16818,31,72
price_pos_in_range_72_norm,0.019070129793583385,0.019070129793583385,16818,32,72
dist_ema_100_z,0.017515752953892356,0.017515752953892356,16818,33,72
ret_accel_6_24_z,-0.017414540741167456,0.017414540741167456,16818,34,72
dist_ema_200_z,0.017002994537630708,0.017002994537630708,16818,35,72
bb_pos_20_norm,0.016166375940739126,0.016166375940739126,16818,36,72
ema_slope_100_z,0.01612258285263162,0.01612258285263162,16818,37,72
ret_accel_24_72_z,0.01604631426389792,0.01604631426389792,16818,38,72
volatility_72_sqrt_z,-0.01569494013998028,0.01569494013998028,16818,39,72
dist_to_low_168_sqrt_z,0.015592612115732724,0.015592612115732724,16818,40,72
price_pos_in_range_24_norm,0.015471054095124144,0.015471054095124144,16818,41,72
ema_slope_200_z,0.015382027638054633,0.015382027638054633,16818,42,72
ret_accel_72_168_z,-0.015342400088661706,0.015342400088661706,16818,43,72
dist_to_high_72_sqrt_z,-0.014580263342744416,0.014580263342744416,16818,44,72
dist_to_low_72_sqrt_z,0.009711046346571705,0.009711046346571705,16818,45,72
dist_ema_9_z,0.008814293107215009,0.008814293107215009,16818,46,72
ema_spread_21_50_z,0.007750417234915414,0.007750417234915414,16818,47,72
dist_to_high_24_sqrt_z,-0.007703744451716456,0.007703744451716456,16818,48,72
log_ret_6_z,-0.00655241759698418,0.00655241759698418,16818,49,72
log_ret_72_z,0.0049687283335788715,0.0049687283335788715,16818,50,72
MOM_pct_72_z,0.004824706083472974,0.004824706083472974,16818,51,72
volatility_168_sqrt_z,-0.0040397469559111405,0.0040397469559111405,16818,52,72
ema_spread_50_100_z,-0.0027594798874167195,0.0027594798874167195,16818,53,72
ema_spread_100_200_z,-0.0009089408219349199,0.0009089408219349199,16818,54,72
