feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank
volatility_168_sqrt_z,1.0,0.013808336212141503,0.0,33636,15,2242,1121,ok,5.0,0.006794616616210947,0.0,33636,15,2242,1121,ok,1.0,3.0,0.013808336212141503,0.0,2,entry,1
ema_spread_100_200_z,4.0,0.011601944961994848,0.0,33636,15,2242,1121,ok,1.0,0.008867019935528908,0.0,33636,15,2242,1121,ok,1.0,2.5,0.011601944961994848,0.0,2,exit,2
ADX_72_scaled,6.0,0.01097293749240491,0.0,33636,15,2242,1121,ok,2.0,0.008435138305358858,0.0,33636,15,2242,1121,ok,2.0,4.0,0.01097293749240491,0.0,2,exit,3
ADX_30_scaled,2.0,0.013681535775558418,0.0,33636,15,2242,1121,ok,15.0,0.004986032770656179,0.0,33636,15,2242,1121,ok,2.0,8.5,0.013681535775558418,0.0,1,entry,4
dist_to_low_24_sqrt_z,3.0,0.012875165956759527,0.0,33636,15,2242,1121,ok,12.0,0.005438114254924686,0.0,33636,15,2242,1121,ok,3.0,7.5,0.012875165956759527,0.0,2,entry,5
ema_spread_50_100_z,5.0,0.011328338555705142,0.0,33636,15,2242,1121,ok,3.0,0.007733049360936273,0.0,33636,15,2242,1121,ok,3.0,4.0,0.011328338555705142,0.0,2,exit,6
dist_to_high_168_sqrt_z,9.0,0.00990598999590786,0.0,33636,15,2242,1121,ok,4.0,0.007257213676198082,0.0,33636,15,2242,1121,ok,4.0,6.5,0.00990598999590786,0.0,2,exit,7
ema_slope_200_z,14.0,0.007505089932552278,0.0,33636,15,2242,1121,ok,6.0,0.006608318683581249,0.0,33636,15,2242,1121,ok,6.0,10.0,0.007505089932552278,0.0,2,exit,8
ema_spread_21_50_z,7.0,0.010707203377092078,0.0,33636,15,2242,1121,ok,21.0,0.0036880567001779663,0.0,33636,15,2242,1121,ok,7.0,14.0,0.010707203377092078,0.0,1,entry,9
ret_accel_72_168_z,38.0,0.0026639308253489924,0.0,33636,15,2242,1121,ok,7.0,0.006549747532597405,0.0,33636,15,2242,1121,ok,7.0,22.5,0.006549747532597405,0.0,1,exit,10
volatility_72_sqrt_z,8.0,0.010418534080702035,0.0,33636,15,2242,1121,ok,16.0,0.004894816922000278,0.0,33636,15,2242,1121,ok,8.0,12.0,0.010418534080702035,0.0,1,entry,11
dist_ema_200_z,24.0,0.005075381637749454,0.0,33636,15,2242,1121,ok,8.0,0.006484843013962682,0.0,33636,15,2242,1121,ok,8.0,16.0,0.006484843013962682,0.0,1,exit,12
dist_to_low_72_sqrt_z,25.0,0.004980501750059374,0.0,33636,15,2242,1121,ok,9.0,0.00623402695250691,0.0,33636,15,2242,1121,ok,9.0,17.0,0.00623402695250691,0.0,1,exit,13
