z_window,alpha_out,top_k,feature,frequency_top_k,n_appearances,n_subsamples_total,mean_union_rank,median_union_rank,mean_best_rank,mean_best_hie_norm,median_best_hie_norm,median_regime_coverage_topk,median_entry_n_samples,median_entry_n_bins_used,median_entry_min_bin_size_used,median_entry_min_action_count_in_bin,median_exit_n_samples,median_exit_n_bins_used,median_exit_min_bin_size_used,median_exit_min_action_count_in_bin,min_entry_min_bin_size_used,min_exit_min_bin_size_used,min_entry_min_action_count_in_bin,min_exit_min_action_count_in_bin,is_stable_at_pi
24,0.5,14,ADX_14_scaled,0.28,14,50,7.714285714285714,8.0,5.142857142857143,0.016178405560699858,0.015955980227159106,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,RSI_14_bounded,0.7,35,50,7.428571428571429,7.0,5.114285714285714,0.016255104896366744,0.016673573185130852,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,14,MOM_pct_30_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,14,ADX_30_scaled,0.8,40,50,4.325,3.0,2.85,0.018649882172730912,0.01895474719488327,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,14,RSI_30_bounded,0.66,33,50,6.454545454545454,5.0,4.333333333333333,0.016800220318849174,0.017009536192154784,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,14,MOM_pct_72_z,0.14,7,50,11.285714285714286,12.0,8.285714285714286,0.014266024951636242,0.01428044133166595,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,ADX_72_scaled,0.9,45,50,3.0,1.0,2.1555555555555554,0.02290663917501989,0.021734197768515706,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,14,RSI_72_bounded,0.7,35,50,5.457142857142857,4.0,3.857142857142857,0.01815666900408681,0.018396042953265357,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,True
24,0.5,14,MACD_hist_pct_z,0.06,3,50,9.333333333333334,11.0,6.333333333333333,0.015365081338735672,0.011684445833915702,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,NATR_14_z,0.36,18,50,9.5,11.0,6.444444444444445,0.012836668047172602,0.013167328569695491,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,bb_width_20_sqrt_z,0.38,19,50,8.0,7.0,5.473684210526316,0.011393625207798741,0.010804759611703685,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,bb_pos_20_norm,0.06,3,50,12.0,12.0,9.0,0.010963812872585446,0.009628882180938603,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,volatility_24_sqrt_z,0.56,28,50,8.035714285714286,7.5,5.428571428571429,0.012574834146017492,0.01181456991419369,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,volatility_72_sqrt_z,0.54,27,50,7.814814814814815,8.0,5.555555555555555,0.01597669595347793,0.01505377728870605,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,volatility_168_sqrt_z,0.5,25,50,8.76,8.0,6.2,0.015957300855724107,0.015666227455732984,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,log_ret_6_z,0.02,1,50,7.0,7.0,5.0,0.01210764608464121,0.01210764608464121,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,log_ret_24_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,14,log_ret_72_z,0.12,6,50,9.333333333333334,9.5,7.0,0.01590862038655741,0.0147289647210736,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,log_ret_168_z,0.22,11,50,9.454545454545455,10.0,6.363636363636363,0.010841509994546054,0.01038587212412534,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,ret_accel_6_24_z,0.26,13,50,8.615384615384615,9.0,6.076923076923077,0.01477265988592527,0.014687378820907981,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,ret_accel_24_72_z,0.26,13,50,7.3076923076923075,7.0,5.0,0.01555337672872598,0.014850903500551405,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,ret_accel_72_168_z,0.08,4,50,10.25,11.5,7.25,0.014405735344549989,0.013788446070719357,1.5,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,vol_ratio_24_log1p_z,0.02,1,50,14.0,14.0,9.0,0.005248885477011411,0.005248885477011411,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,vol_ratio_72_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,14,vol_ratio_168_log1p_z,0.02,1,50,11.0,11.0,7.0,0.00927537303019288,0.00927537303019288,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,range_sqrt_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,14,body_sqrt_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,14,vol_expansion_24_log1p_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
24,0.5,14,vol_expansion_72_log1p_z,0.04,2,50,12.5,12.5,8.0,0.004770652716625773,0.004770652716625773,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
24,0.5,14,vol_expansion_168_log1p_z,0.04,2,50,10.5,10.5,7.5,0.016462683767193426,0.016462683767193426,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
