feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
volatility_72_sqrt_z,0.04874513280868989,0.04874513280868989,16962,1,24
ret_accel_6_24_z,-0.04077676291622225,0.04077676291622225,16962,2,24
MOM_pct_30_z,0.040059706711345365,0.040059706711345365,16962,3,24
MOM_pct_14_z,0.036726040981635184,0.036726040981635184,16962,4,24
ema_spread_9_21_z,0.03272133144010124,0.03272133144010124,16962,5,24
log_ret_24_z,0.03267958602786328,0.03267958602786328,16962,6,24
range_sqrt_z,0.03200796505770559,0.03200796505770559,16962,7,24
ema_slope_21_z,0.03172615218476819,0.03172615218476819,16962,8,24
vol_expansion_168_log1p_z,0.030955597562460538,0.030955597562460538,16962,9,24
vol_expansion_72_log1p_z,0.029739988696007958,0.029739988696007958,16962,10,24
vol_ratio_168_log1p_z,0.029706177649905678,0.029706177649905678,16962,11,24
vol_ratio_72_log1p_z,0.029288732207629162,0.029288732207629162,16962,12,24
body_sqrt_z,0.029048144868012306,0.029048144868012306,16962,13,24
ret_accel_24_72_z,0.029021165821030676,0.029021165821030676,16962,14,24
NATR_14_z,0.028876671200611062,0.028876671200611062,16962,15,24
ema_slope_50_z,0.02850588840255891,0.02850588840255891,16962,16,24
dist_to_low_24_sqrt_z,0.026959243508324134,0.026959243508324134,16962,17,24
ema_spread_21_50_z,0.026561023800971438,0.026561023800971438,16962,18,24
MACD_hist_pct_z,0.026175955925165383,0.026175955925165383,16962,19,24
price_pos_in_range_168_norm,0.026073090124722347,0.026073090124722347,16962,20,24
vol_ratio_24_log1p_z,0.02556664392429926,0.02556664392429926,16962,21,24
ADX_14_scaled,0.024562190345036466,0.024562190345036466,16962,22,24
ema_slope_100_z,0.024294189666897593,0.024294189666897593,16962,23,24
ADX_30_scaled,0.0239759083384371,0.0239759083384371,16962,24,24
vol_expansion_24_log1p_z,0.023915974184040876,0.023915974184040876,16962,25,24
RSI_72_bounded,0.02371745794491948,0.02371745794491948,16962,26,24
volatility_168_sqrt_z,0.023685294419240787,0.023685294419240787,16962,27,24
dist_to_high_24_sqrt_z,-0.022895923296527877,0.022895923296527877,16962,28,24
dist_ema_50_z,0.022466240760867794,0.022466240760867794,16962,29,24
ema_slope_9_z,0.02233085876108773,0.02233085876108773,16962,30,24
dist_ema_21_z,0.021766195861425836,0.021766195861425836,16962,31,24
bb_width_20_sqrt_z,0.021233649168401234,0.021233649168401234,16962,32,24
volatility_24_sqrt_z,0.020644169238773588,0.020644169238773588,16962,33,24
dist_to_low_72_sqrt_z,0.0205496216784664,0.0205496216784664,16962,34,24
ADX_72_scaled,0.020503823618490433,0.020503823618490433,16962,35,24
dist_ema_100_z,0.020033933132408244,0.020033933132408244,16962,36,24
RSI_14_bounded,0.018791859171786895,0.018791859171786895,16962,37,24
ema_slope_200_z,0.0185991240588017,0.0185991240588017,16962,38,24
RSI_30_bounded,0.018344521912838044,0.018344521912838044,16962,39,24
dist_ema_200_z,0.01749675319646242,0.01749675319646242,16962,40,24
bb_pos_20_norm,0.01724605665992829,0.01724605665992829,16962,41,24
price_pos_in_range_72_norm,0.015697802648999466,0.015697802648999466,16962,42,24
ret_accel_72_168_z,-0.015210335637736305,0.015210335637736305,16962,43,24
price_pos_in_range_24_norm,0.014737969753121957,0.014737969753121957,16962,44,24
dist_to_high_72_sqrt_z,-0.013028225684364368,0.013028225684364368,16962,45,24
log_ret_72_z,-0.010966878916560651,0.010966878916560651,16962,46,24
MOM_pct_72_z,-0.010847726917757183,0.010847726917757183,16962,47,24
ema_spread_100_200_z,0.009397853093304454,0.009397853093304454,16962,48,24
dist_ema_9_z,0.008519185452685459,0.008519185452685459,16962,49,24
dist_to_low_168_sqrt_z,0.00829217235883694,0.00829217235883694,16962,50,24
ema_spread_50_100_z,0.0058143001886222165,0.0058143001886222165,16962,51,24
log_ret_168_z,0.004581292986074319,0.004581292986074319,16962,52,24
log_ret_6_z,-0.0010957359812772975,0.0010957359812772975,16962,53,24
dist_to_high_168_sqrt_z,-0.0003830510388014558,0.0003830510388014558,16962,54,24
