z_window,alpha_out,top_k,feature,frequency_top_k,n_appearances,n_subsamples_total,mean_union_rank,median_union_rank,mean_best_rank,mean_best_hie_norm,median_best_hie_norm,median_regime_coverage_topk,median_entry_n_samples,median_entry_n_bins_used,median_entry_min_bin_size_used,median_entry_min_action_count_in_bin,median_exit_n_samples,median_exit_n_bins_used,median_exit_min_bin_size_used,median_exit_min_action_count_in_bin,min_entry_min_bin_size_used,min_exit_min_bin_size_used,min_entry_min_action_count_in_bin,min_exit_min_action_count_in_bin,is_stable_at_pi
48,0.5,7,dist_ema_9_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,ema_slope_9_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,dist_ema_21_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,ema_slope_21_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,dist_ema_50_z,0.04,2,50,7.0,7.0,5.0,0.017174883176723083,0.017174883176723083,1.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
48,0.5,7,ema_slope_50_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,dist_ema_100_z,0.28,14,50,5.214285714285714,5.5,3.5714285714285716,0.019059898030845093,0.018749798564019066,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
48,0.5,7,ema_slope_100_z,0.02,1,50,3.0,3.0,2.0,0.017144456315644763,0.017144456315644763,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
48,0.5,7,dist_ema_200_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,ema_slope_200_z,0.06,3,50,4.666666666666667,5.0,3.0,0.018848286566972277,0.020131396630577836,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
48,0.5,7,ema_spread_9_21_z,0.0,0,50,,,,,,,,,,,,,,,,,,,False
48,0.5,7,ema_spread_21_50_z,0.16,8,50,3.375,3.0,2.375,0.0204357716237063,0.019458518063444313,2.0,16800.0,15.0,1120.0,560.0,16800.0,15.0,1120.0,560.0,1120.0,1120.0,560.0,560.0,False
