subsample_id,z_window,alpha_out,top_k,feature,union_rank,best_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,subsample_size,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason
0,72,0.5,7,dist_to_low_24_sqrt_z,1,1.0,0.03195787865185884,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,7,dist_to_high_168_sqrt_z,2,1.0,0.012908741131971546,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,7,ema_spread_100_200_z,3,2.0,0.02712610723798592,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,7,volatility_168_sqrt_z,4,2.0,0.026711370853213734,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,7,ADX_30_scaled,5,3.0,0.027026494878263252,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,7,NATR_14_z,6,3.0,0.019365492985594812,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,7,ADX_72_scaled,7,4.0,0.020051962959301395,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,dist_to_low_24_sqrt_z,1,1.0,0.03195787865185884,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,dist_to_high_168_sqrt_z,2,1.0,0.012908741131971546,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,ema_spread_100_200_z,3,2.0,0.02712610723798592,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,volatility_168_sqrt_z,4,2.0,0.026711370853213734,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,ADX_30_scaled,5,3.0,0.027026494878263252,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,NATR_14_z,6,3.0,0.019365492985594812,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,ADX_72_scaled,7,4.0,0.020051962959301395,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,ema_spread_21_50_z,8,5.0,0.02641620841445841,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,RSI_30_bounded,9,5.0,0.02366917876694996,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,RSI_72_bounded,10,6.0,0.02529935789210014,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,bb_width_20_sqrt_z,11,8.0,0.022453152662740117,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,dist_to_high_24_sqrt_z,12,8.0,0.013421874143696333,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,dist_ema_50_z,13,9.0,0.022013915377798732,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,14,MOM_pct_14_z,14,9.0,0.011402855498945375,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,dist_to_low_24_sqrt_z,1,1.0,0.03195787865185884,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,dist_to_high_168_sqrt_z,2,1.0,0.012908741131971546,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ema_spread_100_200_z,3,2.0,0.02712610723798592,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,volatility_168_sqrt_z,4,2.0,0.026711370853213734,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ADX_30_scaled,5,3.0,0.027026494878263252,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,NATR_14_z,6,3.0,0.019365492985594812,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ADX_72_scaled,7,4.0,0.020051962959301395,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ema_spread_21_50_z,8,5.0,0.02641620841445841,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,RSI_30_bounded,9,5.0,0.02366917876694996,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,RSI_72_bounded,10,6.0,0.02529935789210014,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,bb_width_20_sqrt_z,11,8.0,0.022453152662740117,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,dist_to_high_24_sqrt_z,12,8.0,0.013421874143696333,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,dist_ema_50_z,13,9.0,0.022013915377798732,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,MOM_pct_14_z,14,9.0,0.011402855498945375,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ema_spread_9_21_z,15,10.0,0.02070249398937546,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ema_spread_50_100_z,16,11.0,0.020316062913560473,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,log_ret_6_z,17,12.0,0.019378601173060672,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ema_slope_50_z,18,13.0,0.01969871819507424,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,volatility_24_sqrt_z,19,13.0,0.016312811954961537,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,20,ema_slope_200_z,20,15.0,0.009635168381901094,0.0,0,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,dist_to_low_24_sqrt_z,1,1.0,0.03195787865185884,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,dist_to_high_168_sqrt_z,2,1.0,0.012908741131971546,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,ema_spread_100_200_z,3,2.0,0.02712610723798592,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,volatility_168_sqrt_z,4,2.0,0.026711370853213734,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,ADX_30_scaled,5,3.0,0.027026494878263252,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,NATR_14_z,6,3.0,0.019365492985594812,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,ADX_72_scaled,7,4.0,0.020051962959301395,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,ema_spread_21_50_z,8,5.0,0.02641620841445841,0.0,2,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,RSI_30_bounded,9,5.0,0.02366917876694996,0.0,2,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,RSI_72_bounded,10,6.0,0.02529935789210014,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,bb_width_20_sqrt_z,11,8.0,0.022453152662740117,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,dist_to_high_24_sqrt_z,12,8.0,0.013421874143696333,0.0,1,exit,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
0,72,0.5,26,dist_ema_50_z,13,9.0,0.022013915377798732,0.0,1,entry,8400,16800,15,1120,560,ok,16800,15,1120,560,ok
