z_window,set_name_corr,set_name_hybrid,n_stable_hie_main_top_k,n_hie_incremental_kept,jaccard_hybrid_vs_corr,features_hybrid,features_corr
24,z24_a0p5_corr_pruned_top10,z24_a0p5_hybrid_corr5_bsstablehie5_top10,9,5,0.3333333333333333,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|ADX_72_scaled|ADX_30_scaled|ema_spread_50_100_z|RSI_72_bounded|RSI_14_bounded,volatility_72_sqrt_z|ret_accel_6_24_z|MOM_pct_30_z|MOM_pct_14_z|ema_spread_9_21_z|log_ret_24_z|range_sqrt_z|vol_ratio_168_log1p_z|body_sqrt_z|ret_accel_24_72_z
48,z48_a0p5_corr_pruned_top10,z48_a0p5_hybrid_corr5_bsstablehie5_top10,8,5,0.3333333333333333,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|ADX_72_scaled|ema_spread_100_200_z|volatility_168_sqrt_z|ADX_30_scaled|volatility_72_sqrt_z,MOM_pct_14_z|MACD_hist_pct_z|dist_to_low_24_sqrt_z|MOM_pct_30_z|range_sqrt_z|bb_width_20_sqrt_z|vol_ratio_72_log1p_z|body_sqrt_z|ret_accel_6_24_z|NATR_14_z
72,z72_a0p5_corr_pruned_top10,z72_a0p5_hybrid_corr5_bsstablehie5_top10,8,5,0.3333333333333333,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|bb_width_20_sqrt_z|body_sqrt_z|dist_to_low_24_sqrt_z|price_pos_in_range_168_norm|volatility_24_sqrt_z
