feature,entry_rank,entry_hie_norm,entry_p_value,entry_n_samples,entry_n_bins_used,entry_min_bin_size_used,entry_min_action_count_in_bin,entry_reason,exit_rank,exit_hie_norm,exit_p_value,exit_n_samples,exit_n_bins_used,exit_min_bin_size_used,exit_min_action_count_in_bin,exit_reason,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank
ema_spread_100_200_z,1.0,0.015784647602260615,0.0,33780,15,2252,1126,ok,10.0,0.004560667775377003,0.0,33780,15,2252,1126,ok,1.0,5.5,0.015784647602260615,0.0,2,entry,1
ADX_72_scaled,5.0,0.01062421592809637,0.0,33780,15,2252,1126,ok,1.0,0.00909661249554422,0.0,33780,15,2252,1126,ok,1.0,3.0,0.01062421592809637,0.0,2,exit,2
ADX_30_scaled,2.0,0.013623231298769634,0.0,33780,15,2252,1126,ok,7.0,0.0050454260214948254,0.0,33780,15,2252,1126,ok,2.0,4.5,0.013623231298769634,0.0,2,entry,3
bb_width_20_sqrt_z,51.0,0.0003927443212993209,0.0,33780,15,2252,1126,ok,2.0,0.008334259519911458,0.0,33780,15,2252,1126,ok,2.0,26.5,0.008334259519911458,0.0,1,exit,4
volatility_168_sqrt_z,3.0,0.012922203751616013,0.0,33780,15,2252,1126,ok,4.0,0.007174164436493213,0.0,33780,15,2252,1126,ok,3.0,3.5,0.012922203751616013,0.0,2,entry,5
NATR_14_z,31.0,0.0033547575364888393,0.0,33780,15,2252,1126,ok,3.0,0.007671309638209056,0.0,33780,15,2252,1126,ok,3.0,17.0,0.007671309638209056,0.0,1,exit,6
volatility_72_sqrt_z,4.0,0.012785421978784073,0.0,33780,15,2252,1126,ok,14.0,0.003672532652283289,0.0,33780,15,2252,1126,ok,4.0,9.0,0.012785421978784073,0.0,2,entry,7
volatility_24_sqrt_z,34.0,0.0031999680661892738,0.0,33780,15,2252,1126,ok,5.0,0.005718400695317205,0.0,33780,15,2252,1126,ok,5.0,19.5,0.005718400695317205,0.0,1,exit,8
RSI_14_bounded,8.0,0.00911850096868061,0.0,33780,15,2252,1126,ok,6.0,0.0052108304229199764,0.0,33780,15,2252,1126,ok,6.0,7.0,0.00911850096868061,0.0,2,exit,9
RSI_72_bounded,6.0,0.010165602536126417,0.0,33780,15,2252,1126,ok,15.0,0.002927946543471449,0.0,33780,15,2252,1126,ok,6.0,10.5,0.010165602536126417,0.0,1,entry,10
ret_accel_24_72_z,7.0,0.009366225150462482,0.0,33780,15,2252,1126,ok,27.0,0.0015096639032879944,0.0,33780,15,2252,1126,ok,7.0,17.0,0.009366225150462482,0.0,1,entry,11
ret_accel_72_168_z,36.0,0.002928178459488895,0.0,33780,15,2252,1126,ok,8.0,0.005004675487924437,0.0,33780,15,2252,1126,ok,8.0,22.0,0.005004675487924437,0.0,1,exit,12
RSI_30_bounded,9.0,0.008726082377167765,0.0,33780,15,2252,1126,ok,26.0,0.001798159177880343,0.0,33780,15,2252,1126,ok,9.0,17.5,0.008726082377167765,0.0,1,entry,13
ema_spread_50_100_z,43.0,0.0019301079837451551,0.0,33780,15,2252,1126,ok,9.0,0.0049556293361741055,0.0,33780,15,2252,1126,ok,9.0,26.0,0.0049556293361741055,0.0,1,exit,14
