feature,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,z_window
MOM_pct_14_z,selected,first_feature,,,72
vol_expansion_72_log1p_z,selected,below_threshold,0.018480960685770875,MOM_pct_14_z,72
range_sqrt_z,dropped,too_correlated,0.948131053604178,vol_expansion_72_log1p_z,72
MACD_hist_pct_z,selected,below_threshold,0.7681925702610555,MOM_pct_14_z,72
ema_slope_21_z,dropped,too_correlated,0.8654812180878761,MOM_pct_14_z,72
vol_ratio_72_log1p_z,selected,below_threshold,0.7860689064749138,vol_expansion_72_log1p_z,72
vol_expansion_168_log1p_z,dropped,too_correlated,0.9596018793270877,vol_expansion_72_log1p_z,72
ema_spread_9_21_z,selected,below_threshold,0.8480127400748149,MOM_pct_14_z,72
bb_width_20_sqrt_z,selected,below_threshold,0.27036152125619634,vol_ratio_72_log1p_z,72
ema_slope_9_z,dropped,too_correlated,0.8714899643949531,MOM_pct_14_z,72
body_sqrt_z,selected,below_threshold,0.6731518603681667,vol_expansion_72_log1p_z,72
vol_ratio_168_log1p_z,dropped,too_correlated,0.954308955007129,vol_ratio_72_log1p_z,72
vol_expansion_24_log1p_z,dropped,too_correlated,0.9172007831546924,vol_expansion_72_log1p_z,72
vol_ratio_24_log1p_z,dropped,too_correlated,0.8984427031636365,vol_ratio_72_log1p_z,72
dist_ema_21_z,dropped,too_correlated,0.8887304210321647,MOM_pct_14_z,72
dist_to_low_24_sqrt_z,selected,below_threshold,0.6781153185622711,MOM_pct_14_z,72
price_pos_in_range_168_norm,selected,below_threshold,0.18175675018149734,ema_spread_9_21_z,72
RSI_72_bounded,dropped,too_correlated,0.9222439436347973,price_pos_in_range_168_norm,72
volatility_24_sqrt_z,selected,below_threshold,0.6031221584216503,bb_width_20_sqrt_z,72
log_ret_168_z,selected,below_threshold,0.5160895653051113,price_pos_in_range_168_norm,72
log_ret_24_z,dropped,too_correlated,0.9172580411950547,ema_spread_9_21_z,72
MOM_pct_30_z,dropped,too_correlated,0.8881354237936372,ema_spread_9_21_z,72
dist_ema_50_z,dropped,too_correlated,0.9333599181076513,ema_spread_9_21_z,72
ADX_14_scaled,selected,below_threshold,0.47841712706813877,bb_width_20_sqrt_z,72
RSI_30_bounded,selected,below_threshold,0.8102070514072828,price_pos_in_range_168_norm,72
ema_slope_50_z,dropped,too_correlated,0.944477414373044,ema_spread_9_21_z,72
ADX_30_scaled,selected,below_threshold,0.6589897692551212,ADX_14_scaled,72
dist_to_high_168_sqrt_z,selected,below_threshold,0.7116189926243581,RSI_30_bounded,72
RSI_14_bounded,dropped,too_correlated,0.9190029073339167,RSI_30_bounded,72
NATR_14_z,selected,below_threshold,0.7727055521702039,volatility_24_sqrt_z,72
ADX_72_scaled,selected,below_threshold,0.6186332126459386,ADX_30_scaled,72
price_pos_in_range_72_norm,dropped,too_correlated,0.9314850630009566,RSI_30_bounded,72
dist_ema_100_z,dropped,too_correlated,0.8506274890186344,ema_spread_9_21_z,72
ret_accel_6_24_z,selected,below_threshold,0.7472292971467193,ema_spread_9_21_z,72
dist_ema_200_z,selected,below_threshold,0.8142943989471969,dist_to_high_168_sqrt_z,72
bb_pos_20_norm,selected,below_threshold,0.7773114053292116,MOM_pct_14_z,72
ema_slope_100_z,dropped,too_correlated,0.929605997778978,dist_ema_200_z,72
ret_accel_24_72_z,selected,below_threshold,0.41083130090950537,MACD_hist_pct_z,72
volatility_72_sqrt_z,selected,below_threshold,0.6316695154862105,NATR_14_z,72
dist_to_low_168_sqrt_z,selected,below_threshold,0.7448334017083681,dist_ema_200_z,72
price_pos_in_range_24_norm,dropped,too_correlated,0.9086121783729859,bb_pos_20_norm,72
ema_slope_200_z,dropped,too_correlated,0.94968213651026,dist_ema_200_z,72
ret_accel_72_168_z,selected,below_threshold,0.45088995949580163,ret_accel_24_72_z,72
dist_to_high_72_sqrt_z,selected,below_threshold,0.7478167487114453,dist_ema_200_z,72
dist_to_low_72_sqrt_z,selected,below_threshold,0.7206911337146931,dist_to_low_168_sqrt_z,72
dist_ema_9_z,selected,below_threshold,0.8082045898415123,bb_pos_20_norm,72
ema_spread_21_50_z,dropped,too_correlated,0.8656401700145266,dist_ema_200_z,72
dist_to_high_24_sqrt_z,selected,below_threshold,0.7309661610060092,dist_ema_9_z,72
log_ret_6_z,dropped,too_correlated,0.8967018928133668,dist_ema_9_z,72
log_ret_72_z,selected,below_threshold,0.7855329975023438,dist_ema_200_z,72
MOM_pct_72_z,dropped,too_correlated,0.9997887318724228,log_ret_72_z,72
volatility_168_sqrt_z,selected,below_threshold,0.3864178758129873,volatility_72_sqrt_z,72
