interval_minutes,z_window,series_kind,n_series,adf_reject_unit_root_rate,kpss_not_reject_stationarity_rate,both_stationary_rate,kpss_reject_stationarity_rate,median_adf_pvalue,median_kpss_pvalue
240,24,final_feature,162,1.0,0.8888888888888888,0.8888888888888888,0.1111111111111111,1.4263921442666045e-28,0.1
240,24,price_level,6,0.0,0.0,0.0,1.0,0.3838984984189173,0.01
240,24,target_log_return,15,1.0,0.26666666666666666,0.26666666666666666,0.7333333333333333,4.3700810785309784e-21,0.018667727884302578
240,48,final_feature,162,1.0,0.8888888888888888,0.8888888888888888,0.1111111111111111,1.266057205713805e-23,0.1
240,48,price_level,6,0.0,0.0,0.0,1.0,0.486474177389824,0.01
240,48,target_log_return,15,1.0,0.0,0.0,1.0,6.410522558128233e-21,0.015804449251430562
240,72,final_feature,162,1.0,0.8888888888888888,0.8888888888888888,0.1111111111111111,1.808115658694068e-20,0.1
240,72,price_level,6,0.0,0.0,0.0,1.0,0.5464710440151684,0.01
240,72,target_log_return,15,1.0,0.26666666666666666,0.26666666666666666,0.7333333333333333,6.560204218550138e-21,0.024997634838286723
