interval_minutes,symbol,z_window,series_kind,series_name,n_obs,n_unique,mean,std,adf_stat,adf_pvalue,adf_lags,kpss_stat,kpss_pvalue,kpss_lags,pp_stat,pp_pvalue,pp_lags,test_error,adf_reject_unit_root_5pct,kpss_reject_stationarity_5pct,kpss_not_reject_stationarity_5pct,both_stationary_5pct,stationarity_class
240,BTCUSDT,24,price_level,close,5673,5657,35245.71216111405,15173.49073894483,-0.7165742308703151,0.842409602959537,33,4.769753861946474,0.01,44,-0.7754104552842975,0.8262385764265314,33,,False,True,False,False,nonstationary_by_ADF_and_KPSS
240,BTCUSDT,24,price_level,log_close,5673,5657,10.384054052102075,0.4099514230520089,-0.9792370084828115,0.7607616028676611,27,4.502983243654145,0.01,44,-0.9213113902505233,0.7808732853526192,33,,False,True,False,False,nonstationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,dist_ema_9_z,5649,5612,0.004690266118886983,1.3178702629519883,-18.86228529048544,0.0,22,0.020708650645794115,0.1,32,-26.22397531817965,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,ema_slope_9_z,5649,5640,0.01839580785246863,1.4435043160838206,-18.711430769734548,2.0346324187425623e-30,19,0.02354796325575449,0.1,36,-10.682389867574654,3.9101470749634564e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,dist_ema_21_z,5649,5610,0.0037824433550807954,1.4132471550569925,-17.503565874398824,4.372480505100063e-30,21,0.018649938784855716,0.1,37,-22.22878858669164,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,ema_slope_21_z,5649,5642,0.02034755694106926,1.5465466381223334,-17.435367517790034,4.74179539297351e-30,19,0.02659985946480917,0.1,39,-10.615026684160345,5.704015285547115e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,dist_ema_50_z,5649,5612,-0.0005959901238995713,1.4966004450859898,-15.716338474130328,1.3404301618190498e-28,20,0.08311439276695161,0.1,39,-20.68986978977417,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,ema_slope_50_z,5649,5635,0.008448215263632423,1.6293917539145626,-15.680320891787899,1.4754447038226274e-28,19,0.1208654020222552,0.1,40,-10.51685945030194,9.91255469977488e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,dist_ema_100_z,5649,5609,-0.006822974219563286,1.541568730264958,-20.335261822143874,0.0,0,0.1613272372304539,0.1,39,-20.30141359705238,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,BTCUSDT,24,final_feature,ema_slope_100_z,5649,5635,-0.0015480321992530847,1.6725603236041577,-14.47726468392945,6.458817473529577e-27,19,0.2154023505051373,0.1,40,-10.328136399091157,2.889446757338522e-18,33,,True,False,True,True,stationary_by_ADF_and_KPSS
