selection_source,bandit_name,method_group,set_name,selected_trial_number,selected_objective_score,selected_valid,selected_mean_of_seed_mean_return_pct,selected_median_of_seed_median_return_pct,selected_mean_of_seed_median_return_pct,selected_std_of_seed_median_return_pct,selected_median_max_drawdown_abs,selected_median_profit_factor,selected_median_total_trades,selected_median_seed_val_first_median_return_pct,selected_median_seed_val_second_median_return_pct,selected_median_seed_min_half_median_return_pct,selected_median_seed_half_return_gap_pct,selected_memory_horizon_bars,n_selection_seeds,original_optuna_objective_score
ts_top3_25seed_confirmation,sw_lints,corr,z72_a0p5_corr_pruned_top10,19,0.1681205374581607,True,0.14981375389679516,0.1681205374581607,-0.06297758707534616,1.0524907512836112,11.175114149680464,0.9307343100878059,448.0,1.1307547968827603,-1.5928290740408246,-1.5928290740408246,2.6681556980093557,275.0,25,-0.0592954202515705
ts_top3_25seed_confirmation,sw_lints,hybrid,z24_a0p5_hybrid_corr5_stablehie5_top10,38,1.8026855384645213,True,4.187659008750547,1.8026855384645213,2.008399401391037,1.1289160696978795,10.465700554328116,1.1363631352549255,456.0,2.1649679734135674,0.07987092071610746,0.07987092071610746,2.062149910552735,350.0,25,1.8619079676499783
optuna_5seed_or_ucb,sw_linucb,corr,z72_a0p5_corr_pruned_top10,20,1.1042595408255362,True,0.6624020305248024,1.1042595408255362,1.1042595408255362,0.0,11.150318359538147,0.9747090405649816,482.0,2.928424724999834,-1.854054814330064,-1.854054814330064,4.782479539329898,250.0,1,1.1042595408255362
optuna_5seed_or_ucb,sw_linucb,hybrid,z24_a0p5_hybrid_corr5_stablehie5_top10,29,3.524440973261078,True,3.6879035837673806,3.524440973261078,3.524440973261078,0.0,8.78711014974336,1.2935490905109133,417.0,2.133762041077114,-0.4624398755746162,-0.4624398755746162,2.5962019166517303,400.0,1,3.524440973261078
