n_symbols,mean_return_pct,median_return_pct,min_return_pct,max_return_pct,max_drawdown_abs,mean_drawdown_abs,median_profit_factor,mean_profit_factor,total_trades,total_trade_events,mean_trades,mean_turnover,mean_win_rate,mean_raw_action_1_ratio,mean_executed_action_1_ratio,mean_threshold_applied_ratio,mean_constraint_applied_ratio,active_symbols,long_action_symbols,positive_return_symbols,all_symbols_active,all_symbols_have_long,val_first_mean_return_pct,val_first_median_return_pct,val_first_min_return_pct,val_first_max_return_pct,val_first_max_drawdown_abs,val_first_mean_drawdown_abs,val_first_median_profit_factor,val_first_mean_profit_factor,val_first_total_trades,val_first_total_trade_events,val_first_mean_turnover,val_first_mean_executed_action_1_ratio,val_first_mean_threshold_applied_ratio,val_first_mean_constraint_applied_ratio,val_first_positive_return_symbols,val_first_active_symbols,val_first_long_action_symbols,val_second_mean_return_pct,val_second_median_return_pct,val_second_min_return_pct,val_second_max_return_pct,val_second_max_drawdown_abs,val_second_mean_drawdown_abs,val_second_median_profit_factor,val_second_mean_profit_factor,val_second_total_trades,val_second_total_trade_events,val_second_mean_turnover,val_second_mean_executed_action_1_ratio,val_second_mean_threshold_applied_ratio,val_second_mean_constraint_applied_ratio,val_second_positive_return_symbols,val_second_active_symbols,val_second_long_action_symbols,min_half_median_return_pct,max_half_median_return_pct,half_return_gap_pct,second_minus_first_half_median_return_pct,seed,trial_number,bandit_name,method_group,set_name,z_window
5,-4.737018889516858,-4.901779947446228,-10.984965142172765,1.5505772376361415,14.013710414255687,9.160502604166041,0.7755819517278525,0.7696470967187132,614,1233,122.8,0.1233,0.4049648126158659,0.4048,0.4782,0.0519,0.1213,5,5,1,True,True,-0.39769882886842256,-1.0905257364643761,-4.099009933515319,5.455224535444314,6.579074078705882,4.9116297162730405,0.8772388312712385,0.9412113425542282,298,598,0.1196,0.49800000000000005,0.0494,0.1162,2,5,5,-4.361199238669702,-3.7408107174732197,-7.110314907761794,-2.314474158084534,10.413591311602522,7.305340520701449,0.6495953247691628,0.6297573162072293,316,635,0.127,0.4584,0.05439999999999999,0.1264,0,5,5,-3.7408107174732197,-1.0905257364643761,2.6502849810088436,-2.6502849810088436,3142,0,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-2.71120340353347,-4.624505009186219,-7.459002593681518,4.341409214039849,12.208761579657935,8.452768909956989,0.7753862758771141,0.8354667232628211,615,1234,123.0,0.12340000000000002,0.4238508606400682,0.4133,0.48460000000000003,0.0506,0.1213,5,5,2,True,True,1.8744178076419924,0.6118896810428209,-2.564141484085869,8.849739029448521,7.03230765081223,4.240945943409002,1.0091776614831445,1.1259705074617552,301,603,0.1206,0.524,0.05179999999999999,0.11359999999999999,3,5,5,-4.499061637665176,-5.0236752507252564,-5.802534222550538,-2.4333952435165007,10.231184931615678,7.6730798560395685,0.6073415368088353,0.6038369216944108,314,631,0.1262,0.4452,0.049400000000000006,0.129,0,5,5,-5.0236752507252564,0.6118896810428209,5.635564931768077,-5.635564931768077,3143,0,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.8839081908886122,-4.0630717490547035,-8.145507666160013,8.608458438068855,10.87901805613205,8.011267027424879,0.721047553250572,0.856024759978361,639,1281,127.8,0.12810000000000002,0.4568209488519817,0.40099999999999997,0.47409999999999997,0.048,0.1321,5,5,2,True,True,1.2540706109534905,0.012486206450512682,-3.9743144748366266,9.62096305425968,5.495684003959167,4.304703026799069,0.9603876960020277,1.0125025155879999,308,617,0.1234,0.4988,0.049,0.12179999999999999,3,5,5,-3.140816544378537,-3.2943821554073938,-6.4317091100291375,-0.9236414167330897,7.529444466799973,6.043091287016982,0.689203554081286,0.7118056363017919,331,664,0.1328,0.44939999999999997,0.047,0.14240000000000003,0,5,5,-3.2943821554073938,0.012486206450512682,3.3068683618579064,-3.3068683618579064,3144,0,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.5270058291418258,-3.0915874732518445,-7.0954769868624705,9.377351246610832,8.945938020880273,7.306862625418319,0.8010270593774751,0.8747467226279941,611,1226,122.2,0.1226,0.43956698684872053,0.4053,0.4768,0.0486,0.11969999999999999,5,5,1,True,True,1.4941614921752988,0.2826126505194315,-3.082749707862742,10.785343036219475,5.202352016007894,4.392532099972127,0.9118825613571143,1.102920871499904,301,604,0.12079999999999999,0.513,0.0464,0.11499999999999999,3,5,5,-2.960475742772317,-3.0970580670049985,-6.205065249994801,0.06567955937106795,8.114729900653739,6.0220168352467,0.7607132465101057,0.7093059872920943,310,622,0.1244,0.44060000000000005,0.0508,0.1244,1,5,5,-3.0970580670049985,0.2826126505194315,3.37967071752443,-3.37967071752443,3145,0,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-4.129648469090248,-5.673752278415378,-8.572243581060446,3.731178215605735,12.938886211106881,9.109299660299772,0.6911528125378353,0.7522395193462054,619,1242,123.8,0.12420000000000002,0.4353977478438618,0.4085,0.4795,0.0493,0.12730000000000002,5,5,1,True,True,-0.3138216992312316,-1.9511034442885045,-3.5479447765456196,6.783155472338054,5.93180334985991,5.064804265454732,0.7592629213029588,0.8516821030055256,289,579,0.11579999999999999,0.4988,0.0516,0.10979999999999998,2,5,5,-3.807054052336177,-2.8581073889719644,-7.452372800798246,-0.9717348726182018,10.840660742615905,7.244057433079045,0.6712657840711947,0.6716359844987865,330,663,0.1326,0.46020000000000005,0.047,0.14479999999999998,0,5,5,-2.8581073889719644,-1.9511034442885045,0.9070039446834599,-0.9070039446834599,3146,0,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.6250743727240604,-2.8589643943399468,-5.266605601007024,6.38483309908473,8.311057301765135,6.937193403498694,0.7808488903883416,0.8463283860027342,589,1181,117.8,0.11810000000000001,0.45279772211801017,0.4114,0.4793,0.0499,0.11699999999999999,5,5,1,True,True,1.7604868755170489,-0.6105159456152531,-1.7782242860754804,11.391159855979849,5.928518499512303,4.59114264544363,0.8765557849620178,1.1253340974859334,267,536,0.1072,0.5058,0.0508,0.0952,2,5,5,-3.24587976059822,-3.6515043087948507,-4.612951688150457,-1.5745338857806934,7.9355877798424235,6.211154202129871,0.6207878385312403,0.6703935056485927,322,645,0.129,0.4528,0.048999999999999995,0.1388,0,5,5,-3.6515043087948507,-0.6105159456152531,3.0409883631795975,-3.0409883631795975,3142,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-0.706221439384991,-0.5836964943175538,-9.587169295928277,9.634796084720954,12.630165254961689,7.347134818169532,0.9044582828379732,0.891945125095398,603,1210,120.6,0.121,0.45108296198880105,0.4086,0.48439999999999994,0.0528,0.121,5,5,1,True,True,2.182913356642324,0.973576145003574,-5.120632814946047,11.122929981374252,6.1881140346196295,4.261296174855825,1.1230274782843603,1.172622303562706,268,537,0.10739999999999998,0.5064,0.05139999999999999,0.0996,4,5,5,-2.854854395190247,-3.383904320811615,-4.707595142651655,-1.3391780588423385,8.135749768005507,5.968072398729065,0.7148587564078004,0.7175407493484638,335,673,0.1346,0.4624,0.054200000000000005,0.14240000000000003,0,5,5,-3.383904320811615,0.973576145003574,4.357480465815189,-4.357480465815189,3143,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-2.51895210454397,-3.2434963717079435,-5.392263724493684,2.7728810947982296,10.43090118785731,7.5062397012724364,0.7996653792539907,0.8308269740232099,600,1204,120.0,0.1204,0.4615970556131893,0.40449999999999997,0.4734,0.0523,0.11879999999999999,5,5,1,True,True,-0.06879504914370838,-0.4354667093270037,-4.236297165151615,3.7305981853821057,6.09256732550254,4.567465121090239,0.8956234324300132,0.9608756369222938,282,566,0.1132,0.4928,0.0546,0.0998,2,5,5,-2.4047169179050454,-2.8203111786634594,-4.298993639072002,0.03523024676512776,9.070583820098877,6.378979517676416,0.720133277847162,0.746497445220234,318,638,0.1276,0.454,0.05,0.1378,1,5,5,-2.8203111786634594,-0.4354667093270037,2.3848444693364557,-2.3848444693364557,3144,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.5547794610902947,-4.095622029188151,-5.822645350241896,10.080499536051324,10.058354446098395,7.564646654941666,0.7239290624708947,0.8667578744925108,613,1230,122.6,0.123,0.4400572370690018,0.4091,0.48260000000000003,0.0513,0.1262,5,5,1,True,True,0.4649935489974791,0.3583763246735483,-4.834159502065971,8.109127336226397,6.590914626899746,4.3570660684435385,0.9958772935647077,1.0273711451220722,290,581,0.1162,0.518,0.0466,0.11479999999999999,3,5,5,-2.004636466558034,-3.159165781640738,-6.0494262008186865,2.3823653214409823,9.175672778193643,6.089917512883947,0.6941401674520925,0.7884730363341144,323,649,0.1298,0.44719999999999993,0.05600000000000001,0.1376,2,5,5,-3.159165781640738,0.3583763246735483,3.5175421063142864,-3.5175421063142864,3145,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-3.0936945410939964,-3.638153163400004,-5.186565544921162,-0.7637631506851372,11.156326274323458,8.0993047052944,0.7969192877681462,0.8102088488085745,603,1210,120.6,0.121,0.44772005296708856,0.4032,0.4665,0.058399999999999994,0.1165,5,5,0,True,True,1.0035589831829972,0.7222607992601882,-1.8042034177994992,4.533388951721484,4.482051233007123,3.669436738226404,1.0885670811924943,1.0490701240592393,277,556,0.1112,0.4885999999999999,0.06,0.0996,3,5,5,-3.991338372634941,-3.3186398285649954,-7.015299643000961,-1.7937868877892948,10.242814854473824,6.981306003306041,0.6039149655883014,0.6294876867555529,326,654,0.1308,0.4444,0.056799999999999996,0.13340000000000002,0,5,5,-3.3186398285649954,0.7222607992601882,4.0409006278251836,-4.0409006278251836,3146,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
