selection_source,bandit_name,method_group,set_name,z_window,selected_trial_number,selected_dro,selected_feasible,selected_complete,is_fallback_any,is_fallback_infeasible,n_seeds_expected,n_seeds_used,n_seeds_missing,selected_dd,selected_pf,selected_trades,selected_min_sym,selected_memory,n_selection_seeds,original_optuna_dro
ts_confirmation,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,28,-4.037490244770789,True,True,False,False,25,25,0,8.677659221707101,0.7167783159196098,439.0,129.0,450.0,25,-3.1186664090249616
ts_confirmation,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,23,-2.0640295126802606,True,True,False,False,25,25,0,7.042053402080928,0.693122649592528,254.0,72.0,325.0,25,-1.6175940272492286
hpo_best,sw_linucb,corr,z72_a0p5_corr_pruned_top10,72,25,-2.550198045709717,True,True,False,False,1,1,0,7.5117426477110065,0.7453708466132205,444.0,137.0,350.0,1,-2.550198045709717
hpo_best,sw_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,23,-1.28689224327303,True,True,False,False,1,1,0,5.697271587107711,0.8248506479551385,302.0,83.0,325.0,1,-1.28689224327303
