bandit_name,method_group,set_name,confirmation_rank_from_optuna,original_trial_number,confirmation_seed,symbol,mode,start_value,end_value,return_pct,max_drawdown_pct,drawdown_abs,raw_action_1_ratio,executed_action_1_ratio,executed_action_1,raw_action_1,n_decisions,trade_events,turnover,threshold_applied_ratio,constraint_applied_ratio,abs_edge_mean,abs_edge_p50,uncertainty_0_mean,uncertainty_1_mean,n_reward_updates,mean_reward_update,std_reward_update,reward_abs_p95,trades,win_rate,mean_trade_pnl,median_trade_pnl,total_trade_pnl,profit_factor,source_mode,period_start_idx,period_end_idx_exclusive,period_start_timestamp,period_end_timestamp
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,BTCUSDT,train,100.0,98.26812965104976,-1.7318703489502374,-7.95384470675965,7.95384470675965,0.44329896907216493,0.47316032705296834,2662,2494,5626,464,0.08247422680412371,0.0844294347671525,0.05847849271240668,0.019454809142583386,0.014825556563938268,0.3116544210685238,0.34907657597856667,5616,-0.0012357139004416302,0.027751412674757246,0.056275576888266565,232,0.38362068965517243,-0.0015418462735304545,-0.003617693110537403,-0.35770833545906544,0.8806875150631482,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,BTCUSDT,val,100.0,98.63376817963892,-1.3662318203610746,-3.0007419199375773,3.0007419199375773,0.452,0.483,966,904,2000,165,0.0825,0.091,0.053,0.01613751572655322,0.01295128301228863,0.29622478509798256,0.3226543789409919,1990,-0.0005082121072136303,0.025388132479783703,0.054067363226193245,82,0.43902439024390244,-0.0018142494575543564,-0.0023962025457312775,-0.14876845551945722,0.8474474492446378,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,BTCUSDT,val_first,100.0,100.25064142159019,0.250641421590192,-1.7607367722402345,1.7607367722402345,0.489,0.508,508,489,1000,70,0.07,0.081,0.04,0.01673372829491413,0.013249798270457705,0.2888668544086171,0.3274205085085051,990,-0.00015105749924424752,0.02707544218020396,0.05760930933747672,35,0.4,0.00015697009628763852,-0.0073482616101260365,0.005493953370067348,1.0112466487659726,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,BTCUSDT,val_second,100.25064142159019,98.63376817963892,-1.6128308198565366,-2.9437333681372913,2.9437333681372913,0.415,0.458,458,415,1000,95,0.095,0.101,0.066,0.015541303158192306,0.012701184793693346,0.30358271578734797,0.3178882493734788,1000,-0.0008617951691033185,0.02360751421851662,0.0485735168720159,47,0.46808510638297873,-0.0032821789125430756,-0.0007420100802695596,-0.15426240888952455,0.6830427765699478,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,DOGEUSDT,train,99.9500625,82.01715439563377,-17.941867824611148,-19.476937830075393,19.476937830075393,0.46516174902239604,0.5158194098826875,2902,2617,5626,493,0.08762886597938144,0.05812300035549236,0.07607536437966583,0.024938324053513972,0.018461349692935367,0.32567574382373354,0.33252902198483053,5616,-0.0034743750047992296,0.04384059791812113,0.09293220929790788,246,0.4186991869918699,-0.009702384897551493,-0.004506881277677819,-2.3867866847976673,0.6011262180937293,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,DOGEUSDT,val,99.9500625,100.11809908226476,0.1681205374581607,-8.09157621466079,8.09157621466079,0.38,0.4325,865,760,2000,195,0.0975,0.0625,0.098,0.02840944322827477,0.02270313740977098,0.28658179900358666,0.357343332504714,1990,-0.0031074578040211037,0.0502417619791945,0.1070794784058051,97,0.5257731958762887,-0.0003953460817207671,0.0006326113551868746,-0.03834856992691441,0.9782322021403151,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,DOGEUSDT,val_first,99.9500625,100.44340011787537,0.4935841014360287,-3.9704539054134513,3.9704539054134513,0.382,0.434,434,382,1000,81,0.081,0.066,0.08,0.027878501730396684,0.02290037955259331,0.2863165191668014,0.38716259060535074,990,-0.005250154076606911,0.051478293743928163,0.10697234797002428,40,0.575,0.0010228939510293106,0.001543206975531443,0.04091575804117242,1.066090551928533,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,DOGEUSDT,val_second,100.32604704305038,100.11809908226476,-0.2072721560497537,-6.406215464866383,6.406215464866383,0.378,0.431,431,378,1000,114,0.114,0.059,0.116,0.028940384726152856,0.02265523198399147,0.28684707884037186,0.3275240744040772,1000,-0.000986188494161155,0.04892020354238457,0.10605913612146321,57,0.49122807017543857,-0.001390602245054156,-0.0017718107573804543,-0.07926432796808688,0.9306296041633035,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,ETHUSDT,train,100.0,83.61218584952852,-16.38781415047148,-17.314094379727173,17.314094379727173,0.4409882687522218,0.49786704585851405,2801,2481,5626,538,0.09562744400995378,0.06825453252755066,0.0917170280838962,0.023873925554070034,0.017276801569834757,0.3077972547932231,0.3502792728260383,5616,-0.002159856926494323,0.034085109045475195,0.07226011243168408,269,0.48698884758364314,-0.00792805313065881,-0.00212217493296952,-2.1326462921472196,0.6044813308964514,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,1,19,8000,ETHUSDT,val,100.0,95.28893137468467,-4.71106862531534,-10.167329415549275,10.167329415549275,0.4085,0.458,916,817,2000,201,0.1005,0.079,0.0895,0.020524844359514967,0.015379158336039589,0.29123878850371876,0.3297892607710553,1990,-0.0009894169561315753,0.03819485902121853,0.08081626333544292,100,0.48,-0.00613310170934933,-0.0017149993372101871,-0.613310170934933,0.6808985818633467,,,,,
