bandit_name,method_group,set_name,trial_number,seed,symbol,mode,start_value,end_value,return_pct,max_drawdown_pct,drawdown_abs,raw_action_1_ratio,executed_action_1_ratio,executed_action_1,raw_action_1,n_decisions,trade_events,turnover,threshold_applied_ratio,constraint_applied_ratio,abs_edge_mean,abs_edge_p50,uncertainty_0_mean,uncertainty_1_mean,n_reward_updates,mean_reward_update,std_reward_update,reward_abs_p95,trades,win_rate,mean_trade_pnl,median_trade_pnl,total_trade_pnl,profit_factor,source_mode,period_start_idx,period_end_idx_exclusive,period_start_timestamp,period_end_timestamp
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,train,100.0,86.53768413848208,-13.462315861517926,-13.99701931268883,13.99701931268883,0.45485247067188056,0.5264841805901174,2962,2559,5626,728,0.1293992179168148,0.06434411660149307,0.11393530039104159,0.02667332220305482,0.020097883189474034,0.32312003854941757,0.3720538562538655,5616,-0.0013444936927220132,0.027526900425682694,0.05686254494144413,364,0.3791208791208791,-0.004508699049696859,-0.005709161169031489,-1.6411664540896567,0.6645271861651051,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val,100.0,99.40452931081415,-0.5954706891858397,-4.856807457809442,4.856807457809442,0.44,0.5095,1019,880,2000,243,0.1215,0.0625,0.106,0.024662929848147067,0.019783311158351503,0.3031736748564847,0.33657611707743,1990,0.0004945591966023227,0.025356548700277367,0.05408642054223318,121,0.4049586776859504,-0.0007155936207985059,-0.002831509918948148,-0.0865868281166192,0.9371769665924615,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val_first,100.0,101.75973201155773,1.7597320115577242,-2.1464746341785745,2.1464746341785745,0.451,0.509,509,451,1000,94,0.094,0.045,0.085,0.028939632350655813,0.023273987454428973,0.289656613678129,0.3619556908605464,990,0.0026094499267331913,0.02699440674444017,0.05874489116865998,47,0.3829787234042553,0.0029551998008468315,-0.005880134802942283,0.13889439063980108,1.252494702410498,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,BTCUSDT,val_second,101.75973201155773,99.40452931081415,-2.314474158084534,-4.844606717699196,4.844606717699196,0.429,0.51,510,429,1000,149,0.149,0.08,0.127,0.020386227345638316,0.017146339087291587,0.3166907360348404,0.3111965432943136,1000,-0.0015991826262272372,0.023449784832250898,0.048487004910312985,74,0.4189189189189189,-0.0030470434967083825,-0.0024660842106389398,-0.2254812187564203,0.7277379872590221,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,train,99.9500625,78.90926166985084,-21.051313329743206,-24.571492657302485,24.571492657302485,0.45147529328119446,0.5321720583007465,2994,2540,5626,713,0.12673302523995733,0.04941343761109136,0.12371134020618557,0.034056271509656656,0.025364697226197358,0.3416294450460132,0.37056464688871066,5616,-0.0030824920274921275,0.04396420355104428,0.09066661697279692,356,0.4157303370786517,-0.007658783255789073,-0.005729423308037052,-2.72652683906091,0.6087122204233223,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,val,100.0,95.09822005255377,-4.901779947446228,-8.62153788627893,8.62153788627893,0.368,0.464,928,736,2000,259,0.1295,0.0315,0.1495,0.03969090614415628,0.032754700151009945,0.27766572439855286,0.38098201815544586,1990,-0.0015707774316675606,0.051492416298906364,0.10877591875376041,129,0.4418604651162791,-0.004433788040564097,-0.004893489080041852,-0.5719586572327685,0.7755819517278525,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,val_first,100.0,98.90947426353563,-1.0905257364643761,-4.845881515540318,4.845881515540318,0.369,0.452,452,369,1000,119,0.119,0.026,0.147,0.03961975042343544,0.032971790879838064,0.2706070343677104,0.40755418442896735,990,-0.0033133008793823694,0.05388134873353894,0.11255844790669536,59,0.5084745762711864,-0.002528109348302315,0.00010403905136373032,-0.1491584515498366,0.8772388312712385,val,0.0,1000.0,2024-07-01 00:00:00+00:00,2024-12-14 12:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,DOGEUSDT,val_second,98.7939133514147,95.09822005255377,-3.7408107174732197,-7.822094522100908,7.822094522100908,0.367,0.476,476,367,1000,140,0.14,0.037,0.152,0.039762061864877116,0.03253743872130904,0.28472441442939533,0.3544098518819244,1000,0.00015432078157010044,0.04897881283049649,0.10504179053117217,70,0.38571428571428573,-0.0060400029383276,-0.006718222437869915,-0.422800205682932,0.6829634444316525,val,1000.0,2000.0,2024-12-14 16:00:00+00:00,2025-05-30 04:00:00+00:00
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,ETHUSDT,train,100.0,85.20297647919116,-14.797023520808839,-15.689338931120433,15.689338931120433,0.4024173480270174,0.4856025595449698,2732,2264,5626,774,0.1375755421258443,0.056878777106292217,0.1311766797013864,0.031126290819987395,0.022716422703992947,0.30632215549113123,0.38902012700993327,5616,-0.0015253308817350056,0.033880193942402645,0.07172606726199494,387,0.4160206718346253,-0.004867023777418681,-0.0033262440284368825,-1.8835382018610298,0.6718675377093116,,,,,
sw_lints,corr,z72_a0p5_corr_pruned_top10,0,3142,ETHUSDT,val,100.0,89.01503485782723,-10.984965142172765,-14.013710414255687,14.013710414255687,0.3975,0.49,980,795,2000,283,0.1415,0.0585,0.158,0.03065848016464138,0.02357247833993891,0.28010153143684774,0.3611214230623561,1990,-0.0010562356575030323,0.038501380485427096,0.08120139827698569,141,0.3971631205673759,-0.009043346414892284,-0.006380751428638112,-1.2751118444998122,0.5558395822179801,,,,,
