number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
10,-4.536551279474091,13.10985787611663,0.17752469672467855,300,1.0,"[-89.0, 0.0]",0.0,-89.0,0.6925,0.5,-4.536551279474091,-4.536551279474091,-4.536551279474091,-4.536551279474091,0.0,-5.761166160397594,-5.761166160397594,0.0,0.3075,-6.547647410164725,-0.8627066367035807,-5.761166160397594,7.39568345323741,4.0,9.931996476283656,139.0,0.6022889749312277,8.0,452.0,300.0,1,dro_minimax_median,-4.536551279474091,-4.536551279474091,-5.761166160397594,9.931996476283656,139.0,0.6022889749312277,452.0,4.0,7.0,0.995,3142,0.17266187050359713,0.8273381294964028,True,COMPLETE
11,-3.7855976423629576,25.130125182623082,0.007249964085833467,200,1.0,"[-60.0, 0.0]",0.0,-60.0,0.7565,0.5,-3.7855976423629576,-3.7855976423629576,-3.7855976423629576,-3.7855976423629576,0.0,-4.453601806002768,-4.453601806002768,0.0,0.24350000000000005,-6.147731257049142,-1.7815851514435284,-4.453601806002768,8.073770491803279,4.0,9.486190455930965,110.0,0.7073375280291314,9.5,366.0,200.0,1,dro_minimax_median,-3.7855976423629576,-3.7855976423629576,-4.453601806002768,9.486190455930965,110.0,0.7073375280291314,366.0,4.0,8.0,0.995,3142,0.23770491803278687,0.7622950819672131,True,COMPLETE
12,-4.895721349702764,12.380649476428465,0.037778207429112004,225,1.0,"[-71.0, 0.0]",0.0,-71.0,0.7565,0.5,-4.895721349702764,-4.895721349702764,-4.895721349702764,-4.895721349702764,0.0,-6.365081165512606,-6.365081165512606,0.0,0.24350000000000005,-6.816409628233437,-0.4876419022732355,-6.365081165512606,8.454545454545455,4.0,10.308220414198333,121.0,0.673444422751614,10.0,383.0,225.0,1,dro_minimax_median,-4.895721349702764,-4.895721349702764,-6.365081165512606,10.308220414198333,121.0,0.673444422751614,383.0,4.0,8.0,0.995,3142,0.2231404958677686,0.7768595041322314,True,COMPLETE
13,-6.675802172202472,0.7639311567135596,0.010895290746044194,175,1.0,"[-54.0, 0.0]",0.0,-54.0,0.7585,0.5,-6.675802172202472,-6.675802172202472,-6.675802172202472,-6.675802172202472,0.0,-8.5061726669448,-8.5061726669448,0.0,0.24150000000000005,-9.565661218962411,-1.1846906879754908,-8.5061726669448,8.65,4.0,9.109947890229442,104.0,0.57503435108935,10.0,362.0,175.0,1,dro_minimax_median,-6.675802172202472,-6.675802172202472,-8.5061726669448,9.109947890229442,104.0,0.57503435108935,362.0,4.0,9.25,0.995,3142,0.25,0.75,True,COMPLETE
14,-4.390146921168876,2.6281092608368644,0.007881651057994727,225,1.0,"[-72.0, 0.0]",0.0,-72.0,0.7525,0.5,-4.390146921168876,-4.390146921168876,-4.390146921168876,-4.390146921168876,0.0,-5.728329073097086,-5.728329073097086,0.0,0.24750000000000005,-6.047503668016785,-0.37560046538424413,-5.728329073097086,7.385245901639344,4.0,10.392248715383401,122.0,0.6669069035716256,9.0,383.0,225.0,1,dro_minimax_median,-4.390146921168876,-4.390146921168876,-5.728329073097086,10.392248715383401,122.0,0.6669069035716256,383.0,4.0,7.0,0.995,3142,0.1951219512195122,0.8048780487804879,True,COMPLETE
15,-4.516579679587559,7.74220122811884,0.0707717645376309,425,1.0,"[-81.0, 0.0]",0.0,-81.0,0.7305,0.5,-4.516579679587559,-4.516579679587559,-4.516579679587559,-4.516579679587559,0.0,-5.684521783605878,-5.684521783605878,0.0,0.26949999999999996,-6.672617618059384,-1.0127533675326001,-5.684521783605878,7.549618320610687,4.0,8.534479214321788,131.0,0.6825483273302518,8.5,403.0,425.0,1,dro_minimax_median,-4.516579679587559,-4.516579679587559,-5.684521783605878,8.534479214321788,131.0,0.6825483273302518,403.0,4.0,7.0,0.995,3142,0.18115942028985507,0.8188405797101449,True,COMPLETE
16,-4.1937771290380805,9.038006628405176,0.06296314351614557,300,1.0,"[-74.0, 0.0]",0.0,-74.0,0.7085,0.5,-4.1937771290380805,-4.1937771290380805,-4.1937771290380805,-4.1937771290380805,0.0,-5.400635737423524,-5.400635737423524,0.0,0.2915,-5.92801545828923,-0.5732013038817504,-5.400635737423524,7.58,4.0,7.46624411331791,124.0,0.7143061244157287,8.0,420.0,300.0,1,dro_minimax_median,-4.1937771290380805,-4.1937771290380805,-5.400635737423524,7.46624411331791,124.0,0.7143061244157287,420.0,4.0,5.0,0.995,3142,0.15753424657534246,0.8424657534246576,True,COMPLETE
17,-3.063564073120967,0.5025986330309503,0.12009622172799832,450,1.0,"[-86.0, 0.0]",0.0,-86.0,0.7165,0.5,-3.063564073120967,-3.063564073120967,-3.063564073120967,-3.063564073120967,0.0,-3.220579602825154,-3.220579602825154,0.0,0.2835,-5.724288200715521,-2.5925174840084053,-3.220579602825154,7.485915492957746,4.0,7.256149540137569,136.0,0.6373399646939865,7.0,440.0,450.0,1,dro_minimax_median,-3.063564073120967,-3.063564073120967,-3.220579602825154,7.256149540137569,136.0,0.6373399646939865,440.0,4.0,6.0,0.995,3142,0.16901408450704225,0.8309859154929577,True,COMPLETE
18,-4.022043102683407,1.1372454488917456,0.03254687396040987,450,1.0,"[-84.0, 0.0]",0.0,-84.0,0.7065,0.5,-4.022043102683407,-4.022043102683407,-4.022043102683407,-4.022043102683407,0.0,-4.651731592428672,-4.651731592428672,0.0,0.2935,-6.667889576135063,-2.132977633447608,-4.651731592428672,7.363013698630137,4.0,8.959922717248425,134.0,0.7460625240964152,7.0,437.0,450.0,1,dro_minimax_median,-4.022043102683407,-4.022043102683407,-4.651731592428672,8.959922717248425,134.0,0.7460625240964152,437.0,4.0,6.0,0.995,3142,0.14925373134328357,0.8507462686567164,True,COMPLETE
19,-3.846758531510438,1.51821813072076,0.07500505984483133,425,1.0,"[-71.0, 0.0]",0.0,-71.0,0.7205,0.5,-3.846758531510438,-3.846758531510438,-3.846758531510438,-3.846758531510438,0.0,-5.068663943591604,-5.068663943591604,0.0,0.27949999999999997,-5.231892566408962,-0.18104229526693846,-5.068663943591604,7.15,4.0,6.589964414079974,121.0,0.6521627759721266,7.0,402.0,425.0,1,dro_minimax_median,-3.846758531510438,-3.846758531510438,-5.068663943591604,6.589964414079974,121.0,0.6521627759721266,402.0,4.0,6.0,0.995,3142,0.1702127659574468,0.8297872340425532,True,COMPLETE
