trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_window_size,param_noise_std,optuna_param_lambda_prior,optuna_param_window_size,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha
1,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,375.0,-4.926812358841815,True,dro_minimax_median,"[-112.0, 0.0]",-112.0,0.0,-4.926812358841815,-5.936897723918004,0.5,8.54644544892813,0.617213758254598,508.0,162.0,5,3142|3143|3144|3145|3146,-4.926812358841815,-4.982106637535608,0.7782407452154159,-6.026747691055624,-3.877184908953898,-5.936897723918004,-5.801618877526474,0.8150472651553836,-2.5965990216564094,-5.936897723918004,-8.129675081792323,8.54644544892813,0.617213758254598,508.0,162.0,4.0,5.530864197530864,4.0,5.0,0.9259259259259259,0.07407407407407407,8.0,0.344,0.656,0.656,0.653,sw_lints,0.1,0.7630340364993864,375,0.03288600341424091,0.7630340364993864,375,0.03288600341424091,,
2,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,350.0,-4.490504775094925,True,dro_minimax_median,"[-109.0, 0.0]",-109.0,0.0,-4.490504775094925,-5.328286007175368,0.5,8.85056793966017,0.6175994820839649,513.0,159.0,5,3142|3143|3144|3145|3146,-4.490504775094925,-4.2905669467608885,0.6966081575094836,-5.103020640473537,-3.2922824236099917,-5.328286007175368,-5.070589210616524,1.0781184108918576,-1.9771610788535954,-5.328286007175368,-7.195714265522082,8.85056793966017,0.6175994820839649,513.0,159.0,4.0,5.955974842767295,4.0,5.0,0.9044943820224719,0.09550561797752809,8.0,0.3375,0.6625,0.6625,0.6575,sw_lints,0.1,2.078420280073592,350,0.03200610675779633,2.078420280073592,350,0.03200610675779633,,
3,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,425.0,-3.071404031048644,True,dro_minimax_median,"[-52.0, 0.0]",-52.0,0.0,-3.071404031048644,-3.7616844364540163,0.5,6.905160239178887,0.6658650739184455,359.0,102.0,5,3142|3143|3144|3145|3146,-3.071404031048644,-3.0654059831183744,0.39369457294249766,-3.650103508617295,-2.572337968570457,-3.7616844364540163,-3.7137725655434908,0.4249641636252047,-1.2727856025648743,-3.7616844364540163,-4.656657393949836,6.905160239178887,0.6658650739184455,359.0,102.0,4.0,6.63963963963964,4.0,5.0,0.8666666666666667,0.13333333333333333,9.0,0.23150000000000004,0.7685,0.7685,0.767,sw_lints,0.1,2.138870492726761,425,0.00975423826382478,2.138870492726761,425,0.00975423826382478,,
4,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,325.0,-3.3977315915242734,True,dro_minimax_median,"[-38.0, 0.0]",-38.0,0.0,-3.3977315915242734,-4.344323227340241,0.5,7.844292268327846,0.7008217371748807,360.0,88.0,5,3142|3143|3144|3145|3146,-3.3977315915242734,-3.8509296416760024,1.3710864799241993,-5.554733629187192,-2.601838845636763,-4.344323227340241,-4.842721909805357,1.8660784780495183,-0.8406555811249494,-4.344323227340241,-4.918220509141917,7.844292268327846,0.7008217371748807,360.0,88.0,4.0,7.017699115044247,4.0,6.0,0.8496732026143791,0.1503267973856209,8.0,0.22550000000000003,0.7745,0.7745,0.771,sw_lints,0.1,3.5214433218841976,325,0.0030261592016370457,3.5214433218841976,325,0.0030261592016370457,,
5,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,450.0,-4.951069488702046,True,dro_minimax_median,"[-51.0, 0.0]",-51.0,0.0,-4.951069488702046,-5.972439380324357,0.5,8.880371647284402,0.6321924743592013,390.0,101.0,5,3142|3143|3144|3145|3146,-4.951069488702046,-4.345421495597305,1.1400599307524326,-5.4578529878630055,-2.9511000720892966,-5.972439380324357,-5.404655442621961,1.5812031824892825,-1.371455623940861,-5.972439380324357,-7.225969582809351,8.880371647284402,0.6321924743592013,390.0,101.0,4.0,7.165413533834586,4.0,5.0,0.849624060150376,0.15037593984962405,8.0,0.26549999999999996,0.7345,0.7345,0.7295,sw_lints,0.1,15.69541975891441,450,0.0012327337848189793,15.69541975891441,450,0.0012327337848189793,,
6,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,450.0,-2.9243440455603116,True,dro_minimax_median,"[-29.0, 0.0]",-29.0,0.0,-2.9243440455603116,-2.954522223531194,0.5,7.113792956649245,0.6865958747364411,286.0,79.0,5,3142|3143|3144|3145|3146,-2.9243440455603116,-2.6953411792127993,1.2216144753306681,-4.42662139806012,-1.4044933505535224,-2.954522223531194,-3.2016423596547177,1.6270462366741234,-0.7848836819921065,-2.954522223531194,-4.581900477062354,7.113792956649245,0.6865958747364411,286.0,79.0,4.0,6.489795918367347,4.0,4.0,0.8828828828828829,0.11711711711711711,8.0,0.1895,0.8105,0.8105,0.809,sw_lints,0.1,0.9619122909945217,450,0.001502251055102193,0.9619122909945217,450,0.001502251055102193,,
7,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,175.0,-3.465312390448751,True,dro_minimax_median,"[-48.0, 0.0]",-48.0,0.0,-3.465312390448751,-4.300091260908989,0.5,9.44323180531239,0.6659664186959431,330.0,98.0,5,3142|3143|3144|3145|3146,-3.465312390448751,-3.4823454538201135,0.24005127250894456,-3.826026684081689,-3.2201646458266024,-4.300091260908989,-4.3482330405789185,0.2623437320649147,-1.1938909586465003,-4.300091260908989,-5.74396366104681,9.44323180531239,0.6659664186959431,330.0,98.0,4.0,8.040816326530612,4.0,6.0,0.8217821782178217,0.1782178217821782,9.0,0.23050000000000004,0.7695,0.7695,0.767,sw_lints,0.1,20.412398403780916,175,0.0024423499165259037,20.412398403780916,175,0.0024423499165259037,,
8,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,425.0,-3.2808788821421064,True,dro_minimax_median,"[-48.0, 0.0]",-48.0,0.0,-3.2808788821421064,-4.193102785318155,0.5,7.4357231508589745,0.6623489267873269,346.0,98.0,5,3142|3143|3144|3145|3146,-3.2808788821421064,-3.59868724083971,0.6145532520704818,-4.478917026871022,-3.025879757311782,-4.193102785318155,-4.365995158159537,0.7792559409495123,-1.310034805124216,-4.193102785318155,-5.375031549026887,7.4357231508589745,0.6623489267873269,346.0,98.0,4.0,6.285714285714286,4.0,5.0,0.8888888888888888,0.1111111111111111,8.0,0.21599999999999997,0.784,0.784,0.7815,sw_lints,0.1,2.452159774456762,425,0.0013954426460853785,2.452159774456762,425,0.0013954426460853785,,
9,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,275.0,-3.1138123706013903,True,dro_minimax_median,"[-54.0, 0.0]",-54.0,0.0,-3.1138123706013903,-3.465187578237483,0.5,8.688967562424388,0.644939541438996,343.0,104.0,5,3142|3143|3144|3145|3146,-3.1138123706013903,-3.222543183987591,0.5136651820552878,-4.045795868240875,-2.710184170194126,-3.465187578237483,-3.6124287152025403,0.6279847265686527,-2.0810458401271936,-3.465187578237483,-5.49965772978576,8.688967562424388,0.644939541438996,343.0,104.0,4.0,7.267241379310345,4.0,5.0,0.8454545454545455,0.15454545454545454,8.0,0.21350000000000002,0.7865,0.7865,0.7815,sw_lints,0.1,5.916295194021042,275,0.002426932299776966,5.916295194021042,275,0.002426932299776966,,
10,sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,400.0,-2.9566677389055624,True,dro_minimax_median,"[-32.0, 0.0]",-32.0,0.0,-2.9566677389055624,-3.418840507236757,0.5,6.224285781643879,0.691612662589201,290.0,82.0,5,3142|3143|3144|3145|3146,-2.9566677389055624,-2.903306665054915,0.6673891868398218,-3.752636652180138,-1.904843530765114,-3.418840507236757,-3.499408351654482,0.6769878673813922,-1.4438975367904099,-3.418840507236757,-4.898675630114135,6.224285781643879,0.691612662589201,290.0,82.0,4.0,7.2073170731707314,4.0,7.0,0.8356164383561644,0.1643835616438356,9.0,0.20550000000000002,0.7945,0.7945,0.7915,sw_lints,0.1,0.5257609038172308,400,0.0015395689528126936,0.5257609038172308,400,0.0015395689528126936,,
