study_name,bandit_name,method_group,set_name,z_window,best_trial_number,best_objective_score,best_is_fallback_infeasible,best_is_feasible,n_completed_trials,n_feasible_trials,feasible_share,best_param_lambda_prior,best_param_window_size,best_param_noise_std,best_metric_memory_horizon_bars,best_metric_dro_minimax_median,best_metric_dro_minimax_mean,best_metric_dro_minimax_std,best_metric_h1_mean_aggregate_median,best_metric_h2_mean_aggregate_median,best_metric_full_mean_aggregate_median,best_metric_median_max_drawdown_abs,best_metric_median_profit_factor,best_metric_median_total_trades,best_metric_median_min_symbol_trades,best_metric_median_holding_bars_overall,best_metric_mean_holding_bars_overall,best_metric_p25_holding_bars_overall,best_metric_p75_holding_bars_overall,best_metric_share_trades_closed_before_horizon_overall,best_metric_share_trades_closed_after_horizon_overall,best_metric_median_time_between_entries_overall,best_metric_forced_singleton_ratio_overall,best_metric_decision_point_ratio_overall,best_metric_bandit_consulted_ratio_overall,best_metric_pending_update_queued_ratio_overall,best_param_ucb_alpha
sw_lints__corr__z48_a0p5_corr_pruned_top10,sw_lints,corr,z48_a0p5_corr_pruned_top10,48,32,-2.8744648846932144,False,True,50,50,1.0,27.540420347774912,350,0.001727188727257131,350.0,-2.8744648846932144,-3.0645857956695317,0.7227002110436194,0.28867759109008073,-3.928845709954313,-3.646345812853983,7.943349691951229,0.7580416415992098,436.0,138.0,4.0,6.957446808510638,4.0,6.0,0.8503401360544217,0.14965986394557823,8.0,0.28200000000000003,0.718,0.718,0.715,
sw_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,41,-1.9548791748324716,False,True,50,50,1.0,0.7481317506750544,225,0.002297565833456249,225.0,-1.9548791748324716,-2.378527986930288,1.076718715010663,-1.2990583197306431,-2.0867155698853925,-3.615626963365692,8.226155650844847,0.7404471359867703,312.0,80.0,4.0,7.356435643564357,4.0,6.0,0.8316831683168316,0.16831683168316833,10.0,0.20350000000000001,0.7965,0.7965,0.795,
sw_linucb__corr__z48_a0p5_corr_pruned_top10,sw_linucb,corr,z48_a0p5_corr_pruned_top10,48,46,-1.8359701391497931,False,True,50,50,1.0,9.428544973468002,325,,325.0,-1.8359701391497931,-1.8359701391497931,0.0,-0.5333112250454223,-2.2701897771845836,-2.7819790570499436,5.771629377985398,0.8575701839760264,486.0,145.0,4.0,6.571428571428571,4.0,5.0,0.8757763975155279,0.12422360248447205,8.0,0.3235,0.6765,0.6765,0.675,0.022711902902489478
sw_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,2,-0.8145363063672695,False,True,50,50,1.0,2.590090864414888,325,,325.0,-0.8145363063672695,-0.8145363063672695,0.0,0.28935184976345285,-1.1824990250775103,-0.8799861750689401,7.614391386228325,0.9875164460396021,412.0,105.0,4.0,6.953333333333333,4.0,5.0,0.8666666666666667,0.13333333333333333,7.0,0.3015,0.6985,0.6985,0.6935,0.09949317499572201
