feature,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_ratio,zero_std,symbol,z_window
dist_ema_9_z,5649.0,0.004690266118886983,1.3178702629519883,-5.0,-3.667018613396144,-2.0081408738482787,-0.022516937895399013,2.1338023304035825,3.878355340833704,5.0,0.0,False,BTCUSDT,24
ema_slope_9_z,5649.0,0.01839580785246863,1.4435043160838206,-5.0,-3.471799561126481,-2.276226386037007,-0.0206184951312076,2.5126665810334234,3.5792935394661525,5.0,0.0,False,BTCUSDT,24
dist_ema_21_z,5649.0,0.0037824433550807954,1.4132471550569925,-5.0,-3.6481329679372148,-2.191914131774472,-0.01770215571288906,2.317599053526646,3.913756125561803,5.0,0.0,False,BTCUSDT,24
ema_slope_21_z,5649.0,0.02034755694106926,1.5465466381223334,-5.0,-3.617954391291502,-2.4132565012294296,-0.009236380543455056,2.639968756067708,3.7926552762372623,5.0,0.0,False,BTCUSDT,24
dist_ema_50_z,5649.0,-0.0005959901238995713,1.4966004450859898,-5.0,-3.6915312134647333,-2.3555343071611055,-0.0052459195114883,2.3822312294978514,3.903614901692394,5.0,0.0,False,BTCUSDT,24
ema_slope_50_z,5649.0,0.008448215263632423,1.6293917539145626,-5.0,-3.7373297518987334,-2.507180677116719,-0.0007359995955966013,2.6799603383118478,3.786897521609646,5.0,0.0,False,BTCUSDT,24
dist_ema_100_z,5649.0,-0.006822974219563286,1.541568730264958,-5.0,-3.7268819732058134,-2.4035192264715772,-0.023337552825012747,2.4169889875318615,4.037249888461459,5.0,0.0,False,BTCUSDT,24
ema_slope_100_z,5649.0,-0.0015480321992530847,1.6725603236041577,-5.0,-3.727925461659429,-2.619557222496813,-0.037916177919061926,2.724651087137048,3.867324751774824,5.0,0.0,False,BTCUSDT,24
dist_ema_200_z,5649.0,-0.01674396221238318,1.5655353381061345,-5.0,-3.837714699122856,-2.45651026255579,-0.05718172395551141,2.4763075810395394,4.110124988717426,5.0,0.0,False,BTCUSDT,24
ema_slope_200_z,5649.0,-0.018772824830643468,1.7036463917011806,-5.0,-3.7671810295975723,-2.7356478060736737,-0.09024227723765064,2.7568439563363283,4.0510673837599755,5.0,0.0,False,BTCUSDT,24
ema_spread_9_21_z,5649.0,0.009350079892747392,1.6105287060213376,-5.0,-3.649896327037946,-2.518172876325036,0.016844229619697282,2.592685525970858,3.8670324598371826,5.0,0.0,False,BTCUSDT,24
ema_spread_21_50_z,5649.0,-0.012011679691990016,1.7574177206355133,-5.0,-3.5120743678589044,-2.611436494225104,-0.039472063143393424,2.7211584162646236,3.701631559434207,5.0,0.0,False,BTCUSDT,24
ema_spread_50_100_z,5649.0,-0.01911556883663288,1.8229429892735987,-5.0,-3.5906965213625868,-2.557127513886874,-0.11283641097517033,2.6478314880614042,3.5230781633351116,5.0,0.0,False,BTCUSDT,24
ema_spread_100_200_z,5649.0,-0.06104924688013013,1.82003733052265,-5.0,-3.453134462610036,-2.5368284445160465,-0.28799320021132113,2.48892918852181,3.3164697161199346,5.0,0.0,False,BTCUSDT,24
MOM_pct_14_z,5649.0,-0.00034997717941305306,1.3995957026288615,-5.0,-3.343113966267849,-2.2426907359542825,0.015482150169705194,2.1784223418216615,3.238972179067041,5.0,0.0,False,BTCUSDT,24
ADX_14_scaled,5649.0,0.14414189068456382,0.5077739710725974,-0.7072331317507308,-0.5732785401878993,-0.4715426568094775,0.0264177532257888,1.2012342371066043,1.6222742196133928,1.959805898732776,0.0,False,BTCUSDT,24
RSI_14_bounded,5649.0,0.011238972182883309,0.26862452537431014,-0.8903266192538944,-0.5923908141589398,-0.41589134429234587,-0.008406532795344077,0.48816297444204093,0.6629839087105829,0.8539300108303993,0.0,False,BTCUSDT,24
MOM_pct_30_z,5649.0,-0.0159517177735796,1.5343723347917615,-5.0,-3.539373014994965,-2.5013628400930785,0.0015434857500216564,2.392807947441784,3.4676961813377503,5.0,0.0,False,BTCUSDT,24
ADX_30_scaled,5649.0,-0.14746868224155024,0.3817044550192189,-0.7615979936814512,-0.6787056139532764,-0.6152317201190644,-0.23297490720585912,0.6822410805162227,0.9695937055025969,1.328809165915291,0.0,False,BTCUSDT,24
RSI_30_bounded,5649.0,0.012939331999564237,0.1973263360301279,-0.6848605637286349,-0.4550861478369056,-0.28056087821331427,-0.008297713299584756,0.3627907008091784,0.5185965585003652,0.7724678106500761,0.0,False,BTCUSDT,24
MOM_pct_72_z,5649.0,0.010858561330572615,1.528588338714247,-5.0,-3.6627607656957606,-2.4874242007379985,0.05670036165791736,2.366102035260598,3.407451200368659,5.0,0.0,False,BTCUSDT,24
ADX_72_scaled,5649.0,-0.4004527320591497,0.2598330510120293,-0.8106790493526981,-0.7647844551935822,-0.7269774387081727,-0.46548262501471294,0.10796886045348554,0.37648237157641834,0.4657582038739028,0.0,False,BTCUSDT,24
RSI_72_bounded,5649.0,0.012682031359826925,0.1392043238328657,-0.40130106275864796,-0.2981775716336589,-0.1833170848460713,-0.005721168402578343,0.273440171947175,0.40848175596842584,0.5764621230497972,0.0,False,BTCUSDT,24
MACD_hist_pct_z,5649.0,-0.0008665588158883401,1.4765337998479464,-5.0,-3.55658298416879,-2.331528223096321,-0.005700867205382624,2.363300902403099,3.49913403444071,5.0,0.0,False,BTCUSDT,24
NATR_14_z,5649.0,-0.15996093557725732,1.5397424588646893,-4.492207514680473,-3.0508370184858054,-2.3822024533819945,-0.30675390099159744,2.44850016135985,3.9449845217236543,5.0,0.0,False,BTCUSDT,24
bb_width_20_sqrt_z,5649.0,-0.049481300622408846,1.587241035102206,-5.0,-3.607410874264586,-2.4132218538268506,-0.15660147225895793,2.515342410209173,3.6912868711773443,5.0,0.0,False,BTCUSDT,24
bb_pos_20_norm,5649.0,0.0018438240051695432,0.3390636073130342,-1.0135513475936633,-0.7470432583012767,-0.5498365935651001,-0.0038777002505061,0.5497825732180879,0.7706772098717067,1.0744145615517504,0.0,False,BTCUSDT,24
volatility_24_sqrt_z,5649.0,-0.11467928349720764,1.648890727350371,-5.0,-4.919468079583847,-2.861074213922099,0.02208334008604037,2.2425840112562225,3.6263152518373984,5.0,0.0,False,BTCUSDT,24
volatility_72_sqrt_z,5649.0,-0.11733671665853292,1.6575338534515474,-5.0,-4.532054975315748,-2.697954488607002,-0.05859371473809371,2.2950909692209702,4.008089660132701,5.0,0.0,False,BTCUSDT,24
volatility_168_sqrt_z,5649.0,-0.06277126566219468,1.7195756949605843,-5.0,-4.890649394937533,-2.8172230741690014,-0.1004691429841886,2.47505240986327,4.197766382887588,5.0,0.0,False,BTCUSDT,24
log_ret_6_z,5649.0,0.007812936467651648,1.298943563981776,-5.0,-3.4112423541633197,-2.057259054214148,-0.01102489445875248,2.179003075947845,3.47028336996173,5.0,0.0,False,BTCUSDT,24
log_ret_24_z,5649.0,0.01083211764100708,1.5111152638039798,-5.0,-3.4959998340623955,-2.347567945702478,0.03820152834412452,2.4009914266312675,3.498171623812808,5.0,0.0,False,BTCUSDT,24
log_ret_72_z,5649.0,0.02404715380735695,1.5275498197776145,-5.0,-3.5757808885277433,-2.4324633530523405,0.047845030698833335,2.420979910897376,3.5050650561917718,5.0,0.0,False,BTCUSDT,24
log_ret_168_z,5649.0,-0.009927977720520122,1.545219266854512,-5.0,-3.722429929971089,-2.482613977663509,-0.052116804496653325,2.4731395722492038,3.830034483245724,5.0,0.0,False,BTCUSDT,24
ret_accel_6_24_z,5649.0,-0.012601221944901209,1.445323196927431,-5.0,-3.381341393222342,-2.338095440860048,0.009256230311180266,2.2316713135191137,3.314568897609355,5.0,0.0,False,BTCUSDT,24
ret_accel_24_72_z,5649.0,-0.003031875253083156,1.5711474508914292,-5.0,-3.6692374778036605,-2.472481738700196,0.03255477819176669,2.5007020587317017,3.8042274636268223,5.0,0.0,False,BTCUSDT,24
ret_accel_72_168_z,5649.0,0.021792017404249502,1.5310672059482417,-5.0,-3.609012328083123,-2.3878679872233635,0.07042880175068165,2.410258442302361,3.749237265047077,5.0,0.0,False,BTCUSDT,24
vol_ratio_24_log1p_z,5649.0,0.04368936467168199,1.22300135356274,-3.635144428221694,-1.9679292817605611,-1.5185257515102695,-0.16537909429366904,2.3226684271935776,3.745811820770903,5.0,0.0,False,BTCUSDT,24
vol_ratio_72_log1p_z,5649.0,0.036430799114877614,1.2098148075621649,-3.9611439071586094,-1.9395755825375265,-1.4946029656936142,-0.1853683430289741,2.2966509130844774,3.8689825702218283,5.0,0.0,False,BTCUSDT,24
vol_ratio_168_log1p_z,5649.0,0.03111427219423092,1.2013592483862265,-4.0667142255763125,-1.9425295963131024,-1.4796694644988055,-0.18516647395350114,2.291780191304445,3.812336230230008,5.0,0.0,False,BTCUSDT,24
range_sqrt_z,5649.0,0.005207848975831539,1.1680387533865706,-2.709532899224471,-1.92329022342118,-1.4816100361250117,-0.19015027263891776,2.196844223026127,3.9854756470746993,5.0,0.0,False,BTCUSDT,24
body_sqrt_z,5649.0,0.024205775076797546,1.1233330512179267,-2.715933151107502,-1.9059040277271917,-1.4589320918827686,-0.14203806178031333,2.140752613472536,3.612003174528042,5.0,0.0,False,BTCUSDT,24
vol_expansion_24_log1p_z,5649.0,0.03576686657580301,1.1865153199018323,-2.636565048506024,-1.8097316835355275,-1.4508911471968178,-0.19088015631223454,2.292545019332728,3.9042938267199885,5.0,0.0,False,BTCUSDT,24
vol_expansion_72_log1p_z,5649.0,0.01764114452942623,1.1777969751165636,-3.009121249980788,-1.8815998964237228,-1.4525995976635049,-0.19389156220064827,2.229069552001712,3.9766689417553907,5.0,0.0,False,BTCUSDT,24
vol_expansion_168_log1p_z,5649.0,0.012147106519213946,1.17059196268539,-2.9121468869446394,-1.8804695402904128,-1.4526323517890714,-0.19484362081408274,2.226665271587683,3.999584661404478,5.0,0.0,False,BTCUSDT,24
dist_to_high_24_sqrt_z,5649.0,-0.04226591729305061,1.470236854844864,-5.0,-4.055940057305451,-2.627580095075558,0.07448188768760558,2.1471134955787736,3.1266237410598077,5.0,0.0,False,BTCUSDT,24
dist_to_low_24_sqrt_z,5649.0,-0.04532925859940295,1.5017709618020065,-5.0,-4.103230252080519,-2.566711311394043,0.06584238974482637,2.2066597124206164,3.3532543050720536,5.0,0.0,False,BTCUSDT,24
price_pos_in_range_24_norm,5649.0,0.008228347419649583,0.27109015989104895,-0.49627524377281873,-0.4650209910310888,-0.40961307678941083,0.00017854793510863054,0.41973422086379786,0.4745301623600192,0.498703485525573,0.0,False,BTCUSDT,24
dist_to_high_72_sqrt_z,5649.0,-0.029644669403774457,1.516683034433356,-5.0,-4.384052209802294,-2.5146546995522145,0.08172331587054242,2.223859315456438,3.5316554420071142,5.0,0.0,False,BTCUSDT,24
dist_to_low_72_sqrt_z,5649.0,-0.1039661446202576,1.545578341152054,-5.0,-4.061117213562519,-2.7174608253461057,0.011596499789787808,2.1980459819772893,3.322084663851433,5.0,0.0,False,BTCUSDT,24
price_pos_in_range_72_norm,5649.0,0.0162325901858781,0.280016775988022,-0.49809239390922855,-0.4689298740663877,-0.4124787714026092,0.02028920018043623,0.4328025636131192,0.4766092127033404,0.498703485525573,0.0,False,BTCUSDT,24
dist_to_high_168_sqrt_z,5649.0,-0.012881817215404476,1.5347237381815326,-5.0,-4.38065293468318,-2.5268128505908782,0.12006835136250918,2.3154658079200954,3.707828444650506,5.0,0.0,False,BTCUSDT,24
dist_to_low_168_sqrt_z,5649.0,-0.08032672190039293,1.5533759777813758,-5.0,-4.241777080605627,-2.6169030049510487,-0.031441014562210365,2.288286483426158,3.5954496437983763,5.0,0.0,False,BTCUSDT,24
price_pos_in_range_168_norm,5649.0,0.005895666866134353,0.29521222496801625,-0.49819845667556434,-0.4676963074340076,-0.40812955073577134,-0.04674608558326476,0.4391960050814795,0.47740405562048255,0.4988744156066248,0.0,False,BTCUSDT,24
dist_ema_9_z,5649.0,-0.005179467048380575,1.2961659783085917,-5.0,-3.424049205457223,-2.11993118395653,-0.027361703282463897,2.048683820805974,3.356553911841826,5.0,0.0,False,ETHUSDT,24
ema_slope_9_z,5649.0,0.0087367693459297,1.4315989183519482,-5.0,-3.2873721036104575,-2.350767118025872,0.005635380375500709,2.3022980637117723,3.3925254385330548,5.0,0.0,False,ETHUSDT,24
dist_ema_21_z,5649.0,0.002109019418506861,1.3973074327829478,-5.0,-3.4164720645422397,-2.249270899062048,0.013025969728020675,2.2138690251553608,3.412345340460506,5.0,0.0,False,ETHUSDT,24
ema_slope_21_z,5649.0,0.013505005074447678,1.530991321109869,-5.0,-3.384484416768995,-2.517347528576981,0.06289969756746677,2.4220093237200566,3.5305493216982318,5.0,0.0,False,ETHUSDT,24
dist_ema_50_z,5649.0,0.014472573633994767,1.4787121094887574,-5.0,-3.5177765258366027,-2.4058363516624612,0.0398772227052995,2.312735366500457,3.441147536885028,5.0,0.0,False,ETHUSDT,24
ema_slope_50_z,5649.0,0.030931887447178504,1.613803970864784,-5.0,-3.520359054532736,-2.6214145546521945,0.05430558523155418,2.554817114678437,3.5935617966729643,5.0,0.0,False,ETHUSDT,24
dist_ema_100_z,5649.0,0.022269036177469878,1.5161557775905585,-5.0,-3.620883187917281,-2.44765890755569,0.03665913736278124,2.3820347693449238,3.4947942473221945,5.0,0.0,False,ETHUSDT,24
ema_slope_100_z,5649.0,0.03847663365026665,1.656742273511212,-5.0,-3.6018116367082538,-2.6884133597193243,0.04749598004718045,2.6266478354818426,3.5276640961417103,5.0,0.0,False,ETHUSDT,24
dist_ema_200_z,5649.0,0.019372531294572063,1.5304122034833736,-5.0,-3.6487927205566923,-2.507397529679041,0.033656806477105644,2.4118356930261284,3.6596683837195596,5.0,0.0,False,ETHUSDT,24
ema_slope_200_z,5649.0,0.025213519128825482,1.6714592613347818,-5.0,-3.7430030220187347,-2.7419197684034673,0.031024058898276554,2.6166868130378056,3.5980441097572347,5.0,0.0,False,ETHUSDT,24
ema_spread_9_21_z,5649.0,0.0029042082383490104,1.5946311988555326,-5.0,-3.554003582286719,-2.613677686572077,0.06173332752660868,2.4097331623863902,3.4544020934807182,5.0,0.0,False,ETHUSDT,24
ema_spread_21_50_z,5649.0,0.04402043945322885,1.7669685967934263,-5.0,-3.67928186280574,-2.649930839493838,0.14786714658920902,2.7051361587221354,3.5261276758943416,5.0,0.0,False,ETHUSDT,24
ema_spread_50_100_z,5649.0,0.03188601985592972,1.7944816553107985,-5.0,-3.38525042532185,-2.5867661372346187,0.07411295786908835,2.6046535640749457,3.52818738779662,5.0,0.0,False,ETHUSDT,24
ema_spread_100_200_z,5649.0,-0.0373729455648636,1.8233803810421059,-5.0,-3.4363050099138865,-2.4992852282559737,-0.2639093576657061,2.607505491343792,3.4422731018378183,5.0,0.0,False,ETHUSDT,24
MOM_pct_14_z,5649.0,-0.00400948683267145,1.4067534200471272,-5.0,-3.340448968745925,-2.288347037795071,0.042266025357289676,2.1296007126484016,3.153606444981399,5.0,0.0,False,ETHUSDT,24
ADX_14_scaled,5649.0,0.11131972684328825,0.4620310576817477,-0.6586461922249057,-0.5728745104316172,-0.46030310281350256,-0.0034844245009905705,1.0503729319848738,1.398165478329584,1.893370425614259,0.0,False,ETHUSDT,24
RSI_14_bounded,5649.0,0.005866361867900977,0.25623826438950237,-0.8748029607550468,-0.5726615458031584,-0.41517336712875813,0.001176012302967422,0.44413784404922746,0.5907728727345058,0.7972683904136167,0.0,False,ETHUSDT,24
MOM_pct_30_z,5649.0,-0.016227978664824023,1.5267375921986368,-5.0,-3.656373505676014,-2.4898816020214936,0.025262938866311174,2.348180698994071,3.317697834229888,5.0,0.0,False,ETHUSDT,24
ADX_30_scaled,5649.0,-0.16563173682656385,0.3455262294139559,-0.7524727701860463,-0.6641575434232249,-0.601565297778434,-0.23764368861398935,0.5025931617449757,0.7357105803353472,1.077287966381929,0.0,False,ETHUSDT,24
RSI_30_bounded,5649.0,0.005682535889465612,0.18392105803376912,-0.6700038376463183,-0.4132572278668743,-0.27571000066842677,-0.010465736608953904,0.32394134123011425,0.4531290274077314,0.6448206927133765,0.0,False,ETHUSDT,24
MOM_pct_72_z,5649.0,-0.0009456891808264714,1.4949576304942107,-5.0,-3.5054613688783776,-2.393395708994633,0.0371042026528758,2.299477204855101,3.3235506213394133,5.0,0.0,False,ETHUSDT,24
ADX_72_scaled,5649.0,-0.4088605305269733,0.246925738299761,-0.802729335906072,-0.7837993610725489,-0.7459845963256568,-0.4616109479293941,0.03267374675729606,0.20101649724371842,0.24552937830550065,0.0,False,ETHUSDT,24
RSI_72_bounded,5649.0,0.004572159815679944,0.12475295597749343,-0.37038288927221275,-0.2850079223605344,-0.18325654018908166,-0.014455380820302394,0.23386009156603724,0.31140710409818595,0.4545358246335459,0.0,False,ETHUSDT,24
MACD_hist_pct_z,5649.0,-0.03445446532149039,1.461445185343083,-5.0,-3.291773438907716,-2.3889611076522104,-0.047981429809990844,2.237132777175923,3.251309106501699,5.0,0.0,False,ETHUSDT,24
NATR_14_z,5649.0,-0.14748203413844235,1.5398010782664557,-3.7322354611887567,-2.8594327642650557,-2.338188672253469,-0.3227623752255747,2.514818712211462,4.077061959841054,5.0,0.0,False,ETHUSDT,24
bb_width_20_sqrt_z,5649.0,0.01207310221511512,1.562407761366839,-5.0,-3.491086152906303,-2.377673785075345,-0.014749405354843224,2.566731014223105,3.6193640697033955,5.0,0.0,False,ETHUSDT,24
bb_pos_20_norm,5649.0,0.003863038633145294,0.3385890133829676,-1.0062115925478357,-0.747857213983917,-0.5474107979529854,0.002430961355596839,0.5402838470974228,0.7361449051476808,1.0556764986399747,0.0,False,ETHUSDT,24
volatility_24_sqrt_z,5649.0,-0.1112273279242129,1.6569202347140173,-5.0,-4.634143197157361,-2.8459937084971636,-0.02667831169723253,2.310818259489465,3.710960297025499,5.0,0.0,False,ETHUSDT,24
volatility_72_sqrt_z,5649.0,-0.06195826619040632,1.6675781866289041,-5.0,-4.302366404490585,-2.6701161910870033,0.0788629728547202,2.357202938119483,3.6862977421371896,5.0,0.0,False,ETHUSDT,24
volatility_168_sqrt_z,5649.0,-0.04678431674831017,1.7312994177630225,-5.0,-4.663630889474447,-2.6898191861602467,-0.0971238377209733,2.557334291249411,4.161258712600195,5.0,0.0,False,ETHUSDT,24
log_ret_6_z,5649.0,-0.003051216048999294,1.2728636606079213,-5.0,-3.1981441702224487,-2.0691559205510788,-0.03210496922723089,2.047127893376856,3.095037252441701,5.0,0.0,False,ETHUSDT,24
log_ret_24_z,5649.0,0.003180583127102978,1.5141411543629335,-5.0,-3.4714185721377984,-2.413435696214955,0.031660478504924545,2.3760480352565096,3.329772689183521,5.0,0.0,False,ETHUSDT,24
log_ret_72_z,5649.0,0.014539000125831843,1.4943069977605477,-5.0,-3.399522227740687,-2.326865384035468,0.024268231302737597,2.354553283413393,3.3907197104114593,5.0,0.0,False,ETHUSDT,24
log_ret_168_z,5649.0,-0.023318231445437855,1.5296246574936267,-5.0,-3.7510523857671463,-2.4700996953106085,-0.052642083238841716,2.4940276961450687,3.514328414441547,5.0,0.0,False,ETHUSDT,24
ret_accel_6_24_z,5649.0,-0.007257889492166131,1.4561387591670327,-5.0,-3.142176086982539,-2.2712610433380296,-0.04534546723563373,2.3058018906909,3.2116536298014813,5.0,0.0,False,ETHUSDT,24
ret_accel_24_72_z,5649.0,-0.031356816905288576,1.5383338905183148,-5.0,-3.6405875463570108,-2.4599072766381362,-0.04292229396624385,2.437926291377249,3.527493890337988,5.0,0.0,False,ETHUSDT,24
ret_accel_72_168_z,5649.0,0.010991732737730816,1.511499298234451,-5.0,-3.538134744490879,-2.387375376435207,0.048370226004194834,2.385731273030033,3.540027981216881,5.0,0.0,False,ETHUSDT,24
vol_ratio_24_log1p_z,5649.0,0.04646336896075934,1.2064976848113516,-2.6242974799104357,-1.9413750171350748,-1.5030745178047995,-0.15306799015945668,2.3353919996194428,3.7000388198541616,5.0,0.0,False,ETHUSDT,24
vol_ratio_72_log1p_z,5649.0,0.035620379829256525,1.1996564444665951,-2.598887570303087,-1.944503147861037,-1.4849501934311473,-0.17888095544684104,2.306269544771924,3.861988839454781,5.0,0.0,False,ETHUSDT,24
vol_ratio_168_log1p_z,5649.0,0.03153546157154062,1.191337113675243,-2.7592914934733166,-1.9113441801959778,-1.4825282281999688,-0.18564466767271362,2.26917972231883,3.873156947742604,5.0,0.0,False,ETHUSDT,24
