interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,feature,target,horizon_bars,horizon_hours,corr_method,raw_corr,abs_corr,n_rows,n_features
30,30m,BTCUSDT,192,True,dist_ema_1600_z,target_log_ret_horizon_5,5,2.5,spearman,-0.0198664378039118,0.0198664378039118,45073,54
30,30m,BTCUSDT,192,True,dist_ema_1600_z,target_log_ret_horizon_10,10,5.0,spearman,-0.017480653068706897,0.017480653068706897,45073,54
30,30m,BTCUSDT,192,True,dist_ema_1600_z,target_log_ret_horizon_24,24,12.0,spearman,-0.0069929842728799554,0.0069929842728799554,45073,54
30,30m,BTCUSDT,192,True,ema_slope_1600_z,target_log_ret_horizon_1,1,0.5,spearman,-0.0024663372729681245,0.0024663372729681245,45073,54
30,30m,BTCUSDT,192,True,ema_slope_1600_z,target_log_ret_horizon_3,3,1.5,spearman,-0.009042272264899275,0.009042272264899275,45073,54
30,30m,BTCUSDT,192,True,ema_slope_1600_z,target_log_ret_horizon_5,5,2.5,spearman,-0.012371281875236674,0.012371281875236674,45073,54
30,30m,BTCUSDT,192,True,ema_slope_1600_z,target_log_ret_horizon_10,10,5.0,spearman,-0.011509674470252454,0.011509674470252454,45073,54
30,30m,BTCUSDT,192,True,ema_slope_1600_z,target_log_ret_horizon_24,24,12.0,spearman,-0.0053022719584423506,0.0053022719584423506,45073,54
30,30m,BTCUSDT,192,True,ema_spread_72_168_z,target_log_ret_horizon_1,1,0.5,spearman,0.0026978835312630057,0.0026978835312630057,45073,54
30,30m,BTCUSDT,192,True,ema_spread_72_168_z,target_log_ret_horizon_3,3,1.5,spearman,-0.003896567488195254,0.003896567488195254,45073,54
30,30m,BTCUSDT,192,True,ema_spread_72_168_z,target_log_ret_horizon_5,5,2.5,spearman,-0.007372827407109278,0.007372827407109278,45073,54
30,30m,BTCUSDT,192,True,ema_spread_72_168_z,target_log_ret_horizon_10,10,5.0,spearman,-0.007779298924802462,0.007779298924802462,45073,54
30,30m,BTCUSDT,192,True,ema_spread_72_168_z,target_log_ret_horizon_24,24,12.0,spearman,-0.004773244991583849,0.004773244991583849,45073,54
30,30m,BTCUSDT,192,True,ema_spread_168_400_z,target_log_ret_horizon_1,1,0.5,spearman,0.006108163117288221,0.006108163117288221,45073,54
30,30m,BTCUSDT,192,True,ema_spread_168_400_z,target_log_ret_horizon_3,3,1.5,spearman,0.004166714926866502,0.004166714926866502,45073,54
30,30m,BTCUSDT,192,True,ema_spread_168_400_z,target_log_ret_horizon_5,5,2.5,spearman,0.0007827315167349704,0.0007827315167349704,45073,54
30,30m,BTCUSDT,192,True,ema_spread_168_400_z,target_log_ret_horizon_10,10,5.0,spearman,-0.0018550785576434401,0.0018550785576434401,45073,54
30,30m,BTCUSDT,192,True,ema_spread_168_400_z,target_log_ret_horizon_24,24,12.0,spearman,-0.002079734884866884,0.002079734884866884,45073,54
30,30m,BTCUSDT,192,True,ema_spread_400_800_z,target_log_ret_horizon_1,1,0.5,spearman,0.006906113809147063,0.006906113809147063,45073,54
30,30m,BTCUSDT,192,True,ema_spread_400_800_z,target_log_ret_horizon_3,3,1.5,spearman,0.005225330709145074,0.005225330709145074,45073,54
30,30m,BTCUSDT,192,True,ema_spread_400_800_z,target_log_ret_horizon_5,5,2.5,spearman,0.0027934974462759253,0.0027934974462759253,45073,54
30,30m,BTCUSDT,192,True,ema_spread_400_800_z,target_log_ret_horizon_10,10,5.0,spearman,0.003921232307212157,0.003921232307212157,45073,54
30,30m,BTCUSDT,192,True,ema_spread_400_800_z,target_log_ret_horizon_24,24,12.0,spearman,0.007146080555214941,0.007146080555214941,45073,54
30,30m,BTCUSDT,192,True,ema_spread_800_1600_z,target_log_ret_horizon_1,1,0.5,spearman,0.008677046249195013,0.008677046249195013,45073,54
30,30m,BTCUSDT,192,True,ema_spread_800_1600_z,target_log_ret_horizon_3,3,1.5,spearman,0.008258014892639923,0.008258014892639923,45073,54
30,30m,BTCUSDT,192,True,ema_spread_800_1600_z,target_log_ret_horizon_5,5,2.5,spearman,0.006383566646652734,0.006383566646652734,45073,54
30,30m,BTCUSDT,192,True,ema_spread_800_1600_z,target_log_ret_horizon_10,10,5.0,spearman,0.0049278960428233804,0.0049278960428233804,45073,54
30,30m,BTCUSDT,192,True,ema_spread_800_1600_z,target_log_ret_horizon_24,24,12.0,spearman,-0.00013676096011318726,0.00013676096011318726,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01330220353353512,0.01330220353353512,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_3,3,1.5,spearman,-0.023428430504304446,0.023428430504304446,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_5,5,2.5,spearman,-0.026252385742058265,0.026252385742058265,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026520829070237804,0.026520829070237804,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_24,24,12.0,spearman,-0.019664800536442043,0.019664800536442043,45073,54
30,30m,BTCUSDT,192,True,ADX_112_scaled,target_log_ret_horizon_1,1,0.5,spearman,0.0028645670593367,0.0028645670593367,45073,54
30,30m,BTCUSDT,192,True,ADX_112_scaled,target_log_ret_horizon_3,3,1.5,spearman,0.005956032595833581,0.005956032595833581,45073,54
30,30m,BTCUSDT,192,True,ADX_112_scaled,target_log_ret_horizon_5,5,2.5,spearman,0.008272856348985657,0.008272856348985657,45073,54
30,30m,BTCUSDT,192,True,ADX_112_scaled,target_log_ret_horizon_10,10,5.0,spearman,0.011220373045950785,0.011220373045950785,45073,54
30,30m,BTCUSDT,192,True,ADX_112_scaled,target_log_ret_horizon_24,24,12.0,spearman,0.015996772780500147,0.015996772780500147,45073,54
30,30m,BTCUSDT,192,True,RSI_112_bounded,target_log_ret_horizon_1,1,0.5,spearman,-0.008014740730373334,0.008014740730373334,45073,54
30,30m,BTCUSDT,192,True,RSI_112_bounded,target_log_ret_horizon_3,3,1.5,spearman,-0.011229873807446488,0.011229873807446488,45073,54
30,30m,BTCUSDT,192,True,RSI_112_bounded,target_log_ret_horizon_5,5,2.5,spearman,-0.012770571608613135,0.012770571608613135,45073,54
30,30m,BTCUSDT,192,True,RSI_112_bounded,target_log_ret_horizon_10,10,5.0,spearman,-0.014597705031369548,0.014597705031369548,45073,54
30,30m,BTCUSDT,192,True,RSI_112_bounded,target_log_ret_horizon_24,24,12.0,spearman,-0.010004377750922517,0.010004377750922517,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_240_z,target_log_ret_horizon_1,1,0.5,spearman,-0.004294726467097385,0.004294726467097385,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_240_z,target_log_ret_horizon_3,3,1.5,spearman,-0.007624145892171947,0.007624145892171947,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_240_z,target_log_ret_horizon_5,5,2.5,spearman,-0.006589159900987453,0.006589159900987453,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_240_z,target_log_ret_horizon_10,10,5.0,spearman,-0.0022300158998582345,0.0022300158998582345,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_240_z,target_log_ret_horizon_24,24,12.0,spearman,0.014802258911892654,0.014802258911892654,45073,54
30,30m,BTCUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_1,1,0.5,spearman,0.0035673798158758424,0.0035673798158758424,45073,54
30,30m,BTCUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_3,3,1.5,spearman,0.008009048174239983,0.008009048174239983,45073,54
30,30m,BTCUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_5,5,2.5,spearman,0.011304858471601164,0.011304858471601164,45073,54
30,30m,BTCUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_10,10,5.0,spearman,0.014132555895414232,0.014132555895414232,45073,54
30,30m,BTCUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_24,24,12.0,spearman,0.023584902973249524,0.023584902973249524,45073,54
30,30m,BTCUSDT,192,True,RSI_240_bounded,target_log_ret_horizon_1,1,0.5,spearman,-0.0007583021231371016,0.0007583021231371016,45073,54
30,30m,BTCUSDT,192,True,RSI_240_bounded,target_log_ret_horizon_3,3,1.5,spearman,0.00038702431158997265,0.00038702431158997265,45073,54
30,30m,BTCUSDT,192,True,RSI_240_bounded,target_log_ret_horizon_5,5,2.5,spearman,-5.427411160645435e-05,5.427411160645435e-05,45073,54
30,30m,BTCUSDT,192,True,RSI_240_bounded,target_log_ret_horizon_10,10,5.0,spearman,-0.0016466692124907617,0.0016466692124907617,45073,54
30,30m,BTCUSDT,192,True,RSI_240_bounded,target_log_ret_horizon_24,24,12.0,spearman,-0.0019246780494904117,0.0019246780494904117,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_1,1,0.5,spearman,-0.011926062263683842,0.011926062263683842,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_3,3,1.5,spearman,-0.021115519552542268,0.021115519552542268,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_5,5,2.5,spearman,-0.0240727458509026,0.0240727458509026,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026281154284753683,0.026281154284753683,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_24,24,12.0,spearman,-0.02160966149309664,0.02160966149309664,45073,54
30,30m,BTCUSDT,192,True,ADX_576_scaled,target_log_ret_horizon_1,1,0.5,spearman,0.0026995981182653247,0.0026995981182653247,45073,54
30,30m,BTCUSDT,192,True,ADX_576_scaled,target_log_ret_horizon_3,3,1.5,spearman,0.00834624410771577,0.00834624410771577,45073,54
30,30m,BTCUSDT,192,True,ADX_576_scaled,target_log_ret_horizon_5,5,2.5,spearman,0.011897634797826807,0.011897634797826807,45073,54
30,30m,BTCUSDT,192,True,ADX_576_scaled,target_log_ret_horizon_10,10,5.0,spearman,0.017716139051169387,0.017716139051169387,45073,54
30,30m,BTCUSDT,192,True,ADX_576_scaled,target_log_ret_horizon_24,24,12.0,spearman,0.031913856065387596,0.031913856065387596,45073,54
30,30m,BTCUSDT,192,True,RSI_576_bounded,target_log_ret_horizon_1,1,0.5,spearman,0.003689659068103535,0.003689659068103535,45073,54
30,30m,BTCUSDT,192,True,RSI_576_bounded,target_log_ret_horizon_3,3,1.5,spearman,0.008598060198478986,0.008598060198478986,45073,54
30,30m,BTCUSDT,192,True,RSI_576_bounded,target_log_ret_horizon_5,5,2.5,spearman,0.010037844778901302,0.010037844778901302,45073,54
30,30m,BTCUSDT,192,True,RSI_576_bounded,target_log_ret_horizon_10,10,5.0,spearman,0.008505444073709,0.008505444073709,45073,54
30,30m,BTCUSDT,192,True,RSI_576_bounded,target_log_ret_horizon_24,24,12.0,spearman,0.0066158003912675685,0.0066158003912675685,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_1,1,0.5,spearman,-0.03679124652633737,0.03679124652633737,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_3,3,1.5,spearman,-0.0407541371400792,0.0407541371400792,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_5,5,2.5,spearman,-0.037668833838732686,0.037668833838732686,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_10,10,5.0,spearman,-0.027778341514065878,0.027778341514065878,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_24,24,12.0,spearman,0.012208406622776643,0.012208406622776643,45073,54
30,30m,BTCUSDT,192,True,NATR_14_z,target_log_ret_horizon_1,1,0.5,spearman,0.0076654008554303136,0.0076654008554303136,45073,54
30,30m,BTCUSDT,192,True,NATR_14_z,target_log_ret_horizon_3,3,1.5,spearman,0.01667917699658921,0.01667917699658921,45073,54
30,30m,BTCUSDT,192,True,NATR_14_z,target_log_ret_horizon_5,5,2.5,spearman,0.01667258584011545,0.01667258584011545,45073,54
30,30m,BTCUSDT,192,True,NATR_14_z,target_log_ret_horizon_10,10,5.0,spearman,0.019653873375814864,0.019653873375814864,45073,54
30,30m,BTCUSDT,192,True,NATR_14_z,target_log_ret_horizon_24,24,12.0,spearman,0.02504569262605509,0.02504569262605509,45073,54
30,30m,BTCUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.00805499173284695,0.00805499173284695,45073,54
30,30m,BTCUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.01620224461765225,0.01620224461765225,45073,54
30,30m,BTCUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.0165458158108238,0.0165458158108238,45073,54
30,30m,BTCUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.014408524730254847,0.014408524730254847,45073,54
30,30m,BTCUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.024096599256759853,0.024096599256759853,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.06482821112203566,0.06482821112203566,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_3,3,1.5,spearman,-0.07468899707223364,0.07468899707223364,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_5,5,2.5,spearman,-0.0708858262627826,0.0708858262627826,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.06116694098748305,0.06116694098748305,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_24,24,12.0,spearman,-0.017305909623251587,0.017305909623251587,45073,54
30,30m,BTCUSDT,192,True,volatility_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.000441547852198023,0.000441547852198023,45073,54
30,30m,BTCUSDT,192,True,volatility_192_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.003971837546848296,0.003971837546848296,45073,54
30,30m,BTCUSDT,192,True,volatility_192_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,0.0023790229804074585,0.0023790229804074585,45073,54
