interval_minutes,interval_label,symbol,z_window,use_calendar_scaled_indicators,feature,target,horizon_bars,horizon_hours,corr_method,raw_corr,abs_corr,n_rows,n_features
30,30m,BTCUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_5,5,2.5,spearman,-0.024610658014873544,0.024610658014873544,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_5,5,2.5,spearman,-0.02416472697808176,0.02416472697808176,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_5,5,2.5,spearman,-0.0240727458509026,0.0240727458509026,45073,54
30,30m,BTCUSDT,192,True,dist_ema_400_z,target_log_ret_horizon_5,5,2.5,spearman,-0.02355326857348317,0.02355326857348317,45073,54
30,30m,BTCUSDT,192,True,dist_to_low_576_sqrt_z,target_log_ret_horizon_5,5,2.5,spearman,-0.022935334708295466,0.022935334708295466,45073,54
30,30m,BTCUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.06116694098748305,0.06116694098748305,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.036280872422444065,0.036280872422444065,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_10,10,5.0,spearman,-0.03376230314624638,0.03376230314624638,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.030531603720458933,0.030531603720458933,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_10,10,5.0,spearman,-0.029899838046374604,0.029899838046374604,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.02917819910677345,0.02917819910677345,45073,54
30,30m,BTCUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_10,10,5.0,spearman,-0.029075010754662185,0.029075010754662185,45073,54
30,30m,BTCUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_10,10,5.0,spearman,-0.027778341514065878,0.027778341514065878,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,0.027163314836656086,0.027163314836656086,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026520829070237804,0.026520829070237804,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026395414398571973,0.026395414398571973,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_10,10,5.0,spearman,-0.026281154284753683,0.026281154284753683,45073,54
30,30m,BTCUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_10,10,5.0,spearman,-0.025397358606340997,0.025397358606340997,45073,54
30,30m,BTCUSDT,192,True,ema_slope_72_z,target_log_ret_horizon_10,10,5.0,spearman,-0.024705786581148997,0.024705786581148997,45073,54
30,30m,BTCUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_10,10,5.0,spearman,-0.02326224845213895,0.02326224845213895,45073,54
30,30m,BTCUSDT,192,True,volatility_1344_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.04410437855926824,0.04410437855926824,45073,54
30,30m,BTCUSDT,192,True,ret_accel_48_192_z,target_log_ret_horizon_24,24,12.0,spearman,-0.042286444973198715,0.042286444973198715,45073,54
30,30m,BTCUSDT,192,True,log_ret_48_z,target_log_ret_horizon_24,24,12.0,spearman,-0.03610441747236961,0.03610441747236961,45073,54
30,30m,BTCUSDT,192,True,ADX_576_scaled,target_log_ret_horizon_24,24,12.0,spearman,0.031913856065387596,0.031913856065387596,45073,54
30,30m,BTCUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.031696581596654366,0.031696581596654366,45073,54
30,30m,BTCUSDT,192,True,ret_accel_192_576_z,target_log_ret_horizon_24,24,12.0,spearman,0.028202897859906456,0.028202897859906456,45073,54
30,30m,BTCUSDT,192,True,NATR_14_z,target_log_ret_horizon_24,24,12.0,spearman,0.02504569262605509,0.02504569262605509,45073,54
30,30m,BTCUSDT,192,True,bb_width_20_sqrt_z,target_log_ret_horizon_24,24,12.0,spearman,0.024096599256759853,0.024096599256759853,45073,54
30,30m,BTCUSDT,192,True,ADX_240_scaled,target_log_ret_horizon_24,24,12.0,spearman,0.023584902973249524,0.023584902973249524,45073,54
30,30m,BTCUSDT,192,True,log_ret_192_z,target_log_ret_horizon_24,24,12.0,spearman,0.02351165104643946,0.02351165104643946,45073,54
30,30m,BTCUSDT,192,True,log_ret_576_z,target_log_ret_horizon_24,24,12.0,spearman,-0.02174062604611944,0.02174062604611944,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_24,24,12.0,spearman,-0.02160966149309664,0.02160966149309664,45073,54
30,30m,BTCUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_24,24,12.0,spearman,-0.019664800536442043,0.019664800536442043,45073,54
30,30m,BTCUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_24,24,12.0,spearman,-0.018924008360766142,0.018924008360766142,45073,54
30,30m,BTCUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_24,24,12.0,spearman,-0.017464888859767113,0.017464888859767113,45073,54
30,30m,ETHUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.06140187063549073,0.06140187063549073,45073,54
30,30m,ETHUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_1,1,0.5,spearman,-0.0389827641524636,0.0389827641524636,45073,54
30,30m,ETHUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_1,1,0.5,spearman,-0.03046388149934763,0.03046388149934763,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.025794898902093164,0.025794898902093164,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.024988252386916748,0.024988252386916748,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.024456470760147803,0.024456470760147803,45073,54
30,30m,ETHUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_1,1,0.5,spearman,-0.022453110219922398,0.022453110219922398,45073,54
30,30m,ETHUSDT,192,True,log_ret_48_z,target_log_ret_horizon_1,1,0.5,spearman,-0.021043203643772806,0.021043203643772806,45073,54
30,30m,ETHUSDT,192,True,dist_to_low_192_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.020916958174851476,0.020916958174851476,45073,54
30,30m,ETHUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.019791738270754634,0.019791738270754634,45073,54
30,30m,ETHUSDT,192,True,dist_to_low_576_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01974530142126845,0.01974530142126845,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_1,1,0.5,spearman,-0.01832642433235022,0.01832642433235022,45073,54
30,30m,ETHUSDT,192,True,dist_ema_400_z,target_log_ret_horizon_1,1,0.5,spearman,-0.01728857648402114,0.01728857648402114,45073,54
30,30m,ETHUSDT,192,True,dist_ema_1600_z,target_log_ret_horizon_1,1,0.5,spearman,-0.016378995034869153,0.016378995034869153,45073,54
30,30m,ETHUSDT,192,True,body_sqrt_z,target_log_ret_horizon_1,1,0.5,spearman,0.0163274451220136,0.0163274451220136,45073,54
30,30m,ETHUSDT,192,True,bb_pos_20_norm,target_log_ret_horizon_3,3,1.5,spearman,-0.06180073037380335,0.06180073037380335,45073,54
30,30m,ETHUSDT,192,True,MACD_hist_pct_z,target_log_ret_horizon_3,3,1.5,spearman,-0.037858072270388045,0.037858072270388045,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_1344_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.035203314554483105,0.035203314554483105,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_576_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.033750538390866114,0.033750538390866114,45073,54
30,30m,ETHUSDT,192,True,dist_ema_72_z,target_log_ret_horizon_3,3,1.5,spearman,-0.033494195587362496,0.033494195587362496,45073,54
30,30m,ETHUSDT,192,True,dist_to_high_192_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,0.03093869875117242,0.03093869875117242,45073,54
30,30m,ETHUSDT,192,True,dist_ema_168_z,target_log_ret_horizon_3,3,1.5,spearman,-0.028470791538878867,0.028470791538878867,45073,54
30,30m,ETHUSDT,192,True,dist_to_low_1344_sqrt_z,target_log_ret_horizon_3,3,1.5,spearman,-0.027539288611384934,0.027539288611384934,45073,54
30,30m,ETHUSDT,192,True,log_ret_48_z,target_log_ret_horizon_3,3,1.5,spearman,-0.02609412858742682,0.02609412858742682,45073,54
30,30m,ETHUSDT,192,True,price_pos_in_range_192_norm,target_log_ret_horizon_3,3,1.5,spearman,-0.024795671387294355,0.024795671387294355,45073,54
30,30m,ETHUSDT,192,True,MOM_pct_112_z,target_log_ret_horizon_3,3,1.5,spearman,-0.024674390147568826,0.024674390147568826,45073,54
30,30m,ETHUSDT,192,True,log_ret_576_z,target_log_ret_horizon_3,3,1.5,spearman,-0.024310521712313755,0.024310521712313755,45073,54
30,30m,ETHUSDT,192,True,MOM_pct_576_z,target_log_ret_horizon_3,3,1.5,spearman,-0.024187639293956335,0.024187639293956335,45073,54
30,30m,ETHUSDT,192,True,dist_ema_1600_z,target_log_ret_horizon_3,3,1.5,spearman,-0.0235371316713745,0.0235371316713745,45073,54
