interval_minutes,interval_label,target,horizon_bars,horizon_hours,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,abs_mean,abs_median,abs_p75,abs_p95,positive_ratio,one_side_long_success_ratio,one_side_short_success_ratio,abs_move_gt_one_side_cost_ratio,abs_move_gt_round_trip_cost_ratio,abs_mean_to_one_side_cost,std_to_one_side_cost,timestamp_min,timestamp_max,symbol,source_file
30,30m,target_log_ret_horizon_1,1,0.5,45073,1.4910638371313287e-06,0.00416875741104951,-0.09826324957064604,-0.01253109710274398,-0.005782984079462418,-0.0015153988584662077,1.5403846286647603e-05,0.0015686413590691223,0.005628294789812095,0.012142691213247691,0.05863890705648464,0.0025248393644182695,0.0015419832426462187,0.0031232540164325764,0.008136064800276855,0.5034721451866971,0.16213697779158254,0.16009584451889158,0.3222328223104741,0.1252412752645708,1.008672799418367,1.665417716135853,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_3,3,1.5,45073,4.722352521003501e-06,0.007159619072778372,-0.13102335803373757,-0.021575724249372718,-0.010242686069309866,-0.002508151968575166,3.185990241554514e-05,0.002592033005352594,0.009836390630488927,0.021553864747302847,0.08248648508183867,0.004341586117838682,0.002547604966157373,0.0053559878926163545,0.014614921523129584,0.5038271248862956,0.25598473587291726,0.250393805604242,0.5063785414771593,0.2712710491868746,1.7344627484470694,2.8602663261202745,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_5,5,2.5,45073,7.391100680474996e-06,0.009172804635207761,-0.15201534433790304,-0.027695462527137317,-0.013421998092600727,-0.0031944976110605625,7.062275738894184e-05,0.003331523723883872,0.013094447118129208,0.027835252858986918,0.09828275559586956,0.005613721792668337,0.0032643932819957145,0.00691641113602986,0.01893472866337244,0.5066004037894083,0.29725112595123465,0.2884431921549486,0.5856943181061833,0.3539813191933086,2.242680685181451,3.6645335383720763,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_10,10,5.0,45073,1.3437791732465243e-05,0.012887816031064231,-0.1596854930569235,-0.041079838497122885,-0.01944119415072387,-0.004514658790327098,8.07549829502585e-05,0.004718715547935893,0.01953099668903274,0.03823051418875562,0.1038245456855009,0.00805220099716706,0.004619429243059418,0.010198156700646114,0.027510903153019947,0.5058016994653118,0.34479621946619926,0.3377409979366805,0.6825372174028798,0.4725223526279591,3.216852618726184,5.148679816087076,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_24,24,12.0,45073,3.3351135278723356e-05,0.01996817965918688,-0.18473828222029096,-0.06192001674652879,-0.031138736675212567,-0.007719039500186131,-2.0831120027538365e-05,0.007844177117073966,0.03174240516406661,0.06036125644843381,0.1298662835116618,0.012961142689496517,0.0077691875288887855,0.017036311925406264,0.043330495592855636,0.49916801632906616,0.3929625274554611,0.39662325560756995,0.7895857830630311,0.6297561733188384,5.177973800835262,7.977283608599612,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,BTCUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_1,1,0.5,45073,-1.249206211690261e-05,0.007710447648839305,-0.2653816854923414,-0.021379583393655983,-0.01027866642471532,-0.0026244921480673387,0.0,0.0027171758106466627,0.009553051744798478,0.02160034840999158,0.19984422961898565,0.004434470023169634,0.0026718847900749653,0.005367811309632408,0.014258180627056187,0.4993898786413152,0.26550262906840016,0.2590908082444035,0.5245934373128037,0.2723359882856699,1.771569849251745,3.0803222273569966,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_3,3,1.5,45073,-3.7243771772006155e-05,0.012957670663633604,-0.30485519520893584,-0.036770906175837476,-0.017812304312413943,-0.004394645613749304,0.00011732269621016993,0.004492300948055411,0.016457770226588196,0.03790978677085012,0.29039680033181803,0.007530547254061421,0.00443811158016545,0.009153135566689698,0.02461308653431339,0.5018747365385042,0.3449293368535487,0.3372085283872829,0.6821378652408315,0.4565926386084796,3.0084520571694027,5.1765867272272725,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_5,5,2.5,45073,-6.235599177316417e-05,0.016464961191783395,-0.3427788387466209,-0.046076707817695246,-0.023012209558515424,-0.005679695016538608,0.00012048918624139922,0.0057042717201652125,0.021302771132215226,0.04918388283021692,0.2854880679886697,0.009681246404540232,0.0056927406005268365,0.011864856941741421,0.03142098408634405,0.5018081778448295,0.37858584962172476,0.36786989994009717,0.7464557495618219,0.545071328733388,3.8676559191624174,6.577748561622813,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_10,10,5.0,45073,-0.00012468880114208553,0.02259464008554746,-0.35040533092513687,-0.06390466722149099,-0.03295600109921737,-0.008338344917153918,0.0,0.008098402502181893,0.03085263610417422,0.06662658762953948,0.30349286577869666,0.01376724778853688,0.008219051136194873,0.017125397948479906,0.045291531949596966,0.49726000044372465,0.41000155303618574,0.40791604730104497,0.8179176003372307,0.6606394071839017,5.500012619753075,9.026554001066373,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_30m_bybit_TEST.parquet
30,30m,target_log_ret_horizon_24,24,12.0,45073,-0.00029992146651546296,0.03424584657718627,-0.3668727689151784,-0.09651848759871327,-0.050029849399010354,-0.01418090991042368,-0.00028977108287359685,0.01275686248239625,0.04967694889743581,0.10249153553733202,0.47460686549785486,0.021695563520474647,0.013471706331795603,0.027898029557970248,0.06881292738838835,0.49155813901892487,0.43429547622745324,0.4496039757726355,0.8838994520000888,0.7783595500632308,8.6673731008619,13.681208564102512,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_30m_bybit_TEST.parquet
