interval_minutes,interval_label,horizon_bars,horizon_hours,target,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,abs_mean,abs_median,abs_p75,abs_p95,positive_ratio,one_side_long_success_ratio,one_side_short_success_ratio,abs_move_gt_one_side_cost_ratio,abs_move_gt_round_trip_cost_ratio,abs_mean_to_one_side_cost,std_to_one_side_cost,timestamp_min,timestamp_max,source_file
30,30m,1,0.5,target_log_ret_horizon_1,135219,-5.169940186397707e-06,0.0061956099235289915,-0.22744792065284003,-0.017911698620453144,-0.008594817075520813,-0.002153423518356583,0.0,0.0021730353025279057,0.008407845933958758,0.01771502026631654,0.14208689068056907,0.0036844326202079307,0.0021622652542139915,0.004586820586771665,0.01205011579645741,0.498228799207212,0.22515326988071202,0.22450247376478158,0.4496557436454936,0.224561637048048,1.4719300632219623,2.4751448720818203,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_30m_bybit_TEST.parquet
30,30m,3,1.5,target_log_ret_horizon_3,135219,-1.5184430067748084e-05,0.010565727812213295,-0.25077675772557806,-0.03131997684633515,-0.01498667577862785,-0.003612418128252439,0.0,0.0036595881058116017,0.014737444446239237,0.03103714658196518,0.15988232060267676,0.0063375753643110004,0.003638441115075933,0.007897431118300335,0.021270552826204603,0.4996043455431559,0.31054067845495087,0.3072423254128488,0.6177830038677996,0.39441942330589636,2.531860036061072,4.221006057030155,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_30m_bybit_TEST.parquet
30,30m,5,2.5,target_log_ret_horizon_5,135219,-2.562919588265875e-05,0.01354583652259493,-0.31024855687934916,-0.040253729664098174,-0.01960848081255078,-0.004667611724248429,1.4758969260597137e-05,0.004702363627104169,0.0191224899626999,0.04011173028172328,0.22543976357456008,0.00819243725716784,0.004685092875496366,0.01029017576446583,0.027556550804873858,0.5008097974397089,0.344788824055791,0.3405290676606098,0.6853178917164008,0.4789119872207308,3.2728769753440314,5.411558865194362,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_30m_bybit_TEST.parquet
30,30m,10,5.0,target_log_ret_horizon_10,135219,-5.202244920242477e-05,0.018931088868573965,-0.30928812674711137,-0.0567495548368907,-0.028372669310410128,-0.006762556258700135,1.348069227884174e-05,0.0068728792877620504,0.027787683038374818,0.055286361686083044,0.2919831543511715,0.01173502191137793,0.006818956192577842,0.015151653916823153,0.03920436235480291,0.5005953305378682,0.38470185402938933,0.38230574105709997,0.7670075950864893,0.5934594990348989,4.688138805738513,7.562966054080828,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_30m_bybit_TEST.parquet
30,30m,24,12.0,target_log_ret_horizon_24,135219,-0.00012434871114789929,0.029024403341228952,-0.3913787419470517,-0.0833295261065133,-0.04471818635325584,-0.01140110190281297,-0.0001701902418411955,0.011353491033254219,0.04476432054374019,0.08188990687251696,0.3502969531350037,0.018681272235913107,0.011375794803823,0.0248200483005935,0.06074794481324336,0.49341438703140833,0.4198374488792255,0.42983604375124795,0.8496734926304735,0.7260813938869538,7.463164361443105,11.5952430805001,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_30m_bybit_TEST.parquet
60,60m,1,1.0,target_log_ret_horizon_1,67611,-9.762201029271076e-06,0.008586489882827406,-0.2132174088401393,-0.025777097727529917,-0.012111490287244325,-0.0030300267461762804,2.7819403169699664e-06,0.003053930820136697,0.011929208592832637,0.024590334563491124,0.15117482779711788,0.0051909458188606344,0.003042150544679613,0.006475941272529012,0.017273255988012992,0.5002292526364053,0.2827202674121075,0.281078522725592,0.5637987901376995,0.3311443404179793,2.073781771833871,3.430300917097954,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_60m_bybit_TEST.parquet
60,60m,3,3.0,target_log_ret_horizon_3,67611,-3.088757598292209e-05,0.014752704078122552,-0.2848560713784405,-0.04391392430460782,-0.021682538274875807,-0.00516008701437288,1.8077244064377595e-05,0.005227755645794906,0.021182744986961887,0.043461443704953126,0.2523798711551237,0.009021038226299469,0.005193798730162021,0.011415506738667152,0.030471262295491547,0.5008504533286003,0.35903920959607166,0.3534484033663161,0.7124876129623878,0.5116475129786573,3.603902889670799,5.89370220188213,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_60m_bybit_TEST.parquet
60,60m,5,5.0,target_log_ret_horizon_5,67611,-5.1577669392638844e-05,0.018891619350861928,-0.28134434186723184,-0.05675649709634355,-0.028427124554946212,-0.006800873785275233,1.1783936905866383e-05,0.006905265951655517,0.027713547981878493,0.05519265952295677,0.26094401142375684,0.011752861758046991,0.006856504788904127,0.015206068791474476,0.03932121397396766,0.5005102719971602,0.3848190383221665,0.38160950141249206,0.7664285397346585,0.595272958542249,4.695265820761516,7.54719798998798,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_60m_bybit_TEST.parquet
60,60m,10,10.0,target_log_ret_horizon_10,67611,-0.00010279124945424075,0.026489651956530542,-0.4369698266230616,-0.07689264781945529,-0.0410094552757545,-0.010170988930415088,-0.00013583758408329183,0.010198414309751328,0.04080265212725408,0.07554707342970735,0.32467836481599327,0.016948505696872188,0.010187604961212142,0.022450120144532376,0.055647913279879425,0.49360311191965806,0.4119891733593646,0.42052328763071095,0.8325124609900756,0.6991613790655367,6.770924490541228,10.582610431047407,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_60m_bybit_TEST.parquet
60,60m,24,24.0,target_log_ret_horizon_24,67611,-0.00025019702177395375,0.04201315277065831,-0.6232338454290753,-0.11596810527732082,-0.06454771075642897,-0.01805790093748462,-0.00023279335614191145,0.017512718523392964,0.06495663451552176,0.11494372198736896,0.3464503339515784,0.02765977126293817,0.017788141057211382,0.03760588292312778,0.08597205671901173,0.4947271893626777,0.44495718152371655,0.455206992944935,0.9001641744686516,0.8109479226753044,11.050072849877207,16.78424576817993,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,crypto_60m_bybit_TEST.parquet
