bandit_name,method_group,set_name,trial_number,seed,symbol,mode,n_decisions,return_pct,drawdown_abs,trades,profit_factor,is_active,executed_action_1_ratio,constraint_applied_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio,median_time_between_entries,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,BTCUSDT,val_first,,-1.4755196516202274,3.519515382101168,94,0.8260398839476498,True,,,,,,,9.0,5.0,6.212765957446808,4.0,6.0,0.8617021276595744,0.13829787234042554
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,BTCUSDT,val_second,,-6.590962332794891,6.686612315773588,96,0.43445604065786103,True,,,,,,,8.5,5.0,6.125,4.0,6.25,0.875,0.125
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,ETHUSDT,val,2000.0,-3.946616127775604,6.729760735607737,208,0.8075942423249717,True,0.555,0.416,0.41600000000000004,0.584,0.584,0.5805,8.0,4.0,5.336538461538462,4.0,5.0,0.9278846153846154,0.07211538461538461
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,ETHUSDT,val_first,,1.8434322850613638,1.6265742650338977,103,1.1335012538086757,True,,,,,,,8.0,4.0,5.436893203883495,4.0,5.0,0.912621359223301,0.08737864077669903
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,ETHUSDT,val_second,,-5.6852447751667645,6.729760735607737,105,0.606691960981284,True,,,,,,,8.0,4.0,5.238095238095238,4.0,5.0,0.9428571428571428,0.05714285714285714
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,SOLUSDT,val,2000.0,-8.703394281122822,9.959394163693746,196,0.7118073971373252,True,0.5345,0.393,0.393,0.607,0.607,0.605,8.0,4.0,5.438775510204081,4.0,5.0,0.9183673469387755,0.08163265306122448
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,SOLUSDT,val_first,,-1.4473159189076878,3.874282537057938,90,0.8578318755821942,True,,,,,,,9.0,4.0,5.866666666666666,4.0,6.75,0.8888888888888888,0.1111111111111111
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3144,SOLUSDT,val_second,,-7.3626390086388716,8.356728377569434,106,0.6023368970814269,True,,,,,,,7.0,4.0,5.0754716981132075,4.0,5.0,0.9433962264150944,0.05660377358490566
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,BTCUSDT,val,2000.0,-2.5383069408555614,4.225931441728492,202,0.8368397180393427,True,0.6075,0.4035,0.40349999999999997,0.5965,0.5965,0.595,8.0,4.0,6.014851485148514,4.0,6.0,0.8712871287128713,0.12871287128712872
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,BTCUSDT,val_first,,0.2089988030437473,2.97350959213476,99,0.9523626769547738,True,,,,,,,8.0,4.0,5.707070707070707,4.0,5.5,0.9090909090909091,0.09090909090909091
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,BTCUSDT,val_second,,-2.741575883119063,4.225931441728492,102,0.6978829731853093,True,,,,,,,9.0,4.0,6.107843137254902,4.0,6.0,0.8431372549019608,0.1568627450980392
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,ETHUSDT,val,2000.0,-8.092236973353184,10.614020100130439,206,0.7037254133255697,True,0.563,0.412,0.41200000000000003,0.588,0.588,0.585,8.0,4.0,5.466019417475728,4.0,5.0,0.9029126213592233,0.0970873786407767
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,ETHUSDT,val_first,,-3.8828068455028952,6.595383643554287,103,0.6955434698286489,True,,,,,,,8.0,4.0,5.504854368932039,4.0,5.0,0.9029126213592233,0.0970873786407767
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,ETHUSDT,val_second,,-4.379476750932709,8.307132120044624,103,0.7102068693889472,True,,,,,,,8.0,4.0,5.427184466019417,4.0,5.0,0.9029126213592233,0.0970873786407767
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,SOLUSDT,val,2000.0,-8.445526372571221,9.925549859221139,187,0.7132643042348905,True,0.6055,0.3755,0.37549999999999994,0.6245,0.6245,0.623,9.0,5.0,6.454545454545454,4.0,7.0,0.8288770053475936,0.1711229946524064
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,SOLUSDT,val_first,,-1.6358132572794948,4.999210203763749,83,0.8290156021460671,True,,,,,,,10.5,6.0,7.518072289156627,4.0,8.5,0.7590361445783133,0.24096385542168675
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3145,SOLUSDT,val_second,,-6.922959809654183,8.404464583468219,104,0.6397922168607331,True,,,,,,,7.0,4.0,5.605769230769231,4.0,5.0,0.8846153846153846,0.11538461538461539
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,BTCUSDT,val,2000.0,-5.015183016046365,6.851544373588336,182,0.7174046179837822,True,0.5845,0.3655,0.36550000000000005,0.6345,0.6345,0.633,9.0,5.0,6.395604395604396,4.0,7.0,0.8681318681318682,0.13186813186813187
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,BTCUSDT,val_first,,0.33517125231186107,2.9988434176186574,96,1.0096872214496413,True,,,,,,,9.0,5.0,5.895833333333333,4.0,6.25,0.875,0.125
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,BTCUSDT,val_second,,-5.33248132392552,6.6611178865530025,86,0.4990163273652887,True,,,,,,,9.0,5.0,6.953488372093023,4.0,7.0,0.8604651162790697,0.13953488372093023
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,ETHUSDT,val,2000.0,-8.274806683582536,10.439725521703158,207,0.6801750410052972,True,0.575,0.414,0.41400000000000003,0.586,0.586,0.5815,8.0,4.0,5.555555555555555,4.0,6.0,0.9082125603864735,0.09178743961352658
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,ETHUSDT,val_first,,-2.727194718415038,5.788928686473771,105,0.7462565646399437,True,,,,,,,7.0,4.0,5.247619047619048,4.0,5.0,0.9333333333333333,0.06666666666666667
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,ETHUSDT,val_second,,-5.703147913857631,7.720650077648028,102,0.6317227237856449,True,,,,,,,8.0,5.0,5.872549019607843,4.0,6.0,0.8823529411764706,0.11764705882352941
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,SOLUSDT,val,2000.0,-10.59414186582741,12.725816807529455,212,0.6737079263484572,True,0.573,0.4255,0.4255,0.5745,0.5745,0.5725,8.0,4.0,5.377358490566038,4.0,6.0,0.9339622641509434,0.0660377358490566
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,SOLUSDT,val_first,,0.7862032809747621,2.4287402317368256,98,1.002693159815807,True,,,,,,,9.0,4.0,5.673469387755102,4.0,6.0,0.8979591836734694,0.10204081632653061
discounted_lints,corr,z24_a0p5_corr_pruned_top10,0,3146,SOLUSDT,val_second,,-11.29157044945498,12.362972431400266,114,0.4839453053085575,True,,,,,,,7.0,4.0,5.12280701754386,4.0,5.0,0.9649122807017544,0.03508771929824561
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,BTCUSDT,val,2000.0,-6.539671526344948,7.073488279870066,169,0.603245049860683,True,0.505,0.3375,0.3375,0.6625,0.6625,0.659,9.0,4.0,5.976331360946745,4.0,6.0,0.8816568047337278,0.11834319526627218
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,BTCUSDT,val_first,,-1.4789603488313374,4.215699656153593,85,0.7907165176947915,True,,,,,,,9.0,4.0,5.752941176470588,4.0,6.0,0.8941176470588236,0.10588235294117647
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,BTCUSDT,val_second,,-5.136680647536773,5.9312112495319536,84,0.45512836220005876,True,,,,,,,10.0,4.0,6.2023809523809526,4.0,6.0,0.8690476190476191,0.13095238095238096
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,ETHUSDT,val,2000.0,-4.011136953308892,8.89210116850444,182,0.7909583030466979,True,0.515,0.364,0.364,0.636,0.636,0.6325,8.0,4.0,5.65934065934066,4.0,6.0,0.8791208791208791,0.12087912087912088
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,ETHUSDT,val_first,,-3.1067483262767426,5.264689391236999,87,0.6980335155657472,True,,,,,,,8.0,4.0,5.689655172413793,4.0,6.0,0.8850574712643678,0.11494252873563218
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,ETHUSDT,val_second,,-0.9333865995926893,6.01551861146723,95,0.8696362315907059,True,,,,,,,8.0,4.0,5.631578947368421,4.0,6.0,0.8736842105263158,0.12631578947368421
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,SOLUSDT,val,2000.0,-6.197126500748751,9.103428574356231,186,0.7643770078655465,True,0.499,0.372,0.372,0.628,0.628,0.623,8.0,4.0,5.365591397849462,4.0,5.0,0.9086021505376344,0.0913978494623656
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,SOLUSDT,val_first,,-0.718150669836215,5.165171302589588,92,0.9035360791001514,True,,,,,,,9.0,4.0,5.543478260869565,4.0,6.0,0.9021739130434783,0.09782608695652174
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3142,SOLUSDT,val_second,,-5.5186077494307035,8.357465792493713,94,0.6645510511321105,True,,,,,,,8.0,4.0,5.191489361702128,4.0,5.0,0.9148936170212766,0.0851063829787234
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,BTCUSDT,val,2000.0,-5.531670807917466,5.796793471599382,140,0.6589729265280192,True,0.532,0.2795,0.27949999999999997,0.7205,0.7205,0.719,11.0,5.0,7.6,4.0,9.0,0.7714285714285715,0.22857142857142856
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,BTCUSDT,val_first,,-0.9837044974066012,3.606973425898108,69,0.7818819981900059,True,,,,,,,11.0,5.0,7.681159420289855,4.0,11.0,0.7101449275362319,0.2898550724637681
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,BTCUSDT,val_second,,-4.593149327013291,4.728048705164978,70,0.49228974056525343,True,,,,,,,10.0,5.0,7.257142857142857,4.0,8.0,0.8428571428571429,0.15714285714285714
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,ETHUSDT,val,2000.0,-7.481064298501961,10.648091634742606,172,0.6741565124202998,True,0.5205,0.344,0.344,0.656,0.656,0.6535,8.0,4.0,6.0523255813953485,4.0,6.0,0.8546511627906976,0.14534883720930233
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,ETHUSDT,val_first,,-2.1157989991442694,3.845800804544952,87,0.7681663079897455,True,,,,,,,7.0,4.0,5.850574712643678,4.0,5.5,0.8735632183908046,0.12643678160919541
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,ETHUSDT,val_second,,-5.48123726249835,8.807365340852835,85,0.6126538048259594,True,,,,,,,9.0,4.0,6.258823529411765,4.0,6.0,0.8352941176470589,0.16470588235294117
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,SOLUSDT,val,2000.0,-10.818192462415954,12.088449820022484,199,0.6383323854179703,True,0.505,0.3985,0.39849999999999997,0.6015,0.6015,0.597,8.0,4.0,5.065326633165829,4.0,5.0,0.9396984924623115,0.06030150753768844
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,SOLUSDT,val_first,,-3.6086033864590528,5.794401409909156,89,0.7032190298981951,True,,,,,,,9.0,4.0,5.685393258426966,4.0,5.0,0.8876404494382022,0.11235955056179775
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3143,SOLUSDT,val_second,,-7.479494362823768,7.631779415648254,110,0.5929876858494306,True,,,,,,,7.0,4.0,4.5636363636363635,4.0,4.0,0.9818181818181818,0.01818181818181818
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,BTCUSDT,val,2000.0,-5.019725606783565,5.932146506787738,152,0.6848623753997383,True,0.534,0.3035,0.3035,0.6965,0.6965,0.695,11.0,4.5,7.026315789473684,4.0,9.0,0.7763157894736842,0.2236842105263158
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,BTCUSDT,val_first,,-0.8982485918950012,2.5433681298741018,74,0.8547730837819385,True,,,,,,,11.0,4.0,6.824324324324325,4.0,8.5,0.7702702702702703,0.22972972972972974
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,BTCUSDT,val_second,,-4.1588336798571435,5.079635077789824,78,0.5524197842452891,True,,,,,,,11.0,5.0,7.217948717948718,4.0,9.0,0.782051282051282,0.21794871794871795
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,ETHUSDT,val,2000.0,-7.072866996697025,8.02320915535979,192,0.6899518472674385,True,0.5405,0.384,0.384,0.616,0.616,0.614,8.0,4.0,5.630208333333333,4.0,6.0,0.8958333333333334,0.10416666666666667
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,ETHUSDT,val_first,,-1.7199326096506984,4.421769145914611,93,0.8053642487917335,True,,,,,,,8.0,4.0,5.967741935483871,4.0,6.0,0.8709677419354839,0.12903225806451613
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,ETHUSDT,val_second,,-5.446612450707344,7.258317352853371,98,0.6175170644643257,True,,,,,,,8.0,4.0,5.326530612244898,4.0,5.0,0.9183673469387755,0.08163265306122448
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,SOLUSDT,val,2000.0,-9.515011389381446,12.680029630480583,158,0.6591572911075696,True,0.545,0.3165,0.3165,0.6835,0.6835,0.681,9.0,4.0,6.886075949367089,4.0,7.0,0.8164556962025317,0.18354430379746836
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,SOLUSDT,val_first,,-2.233065115018651,5.885186196280856,65,0.7715377790349288,True,,,,,,,12.0,5.0,8.707692307692307,4.0,13.0,0.676923076923077,0.3230769230769231
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3144,SOLUSDT,val_second,,-7.448271016095265,11.307799320740008,93,0.5907538884621322,True,,,,,,,8.0,4.0,5.612903225806452,4.0,5.0,0.9139784946236559,0.08602150537634409
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,BTCUSDT,val,2000.0,-3.5884904882568347,4.183983677552439,168,0.7662026772914948,True,0.5865,0.336,0.33599999999999997,0.664,0.664,0.661,10.0,5.0,6.982142857142857,4.0,8.0,0.8154761904761905,0.18452380952380953
discounted_lints,corr,z24_a0p5_corr_pruned_top10,1,3145,BTCUSDT,val_first,,-0.7735628824655727,4.10799004670227,84,0.877016911631164,True,,,,,,,9.0,5.0,6.940476190476191,4.0,8.0,0.7976190476190477,0.20238095238095238
