bandit_name,mixed_rank_with_mixed,mixed_return_pct,mixed_drawdown_abs,mixed_profit_factor,mixed_total_trades,old_best_set,old_best_method_group,old_best_return_pct,mixed_minus_old_best_return_pct,old_best_corr_set,old_best_corr_return_pct,mixed_minus_old_best_corr_return_pct,old_best_hybrid_set,old_best_hybrid_return_pct,mixed_minus_old_best_hybrid_return_pct
discounted_lints,5,-2.992771592396987,11.02220026219528,0.7961154205520369,606.5,z24_a0p5_hybrid_corr5_stablehie5_top10,hybrid,-0.1826913208006431,-2.8100802715963438,z24_a0p5_corr_pruned_top10,-2.236486558269468,-0.7562850341275187,z24_a0p5_hybrid_corr5_stablehie5_top10,-0.1826913208006431,-2.8100802715963438
discounted_linucb,3,0.7477494960371978,11.287855669935764,1.0072117238876708,423.0,z24_a0p5_hybrid_corr5_stablehie5_top10,hybrid,1.702106393205094,-0.9543568971678962,z72_a0p5_corr_pruned_top10,1.635573227301523,-0.8878237312643253,z24_a0p5_hybrid_corr5_stablehie5_top10,1.702106393205094,-0.9543568971678962
sw_lints,7,-4.905297436428718,11.493029636113455,0.7568717615221745,590.0,z72_a0p5_corr_pruned_top10,corr,-1.5889927800009196,-3.3163046564277985,z72_a0p5_corr_pruned_top10,-1.5889927800009196,-3.3163046564277985,z24_a0p5_hybrid_corr5_stablehie5_top10,-3.947414835924629,-0.9578826005040892
sw_linucb,1,0.7520907274554789,11.044916560175444,1.0053003387943804,466.0,z72_a0p5_corr_pruned_top10,corr,0.6070415262193318,0.14504920123614706,z72_a0p5_corr_pruned_top10,0.6070415262193318,0.14504920123614706,z24_a0p5_hybrid_corr5_stablehie5_top10,-0.6098454321914359,1.3619361596469148
