dataset_key,phase,symbol,n_rows,timestamp_min,timestamp_max
mixed_z72corr5_z24hie5_top10,train,BTCUSDT,5626,2021-12-06 08:00:00+00:00,2024-06-30 20:00:00+00:00
mixed_z72corr5_z24hie5_top10,train,DOGEUSDT,5626,2021-12-06 08:00:00+00:00,2024-06-30 20:00:00+00:00
mixed_z72corr5_z24hie5_top10,train,ETHUSDT,5626,2021-12-06 08:00:00+00:00,2024-06-30 20:00:00+00:00
mixed_z72corr5_z24hie5_top10,train,SOLUSDT,5626,2021-12-06 08:00:00+00:00,2024-06-30 20:00:00+00:00
mixed_z72corr5_z24hie5_top10,train,XRPUSDT,5626,2021-12-06 08:00:00+00:00,2024-06-30 20:00:00+00:00
mixed_z72corr5_z24hie5_top10,val,BTCUSDT,2000,2024-07-01 00:00:00+00:00,2025-05-30 04:00:00+00:00
mixed_z72corr5_z24hie5_top10,val,DOGEUSDT,2000,2024-07-01 00:00:00+00:00,2025-05-30 04:00:00+00:00
mixed_z72corr5_z24hie5_top10,val,ETHUSDT,2000,2024-07-01 00:00:00+00:00,2025-05-30 04:00:00+00:00
mixed_z72corr5_z24hie5_top10,val,SOLUSDT,2000,2024-07-01 00:00:00+00:00,2025-05-30 04:00:00+00:00
mixed_z72corr5_z24hie5_top10,val,XRPUSDT,2000,2024-07-01 00:00:00+00:00,2025-05-30 04:00:00+00:00
mixed_z72corr5_z24hie5_top10,test,BTCUSDT,2000,2025-05-30 08:00:00+00:00,2026-04-28 12:00:00+00:00
mixed_z72corr5_z24hie5_top10,test,DOGEUSDT,2000,2025-05-30 08:00:00+00:00,2026-04-28 12:00:00+00:00
mixed_z72corr5_z24hie5_top10,test,ETHUSDT,2000,2025-05-30 08:00:00+00:00,2026-04-28 12:00:00+00:00
mixed_z72corr5_z24hie5_top10,test,SOLUSDT,2000,2025-05-30 08:00:00+00:00,2026-04-28 12:00:00+00:00
mixed_z72corr5_z24hie5_top10,test,XRPUSDT,2000,2025-05-30 08:00:00+00:00,2026-04-28 12:00:00+00:00
