feature,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,z_window,set_type
MACD_hist_pct_z,selected,below_threshold,0.013620555506939032,vol_ratio_72_log1p_z,48,corr_pruning_audit_top30
vol_expansion_72_log1p_z,dropped,too_correlated,0.9657149705637301,range_sqrt_z,48,corr_pruning_audit_top30
dist_to_low_24_sqrt_z,selected,below_threshold,0.5834935896877567,MACD_hist_pct_z,48,corr_pruning_audit_top30
vol_expansion_168_log1p_z,dropped,too_correlated,0.9907033562306153,range_sqrt_z,48,corr_pruning_audit_top30
vol_ratio_168_log1p_z,dropped,too_correlated,0.9660456932696155,vol_ratio_72_log1p_z,48,corr_pruning_audit_top30
MOM_pct_14_z,selected,below_threshold,0.7845329375734497,MACD_hist_pct_z,48,corr_pruning_audit_top30
vol_ratio_24_log1p_z,dropped,too_correlated,0.8911001765257514,vol_ratio_72_log1p_z,48,corr_pruning_audit_top30
NATR_14_z,selected,below_threshold,0.49125475979541955,range_sqrt_z,48,corr_pruning_audit_top30
ema_slope_21_z,dropped,too_correlated,0.8576629759732046,MOM_pct_14_z,48,corr_pruning_audit_top30
ema_spread_9_21_z,selected,below_threshold,0.8471403833549002,MOM_pct_14_z,48,corr_pruning_audit_top30
body_sqrt_z,selected,below_threshold,0.6853003286832698,range_sqrt_z,48,corr_pruning_audit_top30
ret_accel_24_72_z,selected,below_threshold,0.3684709627499996,MACD_hist_pct_z,48,corr_pruning_audit_top30
ADX_14_scaled,selected,below_threshold,0.4911873774118703,NATR_14_z,48,corr_pruning_audit_top30
bb_width_20_sqrt_z,selected,below_threshold,0.5977286434470442,NATR_14_z,48,corr_pruning_audit_top30
vol_expansion_24_log1p_z,dropped,too_correlated,0.8828631276510807,range_sqrt_z,48,corr_pruning_audit_top30
log_ret_24_z,dropped,too_correlated,0.9028839018479787,ema_spread_9_21_z,48,corr_pruning_audit_top30
MOM_pct_72_z,selected,below_threshold,0.5791943737837424,ret_accel_24_72_z,48,corr_pruning_audit_top30
ret_accel_6_24_z,selected,below_threshold,0.7082480503443556,ema_spread_9_21_z,48,corr_pruning_audit_top30
log_ret_72_z,dropped,too_correlated,0.9998696760501133,MOM_pct_72_z,48,corr_pruning_audit_top30
ema_slope_9_z,dropped,too_correlated,0.8661892403838425,MACD_hist_pct_z,48,corr_pruning_audit_top30
MOM_pct_30_z,dropped,too_correlated,0.8709897966683711,ema_spread_9_21_z,48,corr_pruning_audit_top30
dist_to_high_168_sqrt_z,selected,below_threshold,0.6473197563129383,ema_spread_9_21_z,48,corr_pruning_audit_top30
volatility_24_sqrt_z,selected,below_threshold,0.7604787454541581,NATR_14_z,48,corr_pruning_audit_top30
ret_accel_72_168_z,selected,below_threshold,0.4708779035025243,MOM_pct_72_z,48,corr_pruning_audit_top30
ADX_30_scaled,selected,below_threshold,0.6576224307444518,ADX_14_scaled,48,corr_pruning_audit_top30
dist_ema_21_z,dropped,too_correlated,0.8777123075110685,MOM_pct_14_z,48,corr_pruning_audit_top30
ema_slope_50_z,dropped,too_correlated,0.9436122627344918,ema_spread_9_21_z,48,corr_pruning_audit_top30
volatility_72_sqrt_z,selected,below_threshold,0.5271477650179661,NATR_14_z,48,corr_pruning_audit_top30
ADX_72_scaled,selected,below_threshold,0.6285835495592874,ADX_30_scaled,48,corr_pruning_audit_top30
dist_to_high_24_sqrt_z,selected,below_threshold,0.7085868885886805,MOM_pct_14_z,48,corr_pruning_audit_top30
volatility_168_sqrt_z,selected,below_threshold,0.3953240334188382,volatility_72_sqrt_z,48,corr_pruning_audit_top30
ema_spread_100_200_z,selected,below_threshold,0.5021095052377554,dist_to_high_168_sqrt_z,48,corr_pruning_audit_top30
dist_to_high_72_sqrt_z,selected,below_threshold,0.7385457985087043,dist_to_high_168_sqrt_z,48,corr_pruning_audit_top30
dist_ema_50_z,dropped,too_correlated,0.9263033696445843,ema_spread_9_21_z,48,corr_pruning_audit_top30
log_ret_6_z,selected,below_threshold,0.7595244130196482,MACD_hist_pct_z,48,corr_pruning_audit_top30
log_ret_168_z,selected,below_threshold,0.6150987987812865,dist_to_high_168_sqrt_z,48,corr_pruning_audit_top30
price_pos_in_range_72_norm,selected,below_threshold,0.6719398291530231,ema_spread_100_200_z,48,corr_pruning_audit_top30
RSI_14_bounded,selected,below_threshold,0.8115810819467724,price_pos_in_range_72_norm,48,corr_pruning_audit_top30
RSI_30_bounded,dropped,too_correlated,0.9146675714594162,RSI_14_bounded,48,corr_pruning_audit_top30
ema_slope_100_z,selected,below_threshold,0.8356633505497344,ema_spread_9_21_z,48,corr_pruning_audit_top30
ema_slope_200_z,dropped,too_correlated,0.9722374166355978,ema_slope_100_z,48,corr_pruning_audit_top30
bb_pos_20_norm,dropped,too_correlated,0.9068850395947751,RSI_14_bounded,48,corr_pruning_audit_top30
ema_spread_50_100_z,selected,below_threshold,0.7714574511517086,ema_spread_100_200_z,48,corr_pruning_audit_top30
price_pos_in_range_168_norm,selected,below_threshold,0.7611576950265,price_pos_in_range_72_norm,48,corr_pruning_audit_top30
range_sqrt_z,selected,first_feature,,,72,corr_pruning_audit_top30
vol_expansion_72_log1p_z,dropped,too_correlated,0.9441028991661611,range_sqrt_z,72,corr_pruning_audit_top30
vol_ratio_72_log1p_z,selected,below_threshold,0.7123694960778235,range_sqrt_z,72,corr_pruning_audit_top30
vol_expansion_168_log1p_z,dropped,too_correlated,0.9845158780583834,range_sqrt_z,72,corr_pruning_audit_top30
vol_ratio_24_log1p_z,dropped,too_correlated,0.8872965286334502,vol_ratio_72_log1p_z,72,corr_pruning_audit_top30
dist_to_high_168_sqrt_z,selected,below_threshold,0.057042420386208784,vol_ratio_72_log1p_z,72,corr_pruning_audit_top30
vol_ratio_168_log1p_z,dropped,too_correlated,0.9495002752932266,vol_ratio_72_log1p_z,72,corr_pruning_audit_top30
body_sqrt_z,selected,below_threshold,0.6941713601873714,range_sqrt_z,72,corr_pruning_audit_top30
vol_expansion_24_log1p_z,dropped,too_correlated,0.8601221253843042,range_sqrt_z,72,corr_pruning_audit_top30
bb_width_20_sqrt_z,selected,below_threshold,0.34037473051102235,range_sqrt_z,72,corr_pruning_audit_top30
NATR_14_z,selected,below_threshold,0.6301916604697977,bb_width_20_sqrt_z,72,corr_pruning_audit_top30
ADX_14_scaled,selected,below_threshold,0.49207844165212355,bb_width_20_sqrt_z,72,corr_pruning_audit_top30
MOM_pct_14_z,selected,below_threshold,0.47386924901508753,dist_to_high_168_sqrt_z,72,corr_pruning_audit_top30
MACD_hist_pct_z,selected,below_threshold,0.7640598975272864,MOM_pct_14_z,72,corr_pruning_audit_top30
volatility_24_sqrt_z,selected,below_threshold,0.7994652402828879,NATR_14_z,72,corr_pruning_audit_top30
