feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
dist_to_high_24_sqrt_z,-0.014032080397410995,0.014032080397410995,28200,32,48
volatility_168_sqrt_z,0.013271547853773574,0.013271547853773574,28200,33,48
ema_spread_100_200_z,0.013083596750667588,0.013083596750667588,28200,34,48
dist_to_high_72_sqrt_z,0.012910396260884308,0.012910396260884308,28200,35,48
dist_ema_50_z,0.009797677196900712,0.009797677196900712,28200,36,48
log_ret_6_z,-0.009146807658172306,0.009146807658172306,28200,37,48
log_ret_168_z,0.008377378415444005,0.008377378415444005,28200,38,48
price_pos_in_range_72_norm,-0.008309927846444458,0.008309927846444458,28200,39,48
RSI_14_bounded,-0.007997434796743634,0.007997434796743634,28200,40,48
RSI_30_bounded,-0.007932367848923136,0.007932367848923136,28200,41,48
ema_slope_100_z,0.00673658052398132,0.00673658052398132,28200,42,48
ema_slope_200_z,0.006400090850332466,0.006400090850332466,28200,43,48
bb_pos_20_norm,-0.005591245817883814,0.005591245817883814,28200,44,48
ema_spread_50_100_z,-0.005523189077479585,0.005523189077479585,28200,45,48
price_pos_in_range_168_norm,0.003639362711036381,0.003639362711036381,28200,46,48
RSI_72_bounded,-0.0031663380644121803,0.0031663380644121803,28200,47,48
price_pos_in_range_24_norm,0.0031111566016960297,0.0031111566016960297,28200,48,48
dist_to_low_72_sqrt_z,-0.0019704638778754347,0.0019704638778754347,28200,49,48
dist_to_low_168_sqrt_z,0.001321953706038259,0.001321953706038259,28200,50,48
dist_ema_9_z,0.0009631314892130219,0.0009631314892130219,28200,51,48
dist_ema_200_z,-0.0009484100393962508,0.0009484100393962508,28200,52,48
dist_ema_100_z,0.0008360835714424554,0.0008360835714424554,28200,53,48
ema_spread_21_50_z,-0.0006130037859641761,0.0006130037859641761,28200,54,48
range_sqrt_z,0.04406282996701958,0.04406282996701958,28080,1,72
vol_expansion_72_log1p_z,0.043016880719790256,0.043016880719790256,28080,2,72
vol_ratio_72_log1p_z,0.04262919267868456,0.04262919267868456,28080,3,72
vol_expansion_168_log1p_z,0.03967302513113954,0.03967302513113954,28080,4,72
vol_ratio_24_log1p_z,0.03761885102685198,0.03761885102685198,28080,5,72
dist_to_high_168_sqrt_z,0.03695368760898837,0.03695368760898837,28080,6,72
vol_ratio_168_log1p_z,0.036214123123511764,0.036214123123511764,28080,7,72
body_sqrt_z,0.032350093513636706,0.032350093513636706,28080,8,72
vol_expansion_24_log1p_z,0.03215571596741092,0.03215571596741092,28080,9,72
bb_width_20_sqrt_z,0.029307562068702848,0.029307562068702848,28080,10,72
NATR_14_z,0.028198586189528668,0.028198586189528668,28080,11,72
ADX_14_scaled,0.027351859823046873,0.027351859823046873,28080,12,72
MOM_pct_14_z,0.025711109523777337,0.025711109523777337,28080,13,72
MACD_hist_pct_z,0.025699961676764093,0.025699961676764093,28080,14,72
volatility_24_sqrt_z,0.023489242613520818,0.023489242613520818,28080,15,72
log_ret_6_z,-0.02303137325949167,0.02303137325949167,28080,16,72
ret_accel_72_168_z,-0.022491339687540465,0.022491339687540465,28080,17,72
ADX_30_scaled,0.02043258280364593,0.02043258280364593,28080,18,72
dist_to_low_24_sqrt_z,0.020323492651763655,0.020323492651763655,28080,19,72
ema_slope_21_z,0.01801828981437804,0.01801828981437804,28080,20,72
log_ret_168_z,0.017059830036003792,0.017059830036003792,28080,21,72
MOM_pct_72_z,-0.016560738377081337,0.016560738377081337,28080,22,72
log_ret_72_z,-0.016275601457900676,0.016275601457900676,28080,23,72
ema_slope_9_z,0.015092268964637104,0.015092268964637104,28080,24,72
ret_accel_24_72_z,0.015081607339358004,0.015081607339358004,28080,25,72
ema_spread_9_21_z,0.015004351125871623,0.015004351125871623,28080,26,72
