z_window,feature,stable_hie_rank_within_z,stability_count,stability_rate,median_union_rank,median_best_hie_norm,full_train_union_rank,selected_in_hybrid,source_in_hybrid,is_hie_incremental_pool,strict_excluded_by_raw_corr_filter,hie_attribution_category,corr_raw_rank,abs_spearman_corr,in_corr_pruned,corr_prune_decision_in_audit,corr_prune_reason_in_audit,corr_prune_max_corr_with_selected,corr_prune_most_correlated_selected_feature,corr_pruning_removed_hie_candidate,scenario
48,price_pos_in_range_72_norm,10,2,0.6666666666666666,9.5,0.020758649809852037,2.0,False,,True,False,not_in_corr_pruned_raw_rank_available,39,0.008309927846444458,False,selected,below_threshold,0.6719398291530231,ema_spread_100_200_z,False,hybrid_top10_corr5_hie5_alpha0p5
48,dist_to_high_168_sqrt_z,11,2,0.6666666666666666,10.5,0.016714680513532088,14.0,False,,True,False,not_in_corr_pruned_raw_rank_available,24,0.024399621952995557,False,selected,below_threshold,0.6473197563129383,ema_spread_9_21_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,ema_spread_100_200_z,1,3,1.0,7.0,0.018138099428351206,2.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,51,0.0008352506881567672,False,selected,below_threshold,0.7978633686637014,ema_spread_50_100_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,ret_accel_72_168_z,2,2,0.6666666666666666,3.5,0.03447298901428192,,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,17,0.022491339687540465,False,selected,below_threshold,0.13301333889924674,MACD_hist_pct_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,volatility_168_sqrt_z,3,2,0.6666666666666666,4.0,0.029092165315713236,14.0,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,28,0.01339011860435478,False,selected,below_threshold,0.31890825785978355,NATR_14_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,dist_to_high_168_sqrt_z,4,2,0.6666666666666666,7.0,0.01926443071197384,3.0,True,corr_core,False,False,shared_with_corr_pruned,6,0.03695368760898837,True,selected,below_threshold,0.057042420386208784,vol_ratio_72_log1p_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,log_ret_72_z,5,2,0.6666666666666666,7.5,0.026370441334837152,,True,hie_incremental,True,False,corr_ranked_but_removed_by_pruning,23,0.016275601457900676,False,dropped,too_correlated,0.9998118687206676,MOM_pct_72_z,True,hybrid_top10_corr5_hie5_alpha0p5
72,ema_slope_100_z,6,2,0.6666666666666666,7.5,0.024318078516461172,,True,hie_incremental,True,False,not_in_corr_pruned_raw_rank_available,54,0.0004922934679752275,False,not_reached_by_corr_pruning_audit,not_reached_by_corr_pruning_audit,,,False,hybrid_top10_corr5_hie5_alpha0p5
72,MOM_pct_72_z,7,2,0.6666666666666666,8.5,0.025561861432752353,,False,,True,False,not_in_corr_pruned_raw_rank_available,22,0.016560738377081337,False,selected,below_threshold,0.5947403402911238,dist_to_high_168_sqrt_z,False,hybrid_top10_corr5_hie5_alpha0p5
72,ADX_30_scaled,8,2,0.6666666666666666,9.5,0.022451556658816763,4.0,False,,True,False,not_in_corr_pruned_raw_rank_available,18,0.02043258280364593,False,selected,below_threshold,0.6577253895613087,ADX_14_scaled,False,hybrid_top10_corr5_hie5_alpha0p5
