z_window,feature,stability_count,median_union_rank,mean_union_rank,min_union_rank,median_best_rank,median_mean_rank,median_best_hie_norm,mean_best_hie_norm,median_best_p_value,median_regime_coverage_topk,n_entry_source,n_exit_source,n_both_tie_source,samples_seen,full_train_union_rank,full_train_best_rank,full_train_best_hie_norm,full_train_best_p_value,full_train_regime_coverage_topk,full_train_union_rank_filled,full_train_best_rank_filled,full_train_best_hie_norm_filled,full_train_regime_coverage_topk_filled,stable_hie_rank_within_z,is_stable_ge2,stability_rate,stability_top_k
72,RSI_72_bounded,1,4.0,4.0,4,2.0,5.0,0.017351406726651697,0.017351406726651697,0.0,2.0,1,0,0,mid_train,1.0,1.0,0.011037132812934725,0.0,2.0,1.0,1.0,0.011037132812934725,2.0,16,False,0.3333333333333333,14
72,MOM_pct_14_z,1,3.0,3.0,3,3.0,6.0,0.02069066605258829,0.02069066605258829,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,17,False,0.3333333333333333,14
72,dist_to_low_24_sqrt_z,1,4.0,4.0,4,3.0,10.0,0.013022915875580354,0.013022915875580354,0.0,1.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,18,False,0.3333333333333333,14
72,ret_accel_24_72_z,1,5.0,5.0,5,4.0,8.5,0.036178150239206286,0.036178150239206286,0.0,2.0,1,0,0,late_train,7.0,5.0,0.0070547311882703245,0.0,2.0,7.0,5.0,0.0070547311882703245,2.0,19,False,0.3333333333333333,14
72,ema_slope_200_z,1,6.0,6.0,6,4.0,7.5,0.015301651010890538,0.015301651010890538,0.0,2.0,1,0,0,early_train,10.0,7.0,0.007764392318651225,0.0,2.0,10.0,7.0,0.007764392318651225,2.0,20,False,0.3333333333333333,14
72,dist_to_low_72_sqrt_z,1,8.0,8.0,8,4.0,15.0,0.014803791927518684,0.014803791927518684,0.0,1.0,1,0,0,mid_train,13.0,9.0,0.005679329232449404,0.0,1.0,13.0,9.0,0.005679329232449404,1.0,21,False,0.3333333333333333,14
72,bb_width_20_sqrt_z,1,8.0,8.0,8,5.0,6.0,0.016630689798159737,0.016630689798159737,0.0,2.0,1,0,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,22,False,0.3333333333333333,14
72,dist_to_high_24_sqrt_z,1,9.0,9.0,9,5.0,13.5,0.01951411633749095,0.01951411633749095,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,23,False,0.3333333333333333,14
72,dist_ema_21_z,1,10.0,10.0,10,5.0,22.5,0.014146968001924276,0.014146968001924276,0.0,1.0,1,0,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,24,False,0.3333333333333333,14
72,price_pos_in_range_24_norm,1,8.0,8.0,8,6.0,6.0,0.030807423970858783,0.030807423970858783,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,25,False,0.3333333333333333,14
72,log_ret_168_z,1,11.0,11.0,11,6.0,21.0,0.019204766668407647,0.019204766668407647,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,26,False,0.3333333333333333,14
72,RSI_30_bounded,1,10.0,10.0,10,7.0,11.0,0.014002653169497448,0.014002653169497448,0.0,1.0,1,0,0,early_train,11.0,7.0,0.006862783190824118,0.0,2.0,11.0,7.0,0.006862783190824118,2.0,27,False,0.3333333333333333,14
72,dist_to_high_72_sqrt_z,1,11.0,11.0,11,8.0,15.0,0.02184394118662758,0.02184394118662758,0.0,1.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,28,False,0.3333333333333333,14
72,RSI_14_bounded,1,14.0,14.0,14,9.0,12.0,0.01372118128275096,0.01372118128275096,0.0,1.0,1,0,0,mid_train,5.0,3.0,0.009065802606614437,0.0,2.0,5.0,3.0,0.009065802606614437,2.0,29,False,0.3333333333333333,14
72,ema_spread_50_100_z,1,14.0,14.0,14,10.0,12.0,0.026434791530520974,0.026434791530520974,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,30,False,0.3333333333333333,14
96,MOM_pct_72_z,3,2.0,2.6666666666666665,1,1.0,4.0,0.029557403739627064,0.02795269759240378,0.0,2.0,0,3,0,early_train|late_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,1,True,1.0,14
96,log_ret_72_z,3,4.0,4.333333333333333,3,2.0,3.0,0.03006501339783102,0.02796525535643657,0.0,2.0,1,2,0,early_train|late_train|mid_train,,,,,,10000.0,10000.0,-inf,0.0,2,True,1.0,14
96,volatility_168_sqrt_z,3,10.0,9.333333333333334,6,6.0,10.0,0.02235788076494133,0.023006740675536947,0.0,2.0,2,1,0,early_train|late_train|mid_train,6.0,4.0,0.008260241131441859,0.0,2.0,6.0,4.0,0.008260241131441859,2.0,3,True,1.0,14
