feature,global_appearance_count,n_z_windows_seen,z_windows_seen,median_union_rank_global,mean_union_rank_global,median_best_hie_norm_global,mean_best_hie_norm_global,n_entry_source_global,n_exit_source_global,n_both_tie_source_global,n_z_windows_stable_ge2,z_windows_stable_ge2,global_stable_hie_rank,stability_top_k
ret_accel_72_168_z,7,4,24|48|72|96,3.0,3.142857142857143,0.03636900851020625,0.034202533948519236,0,3,4,3,48|72|96,1,7
ema_spread_100_200_z,6,4,24|48|72|96,4.0,4.333333333333333,0.023104513104020175,0.024232436201856628,1,5,0,2,72|96,2,7
MOM_pct_72_z,6,4,24|48|72|96,2.0,2.3333333333333335,0.03354007702140757,0.034345171541607655,1,4,1,1,96,3,7
log_ret_72_z,6,4,24|48|72|96,2.5,3.0,0.03341922270235037,0.03440438407222193,1,4,1,1,96,4,7
ADX_30_scaled,5,4,24|48|72|96,4.0,4.2,0.017176907089663407,0.019749832698322478,5,0,0,1,24,5,7
RSI_72_bounded,4,3,24|48|72,3.5,3.5,0.01764777879449292,0.016058048391496438,3,0,1,1,48,6,7
volatility_168_sqrt_z,4,3,48|72|96,5.5,4.75,0.026453201918201608,0.027772683616957422,1,3,0,1,72,7,7
price_pos_in_range_168_norm,4,4,24|48|72|96,1.0,1.75,0.02627461648395668,0.026366626385721306,0,4,0,0,,8,7
ADX_72_scaled,4,4,24|48|72|96,1.5,1.75,0.023763737476671876,0.024145052055944694,1,1,2,0,,9,7
ema_spread_50_100_z,3,2,24|48,6.0,5.666666666666667,0.022805065982765438,0.025671230022810392,1,2,0,1,48,10,7
ret_accel_24_72_z,3,3,24|48|72,4.0,4.333333333333333,0.036178150239206286,0.03603690085870672,3,0,0,0,,11,7
price_pos_in_range_72_norm,3,3,24|48|72,7.0,6.666666666666667,0.025517922040762975,0.023406641705596126,0,3,0,0,,12,7
dist_to_high_24_sqrt_z,2,1,24,5.0,5.0,0.013873602126452278,0.013873602126452278,2,0,0,1,24,13,7
dist_to_high_168_sqrt_z,2,2,72|96,3.5,3.5,0.022425155225079096,0.022425155225079096,0,2,0,0,,14,7
dist_ema_9_z,2,2,72|96,3.5,3.5,0.017175748203360125,0.017175748203360125,2,0,0,0,,15,7
ema_slope_200_z,2,2,48|72,4.0,4.0,0.017826841574606234,0.017826841574606234,2,0,0,0,,16,7
bb_width_20_sqrt_z,2,2,48|96,4.5,4.5,0.020481260428708625,0.020481260428708625,1,1,0,0,,17,7
dist_to_low_24_sqrt_z,2,2,24|72,5.5,5.5,0.02120272176218438,0.02120272176218438,2,0,0,0,,18,7
log_ret_168_z,2,2,24|48,5.5,5.5,0.01425850261338793,0.01425850261338793,1,1,0,0,,19,7
RSI_30_bounded,2,2,24|96,6.0,6.0,0.015838347550756526,0.015838347550756526,1,1,0,0,,20,7
volatility_72_sqrt_z,1,1,96,1.0,1.0,0.03226722895124001,0.03226722895124001,1,0,0,0,,21,7
dist_to_high_72_sqrt_z,1,1,24,2.0,2.0,0.02072485150603165,0.02072485150603165,1,0,0,0,,22,7
log_ret_6_z,1,1,72,3.0,3.0,0.02283212118494904,0.02283212118494904,0,1,0,0,,23,7
MOM_pct_14_z,1,1,72,3.0,3.0,0.02069066605258829,0.02069066605258829,0,1,0,0,,24,7
ema_spread_9_21_z,1,1,24,5.0,5.0,0.02550175379130115,0.02550175379130115,0,1,0,0,,25,7
ema_slope_100_z,1,1,72,5.0,5.0,0.018321113607148498,0.018321113607148498,0,1,0,0,,26,7
MACD_hist_pct_z,1,1,96,6.0,6.0,0.031059840834813113,0.031059840834813113,1,0,0,0,,27,7
price_pos_in_range_24_norm,1,1,24,6.0,6.0,0.030894198539293427,0.030894198539293427,0,0,1,0,,28,7
dist_ema_50_z,1,1,48,6.0,6.0,0.01760925393938184,0.01760925393938184,1,0,0,0,,29,7
bb_pos_20_norm,1,1,24,6.0,6.0,0.017450986639411914,0.017450986639411914,0,1,0,0,,30,7
ema_spread_21_50_z,1,1,48,6.0,6.0,0.013387669212129527,0.013387669212129527,1,0,0,0,,31,7
dist_ema_21_z,1,1,96,7.0,7.0,0.020279397622752937,0.020279397622752937,0,0,1,0,,32,7
RSI_14_bounded,1,1,48,7.0,7.0,0.014830028944067264,0.014830028944067264,1,0,0,0,,33,7
