feature,global_appearance_count,n_z_windows_seen,z_windows_seen,median_union_rank_global,mean_union_rank_global,median_best_hie_norm_global,mean_best_hie_norm_global,n_entry_source_global,n_exit_source_global,n_both_tie_source_global,n_z_windows_stable_ge2,z_windows_stable_ge2,global_stable_hie_rank,stability_top_k
ADX_30_scaled,12,4,24|48|72|96,10.5,9.5,0.017074201834188507,0.0199270470098578,11,0,1,4,24|48|72|96,1,20
price_pos_in_range_72_norm,10,4,24|48|72|96,11.5,11.2,0.01820231088084251,0.020280221776261757,0,10,0,4,24|48|72|96,2,20
ema_spread_100_200_z,9,4,24|48|72|96,7.0,6.666666666666667,0.02041854510089347,0.022001602249382468,4,5,0,4,24|48|72|96,3,20
RSI_72_bounded,9,4,24|48|72|96,10.0,10.0,0.017351406726651697,0.015478721846701645,6,2,1,4,24|48|72|96,4,20
volatility_168_sqrt_z,9,4,24|48|72|96,10.0,9.444444444444445,0.020381185833696913,0.02093453212818865,6,3,0,3,48|72|96,5,20
price_pos_in_range_168_norm,8,4,24|48|72|96,9.5,9.75,0.025653991586933905,0.025301009072976055,2,6,0,4,24|48|72|96,6,20
dist_to_high_24_sqrt_z,8,4,24|48|72|96,8.5,10.25,0.016829044792149445,0.01723842448442548,5,3,0,3,24|48|96,7,20
dist_to_high_168_sqrt_z,8,4,24|48|72|96,9.0,9.5,0.017255684275903432,0.018746035712654388,1,7,0,3,48|72|96,8,20
RSI_30_bounded,8,4,24|48|72|96,10.0,10.75,0.015341341890430488,0.01594953221180285,5,3,0,3,24|48|72,9,20
bb_width_20_sqrt_z,8,4,24|48|72|96,10.5,11.0,0.01612713553016029,0.015690766235975373,4,4,0,3,24|48|72,10,20
ema_spread_50_100_z,8,4,24|48|72|96,11.0,10.75,0.022543081032510737,0.022723447526370413,2,6,0,3,24|48|96,11,20
ret_accel_72_168_z,7,4,24|48|72|96,3.0,3.142857142857143,0.03636900851020625,0.034202533948519236,0,3,4,3,48|72|96,12,20
MACD_hist_pct_z,7,4,24|48|72|96,12.0,12.285714285714286,0.020500876123169698,0.020458629778364292,2,5,0,3,48|72|96,13,20
MOM_pct_72_z,7,4,24|48|72|96,2.0,4.0,0.0307061158737279,0.03154581627800906,2,4,1,2,72|96,14,20
