seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,trial_number,bandit_name,method_group,set_name,z_window
3142,3,-4.440726310429789,0.5,-5.4215689448152355,-1.4981984072734509,-5.4215689448152355,-6.836725024077555,-6.441488492522307,8.903743167511792,9.78782505100375,0.7565017082958009,604,191,0.5743333333333333,0.40349999999999997,0.4135,0.5865,0.5865,0.5845,4.0,5.645631067961165,4.0,6.0,0.9174757281553398,0.0825242718446602,8.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-2.399409073566652,0.5,-2.7223859828560797,-1.4304783456983678,-2.7223859828560797,-4.118443062545226,-4.45599587654375,7.885738568930956,7.927566958884147,0.8160755236412808,620,185,0.5870000000000001,0.41383333333333333,0.4325,0.5675,0.5675,0.5645,4.0,5.305555555555555,4.0,5.0,0.9305555555555556,0.06944444444444445,7.0,0,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.339157027885399,0.5,-3.862891665520055,-1.7679531149814316,-3.862891665520055,-5.58264499346753,-6.197126500748751,8.89210116850444,9.103428574356231,0.7643770078655465,537,169,0.5063333333333334,0.3578333333333334,0.364,0.636,0.636,0.6325,4.0,5.65934065934066,4.0,6.0,0.8816568047337278,0.11834319526627218,8.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-4.947479145001346,0.5,-5.851293650778469,-2.2360356276699744,-5.851293650778469,-7.943642522945127,-7.481064298501961,10.648091634742606,12.088449820022484,0.6589729265280192,511,140,0.5191666666666667,0.3406666666666667,0.344,0.656,0.656,0.6535,4.0,6.0523255813953485,4.0,6.0,0.8546511627906976,0.14534883720930233,8.0,1,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.6705958843700373,0.5,-4.514436645451925,-1.139073601124374,-4.514436645451925,-5.56240903103861,-3.1374896097988714,7.270899065132685,12.616891877612634,0.8238197455523445,538,164,0.5543333333333335,0.3586666666666667,0.366,0.634,0.634,0.631,4.0,6.0109289617486334,4.0,6.0,0.8797814207650273,0.12021857923497267,9.0,2,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-4.881324786738872,0.5,-5.950845376657483,-1.6727630169830363,-5.950845376657483,-7.521968200132046,-5.934686218258944,9.897336314909245,14.7908254310803,0.7423097200927771,548,177,0.556,0.3655,0.357,0.643,0.643,0.641,4.0,5.917098445595855,4.0,6.0,0.864406779661017,0.13559322033898305,8.0,2,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-2.62198824275963,0.5,-3.372282464970496,-0.3711055761270325,-3.372282464970496,-3.701903385634297,-2.5030671485766764,7.135216523734533,11.227211356507883,0.8170119252040862,449,147,0.5216666666666666,0.29983333333333334,0.2955,0.7045,0.7045,0.701,4.0,6.741496598639456,4.0,7.0,0.8299319727891157,0.17006802721088435,10.0,3,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-3.8048235760063096,0.5,-4.296898317356746,-2.3285993519550003,-4.296898317356746,-6.498774881865507,-4.29737525211017,8.052647447109273,13.148526376731272,0.7057446596436288,507,155,0.5031666666666667,0.338,0.33599999999999997,0.664,0.664,0.662,4.0,6.032258064516129,4.0,6.0,0.875,0.125,8.0,3,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.872560918060084,0.5,-4.725978205745517,-1.3123090550037835,-4.725978205745517,-5.972336246901196,-6.759372324495738,9.071053653725825,10.887053325496632,0.6815362167218143,449,128,0.507,0.29950000000000004,0.3045,0.6955,0.6955,0.691,4.0,6.427631578947368,4.0,7.0,0.8092105263157895,0.19078947368421054,9.5,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-3.1188028315387744,0.5,-4.227178876069067,0.20632530205210534,-4.227178876069067,-4.033103320118566,-3.645990939843391,7.959342516883517,9.413917202296773,0.8044649174919206,443,126,0.5139999999999999,0.29516666666666663,0.274,0.726,0.726,0.721,4.0,7.218978102189781,4.0,8.0,0.7737226277372263,0.22627737226277372,10.0,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
