trial_number,study_name,bandit_name,method_group,set_name,z_window,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,objective_metric_name,constraints_values,cv_min_symbol_trades,cv_finite_objective,observed_dro_minimax_median,observed_dro_pure_min_median,dro_alpha,observed_median_max_drawdown_abs,observed_median_profit_factor,observed_median_total_trades,observed_median_min_symbol_trades,n_seeds,seeds_used,dro_minimax_median,dro_minimax_mean,dro_minimax_std,dro_minimax_min,dro_minimax_max,dro_pure_min_median,dro_pure_min_mean,dro_pure_min_std,h1_mean_aggregate_median,h2_mean_aggregate_median,full_mean_aggregate_median,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_min_symbol_trades,median_holding_bars_overall,mean_holding_bars_overall,p25_holding_bars_overall,p75_holding_bars_overall,share_trades_closed_before_horizon_overall,share_trades_closed_after_horizon_overall,median_time_between_entries_overall,forced_singleton_ratio_overall,decision_point_ratio_overall,bandit_consulted_ratio_overall,pending_update_queued_ratio_overall,param_bandit_type,param_reward_clip,param_lambda_prior,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha
33,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,426.0504824666386,-2.367448568562891,True,dro_minimax_median,"[-10.0, 0.0]",-10.0,0.0,-2.367448568562891,-2.8862930377497986,0.5,4.956729525580361,0.6908807297028541,256.0,60.0,1,3142,-2.367448568562891,-2.367448568562891,0.0,-2.367448568562891,-2.367448568562891,-2.8862930377497986,-2.8862930377497986,0.0,-0.8109151610021681,-2.8862930377497986,-3.692228713189053,4.956729525580361,0.6908807297028541,256.0,60.0,4.0,9.131578947368421,4.0,10.0,0.7236842105263158,0.27631578947368424,12.0,0.15149999999999997,0.8485,1.0,0.995,discounted_linucb,0.1,0.5923595981050274,0.9976528603037592,,0.5923595981050274,0.002347139696240818,,0.03163137666127981,0.03163137666127981
34,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,410.5400996067173,-2.723526502060196,True,dro_minimax_median,"[-29.0, 0.0]",-29.0,0.0,-2.723526502060196,-3.7176250438037997,0.5,6.353150378329053,0.7337336675690592,298.0,79.0,1,3142,-2.723526502060196,-2.723526502060196,0.0,-2.723526502060196,-2.723526502060196,-3.7176250438037997,-3.7176250438037997,0.0,0.2587691231706139,-3.7176250438037997,-3.510179834057699,6.353150378329053,0.7337336675690592,298.0,79.0,4.0,7.195876288659794,4.0,7.0,0.8350515463917526,0.16494845360824742,12.0,0.1935,0.8065,1.0,0.995,discounted_linucb,0.1,0.5892087042849204,0.9975641843489638,,0.5892087042849204,0.0024358156510361937,,0.026244388361755727,0.026244388361755727
35,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,417.841979326583,-2.2032071262912494,True,dro_minimax_median,"[-23.0, 0.0]",-23.0,0.0,-2.2032071262912494,-3.0970628139296816,0.5,6.462949720257116,0.7797089166004652,274.0,73.0,1,3142,-2.2032071262912494,-2.2032071262912494,0.0,-2.2032071262912494,-2.2032071262912494,-3.0970628139296816,-3.0970628139296816,0.0,0.47835993662404724,-3.0970628139296816,-2.6294698703648938,6.462949720257116,0.7797089166004652,274.0,73.0,5.0,9.647058823529411,4.0,11.0,0.7058823529411765,0.29411764705882354,13.0,0.16949999999999998,0.8305,1.0,0.995,discounted_linucb,0.1,0.6472036365710583,0.9976067507587159,,0.6472036365710583,0.002393249241284121,,0.05519832801703876,0.05519832801703876
36,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,429.52015246267007,-3.888478500633668,True,dro_minimax_median,"[-41.0, 0.0]",-41.0,0.0,-3.888478500633668,-4.716504352106902,0.5,8.505298485107815,0.5816196415968358,378.0,91.0,1,3142,-3.888478500633668,-3.888478500633668,0.0,-3.888478500633668,-3.888478500633668,-4.716504352106902,-4.716504352106902,0.0,-1.4044009462139648,-4.716504352106902,-6.031046098216737,8.505298485107815,0.5816196415968358,378.0,91.0,4.0,8.007874015748031,4.0,8.0,0.7874015748031497,0.2125984251968504,11.0,0.25349999999999995,0.7465,1.0,0.995,discounted_linucb,0.1,0.5522737267099072,0.99767182053213,,0.5522737267099072,0.0023281794678700453,,0.09415814546404437,0.09415814546404437
37,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,342.3142660723843,-4.3825661433645395,True,dro_minimax_median,"[-41.0, 0.0]",-41.0,0.0,-4.3825661433645395,-6.005918364586897,0.5,9.182542616868572,0.58779842474929,335.0,91.0,1,3142,-4.3825661433645395,-4.3825661433645395,0.0,-4.3825661433645395,-4.3825661433645395,-6.005918364586897,-6.005918364586897,0.0,0.4874905203025322,-6.005918364586897,-5.556410041584488,9.182542616868572,0.58779842474929,335.0,91.0,4.0,8.311111111111112,4.0,6.5,0.8074074074074075,0.1925925925925926,9.0,0.21950000000000003,0.7805,1.0,0.995,discounted_linucb,0.1,29.71201700244752,0.997078707786638,,29.71201700244752,0.002921292213362046,,0.007402668278370525,0.007402668278370525
38,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,237.41840647386928,-3.9963855645391178,True,dro_minimax_median,"[-59.0, 0.0]",-59.0,0.0,-3.9963855645391178,-4.613424333360642,0.5,8.85176623474868,0.6267290510310195,372.0,109.0,1,3142,-3.9963855645391178,-3.9963855645391178,0.0,-3.9963855645391178,-3.9963855645391178,-4.613424333360642,-4.613424333360642,0.0,-2.1452692580745447,-4.613424333360642,-6.661206421881716,8.85176623474868,0.6267290510310195,372.0,109.0,4.0,6.612903225806452,4.0,5.0,0.8705035971223022,0.12949640287769784,10.0,0.24950000000000006,0.7505,1.0,0.995,discounted_linucb,0.1,7.68503308526443,0.9957880266536535,,7.68503308526443,0.004211973346346514,,0.01555082616998789,0.01555082616998789
39,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,319.7988229987273,-2.9610739019523438,True,dro_minimax_median,"[-36.0, 0.0]",-36.0,0.0,-2.9610739019523438,-3.6886218027077553,0.5,7.4815411950798545,0.7163467089436276,338.0,86.0,1,3142,-2.9610739019523438,-2.9610739019523438,0.0,-2.9610739019523438,-2.9610739019523438,-3.6886218027077553,-3.6886218027077553,0.0,-0.7784301996861087,-3.6886218027077553,-4.472272266282884,7.4815411950798545,0.7163467089436276,338.0,86.0,4.0,6.848837209302325,4.0,7.0,0.8446601941747572,0.1553398058252427,9.0,0.20750000000000002,0.7925,1.0,0.995,discounted_linucb,0.1,0.9716541283054437,0.9968730341449569,,0.9716541283054437,0.003126965855043124,,0.007929171343196555,0.007929171343196555
40,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,325.11090949543154,-3.0408905125483825,True,dro_minimax_median,"[-51.0, 0.0]",-51.0,0.0,-3.0408905125483825,-3.823720813848915,0.5,8.35715917531813,0.639150783078021,354.0,101.0,1,3142,-3.0408905125483825,-3.0408905125483825,0.0,-3.0408905125483825,-3.0408905125483825,-3.823720813848915,-3.823720813848915,0.0,-0.692399608646784,-3.823720813848915,-4.484853082940983,8.35715917531813,0.639150783078021,354.0,101.0,4.0,7.6434108527131785,4.0,7.0,0.8294573643410853,0.17054263565891473,9.5,0.24750000000000005,0.7525,1.0,0.995,discounted_linucb,0.1,0.6150386192576726,0.9969241265955917,,0.6150386192576726,0.003075873404408325,,0.05706633296276612,0.05706633296276612
41,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,443.23693394380354,-2.050895049654508,True,dro_minimax_median,"[-21.0, 0.0]",-21.0,0.0,-2.050895049654508,-2.4064553488205207,0.5,4.9068048057892995,0.7061771434473127,224.0,71.0,1,3142,-2.050895049654508,-2.050895049654508,0.0,-2.050895049654508,-2.050895049654508,-2.4064553488205207,-2.4064553488205207,0.0,-0.9842141521564707,-2.4064553488205207,-3.3762612582654783,4.9068048057892995,0.7061771434473127,224.0,71.0,4.0,8.52,4.0,7.0,0.8,0.2,13.5,0.14949999999999997,0.8505,1.0,0.995,discounted_linucb,0.1,0.6688590360760703,0.9977438703243833,,0.6688590360760703,0.0022561296756167582,,0.015220559002672834,0.015220559002672834
42,discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,10,MOM_pct_14_z|vol_expansion_72_log1p_z|MACD_hist_pct_z|vol_ratio_72_log1p_z|ema_spread_9_21_z|ema_spread_100_200_z|ADX_72_scaled|ema_spread_50_100_z|ADX_30_scaled|dist_to_high_168_sqrt_z,431.52983069276235,-3.232776784742195,True,dro_minimax_median,"[-26.0, 0.0]",-26.0,0.0,-3.232776784742195,-4.07230885865908,0.5,6.837288596848556,0.6888439072106844,309.0,76.0,1,3142,-3.232776784742195,-3.232776784742195,0.0,-3.232776784742195,-3.232776784742195,-4.07230885865908,-4.07230885865908,0.0,-0.7141805629915399,-4.07230885865908,-4.780426463010438,6.837288596848556,0.6888439072106844,309.0,76.0,4.0,7.427586206896552,4.0,7.0,0.7954545454545454,0.20454545454545456,11.0,0.1755,0.8245,1.0,0.995,discounted_linucb,0.1,1.1883662621306796,0.9976826631002667,,1.1883662621306796,0.002317336899733296,,0.014975105128949584,0.014975105128949584
