seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,confirmation_seed,original_trial_number,confirmation_rank,bandit_name,method_group,set_name,z_window
8000,3,-2.7354930262912944,0.5,-3.474427198539317,-0.5186905095472261,-3.474427198539317,-3.9134091600987317,-7.343527771239522,10.03448714031504,10.532849693986657,0.696996889419164,409,97,0.5313333333333333,0.14083333333333334,0.30000000000000004,0.7,1.0,0.995,4.0,6.426666666666667,4.0,6.0,0.8641975308641975,0.13580246913580246,9.0,8000,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8001,3,-2.7852025711187185,0.5,-3.9455748176062677,0.6959141683439288,-3.9455748176062677,-3.252788452384236,-5.790511154912636,9.162282308226533,9.37328305509083,0.7498606309382267,404,95,0.5379999999999999,0.13283333333333333,0.29400000000000004,0.706,1.0,0.995,4.0,6.700680272108843,4.0,6.5,0.8503401360544217,0.14965986394557823,9.0,8001,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8002,3,-2.6122078163834983,0.5,-3.797705791549788,0.9442861091153701,-3.797705791549788,-2.8636235292536782,-4.7266601081520365,8.587160753429423,9.490012867679553,0.7333144453544712,396,94,0.5408333333333334,0.13433333333333333,0.28,0.72,1.0,0.995,4.0,7.292857142857143,4.0,7.0,0.8214285714285714,0.17857142857142858,10.0,8002,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8003,3,-2.3946898441893296,0.5,-3.3603984194099676,0.5024358814725849,-3.3603984194099676,-2.827819945813451,-5.174299680011584,8.796641209284795,9.513500387356032,0.7383580554549785,411,95,0.5415,0.14233333333333334,0.30600000000000005,0.694,1.0,0.995,4.0,6.343558282208589,4.0,6.0,0.8466257668711656,0.15337423312883436,8.0,8003,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8004,3,-3.1235520266579497,0.5,-4.094404867068476,-0.2109935054263712,-4.094404867068476,-4.267251561565011,-7.044576202803743,9.224641143292455,9.818726285596757,0.7220246398367206,423,92,0.5411666666666667,0.14966666666666667,0.3315,0.6685,1.0,0.995,4.0,6.198795180722891,4.0,6.0,0.8554216867469879,0.14457831325301204,9.0,8004,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8005,3,-2.5565353771093315,0.5,-3.512449380197166,0.31120663215417066,-3.512449380197166,-3.1871400549505844,-3.0833812075522937,7.979557537185866,10.081689821967622,0.810770574869528,415,103,0.5276666666666666,0.14233333333333334,0.29600000000000004,0.704,1.0,0.995,4.0,6.695945945945946,4.0,6.0,0.8581081081081081,0.14189189189189189,9.0,8005,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8006,3,-2.681561138482879,0.5,-3.889700276372391,0.9428562751856587,-3.889700276372391,-2.979701743159849,-4.125906060079576,7.864231804961419,10.284814813625998,0.7640111462319046,393,95,0.5378333333333334,0.13183333333333333,0.28600000000000003,0.714,1.0,0.995,4.0,6.881118881118881,4.0,6.5,0.832258064516129,0.16774193548387098,9.0,8006,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8007,3,-2.691948631157777,0.5,-4.098917142891334,1.5289569040428923,-4.098917142891334,-2.611775084694512,-4.283823616470006,9.449648193820881,9.702698385726794,0.754608597882702,404,95,0.5441666666666666,0.13483333333333333,0.29200000000000004,0.708,1.0,0.995,4.0,7.075342465753424,4.0,6.75,0.8287671232876712,0.17123287671232876,9.0,8007,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8008,3,-2.9524529865736824,0.5,-4.302801852210269,1.0985936103360776,-4.302801852210269,-3.193748531676795,-6.656280899999867,9.639373573923383,10.394930982924988,0.7239637861372115,406,94,0.5526666666666666,0.1376666666666667,0.30800000000000005,0.692,1.0,0.995,4.0,6.6645569620253164,4.0,7.0,0.8227848101265823,0.17721518987341772,9.0,8008,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8009,3,-2.9635157308990445,0.5,-4.226020922175889,0.8239998429314888,-4.226020922175889,-3.399967234689353,-5.201059923486406,8.916190828309812,11.120522359548236,0.7218413724953111,408,92,0.5301666666666667,0.14483333333333334,0.29600000000000004,0.704,1.0,0.995,4.0,6.398648648648648,4.0,6.0,0.8648648648648649,0.13513513513513514,9.0,8009,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8010,3,-2.301862596958488,0.5,-3.020119251921427,-0.1470926320696712,-3.020119251921427,-3.1015720428145745,-6.108356577004004,9.147457193856734,9.744325518347674,0.7081199526444872,410,94,0.5336666666666666,0.14683333333333334,0.30600000000000005,0.694,1.0,0.995,4.0,6.359477124183006,4.0,6.0,0.8711656441717791,0.12883435582822086,9.0,8010,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8011,3,-2.2402486177121714,0.5,-3.2675035865696866,0.8415162888603741,-3.2675035865696866,-2.447087640124438,-3.4228217993144905,8.195696080513581,8.636405777399247,0.784475888277542,394,94,0.5341666666666667,0.13249999999999998,0.27,0.73,1.0,0.995,4.0,7.266666666666667,4.0,6.5,0.8074074074074075,0.1925925925925926,9.5,8011,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
8012,3,-2.2379321456737227,0.5,-3.0789416818386535,0.2850964628210699,-3.0789416818386535,-2.764955501623815,-4.811685740412175,8.439336507275952,8.727562115069954,0.786544732231668,421,94,0.5301666666666667,0.15383333333333335,0.32399999999999995,0.676,1.0,0.995,4.0,6.006172839506172,4.0,6.0,0.8606060606060606,0.1393939393939394,9.0,8012,41,1,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48
