bandit_name,method_group,set_name,z_window,original_trial_number,confirmation_rank_by_main_dro,original_objective_score,confirmation_objective_score,confirmation_feasible,confirmation_complete,n_confirmation_seeds_expected,n_confirmation_seeds_used,n_confirmation_seeds_missing,memory_horizon_bars,n_confirmation_seeds,confirmation_n_seeds,confirmation_seeds_used,confirmation_dro_alpha,confirmation_dro_minimax_median,confirmation_dro_minimax_mean,confirmation_dro_minimax_std,confirmation_dro_minimax_min,confirmation_dro_minimax_max,confirmation_dro_pure_min_median,confirmation_dro_pure_min_mean,confirmation_dro_pure_min_std,confirmation_h1_mean_aggregate_median,confirmation_h2_mean_aggregate_median,confirmation_full_mean_aggregate_median,confirmation_median_max_drawdown_abs,confirmation_median_profit_factor,confirmation_median_total_trades,confirmation_median_min_symbol_trades,confirmation_median_holding_bars_overall,confirmation_mean_holding_bars_overall,confirmation_p25_holding_bars_overall,confirmation_p75_holding_bars_overall,confirmation_share_trades_closed_before_horizon_overall,confirmation_share_trades_closed_after_horizon_overall,confirmation_median_time_between_entries_overall,confirmation_forced_singleton_ratio_overall,confirmation_decision_point_ratio_overall,confirmation_bandit_consulted_ratio_overall,confirmation_pending_update_queued_ratio_overall,param_bandit_type,param_lambda_prior,param_reward_clip,param_discount_factor,param_noise_std
discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,41,1,-2.1004449023106986,-2.677238525508637,True,True,25,25,0,441.3620095863123,25,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,0.5,-2.677238525508637,-2.616007557573263,0.384002052442189,-3.367329383092371,-1.7831202143995073,-3.6941047704009264,-3.66171190016669,0.5016626641953654,0.6325739173704418,-3.6941047704009264,-3.164653884765615,8.796641209284795,0.7456071122996243,409.0,95.0,4.0,6.543624161073826,4.0,6.0,0.8551724137931035,0.14482758620689656,9.0,0.30000000000000004,0.7,1.0,0.995,discounted_lints,0.5993939882325746,0.1,0.9977342861907456,0.0025940445198464
discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,14,2,-2.238763111301713,-2.5614804831778213,True,True,25,25,0,449.1673104242655,25,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,0.5,-2.5614804831778213,-2.709529994290414,0.4382351761825688,-3.532134296037862,-2.0280060653645355,-3.800624933165164,-3.794474293368357,0.49516688856984714,0.6037974430889492,-3.800624933165164,-3.0851030904558434,8.645161552523039,0.7435808738476014,409.0,94.0,4.0,6.5608108108108105,4.0,6.0,0.8525641025641025,0.14743589743589744,9.0,0.30000000000000004,0.7,1.0,0.995,discounted_lints,0.7890133017610734,0.1,0.9977736581073644,0.0028973262654707
discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,40,3,-2.343976971676416,-2.54726209987108,True,True,25,25,0,447.1080146910576,25,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,0.5,-2.54726209987108,-2.606871087108262,0.5853743743624931,-3.926450623036825,-1.1925999366461466,-3.5641982560097873,-3.6301566167128594,0.7265985623910265,0.5016384667199411,-3.5641982560097873,-3.0499281539249523,8.64032778402506,0.7461716744832777,408.0,95.0,4.0,6.52317880794702,4.0,6.0,0.8509316770186336,0.14906832298136646,9.0,0.30600000000000005,0.694,1.0,0.995,discounted_lints,0.60425844975987,0.1,0.9977634039937956,0.0031120036514668
discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,48,1,-0.937278861589244,-1.429915971392533,True,True,25,25,0,448.91388411867774,25,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,0.5,-1.429915971392533,-1.6722253326970966,0.9812837552383556,-3.450449837714695,0.0784986304459954,-1.8614911333899735,-2.0377344789786047,1.215145510432678,-0.6733369169015865,-1.8614911333899735,-2.2669428441695985,4.229126853811483,0.7448210344295746,238.0,52.0,4.0,7.818181818181818,4.0,7.5,0.8117647058823529,0.18823529411764706,13.0,0.13349999999999995,0.8665,1.0,0.995,discounted_lints,0.7037482181058047,0.1,0.9977724012658614,0.002807663202998
discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,44,2,-0.9706657293931118,-1.1051733039695404,True,True,25,25,0,449.42550053126655,25,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,0.5,-1.1051733039695404,-1.3916316659684533,0.893284536551663,-3.4981457948420362,-0.07757542075865854,-1.3916307687066347,-1.693888297517005,1.0118565352072737,-0.8333274438334315,-1.3916307687066347,-1.804935719902993,4.291888234769681,0.7794379928136143,189.0,51.0,4.0,7.3428571428571425,4.0,7.0,0.8192771084337349,0.18072289156626506,13.0,0.11950000000000005,0.8805,1.0,0.995,discounted_lints,0.6589189740952492,0.1,0.9977749371167904,0.0022048611431712
discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,35,3,-1.0914665836418296,-1.7128448391227291,True,True,25,25,0,432.9326380692436,25,25,8000|8001|8002|8003|8004|8005|8006|8007|8008|8009|8010|8011|8012|8013|8014|8015|8016|8017|8018|8019|8020|8021|8022|8023|8024,0.5,-1.7128448391227291,-1.747298219928921,1.0003525488201686,-3.8844351179578482,0.2284732978889768,-1.900884772629256,-2.1838709111973698,1.3293684600065108,-0.4738972091605416,-1.900884772629256,-2.8036884891472895,4.879715855844657,0.7723768342236312,218.0,53.0,4.0,7.453125,4.0,8.0,0.796875,0.203125,12.5,0.14149999999999996,0.8585,1.0,0.995,discounted_lints,0.5940850315433923,0.1,0.9976901718372176,0.0045428349235131
