study_name,bandit_name,method_group,set_name,z_window,best_trial_number,best_objective_score,best_is_fallback_infeasible,best_is_feasible,n_completed_trials,n_feasible_trials,feasible_share,best_param_lambda_prior,best_param_one_minus_gamma,best_param_noise_std,best_metric_memory_horizon_bars,best_metric_dro_minimax_median,best_metric_dro_minimax_mean,best_metric_dro_minimax_std,best_metric_h1_mean_aggregate_median,best_metric_h2_mean_aggregate_median,best_metric_full_mean_aggregate_median,best_metric_median_max_drawdown_abs,best_metric_median_profit_factor,best_metric_median_total_trades,best_metric_median_min_symbol_trades,best_metric_median_holding_bars_overall,best_metric_mean_holding_bars_overall,best_metric_p25_holding_bars_overall,best_metric_p75_holding_bars_overall,best_metric_share_trades_closed_before_horizon_overall,best_metric_share_trades_closed_after_horizon_overall,best_metric_median_time_between_entries_overall,best_metric_forced_singleton_ratio_overall,best_metric_decision_point_ratio_overall,best_metric_bandit_consulted_ratio_overall,best_metric_pending_update_queued_ratio_overall,best_param_ucb_alpha
discounted_lints__corr__z48_a0p5_corr_pruned_top10,discounted_lints,corr,z48_a0p5_corr_pruned_top10,48,41,-2.1004449023106986,False,True,50,50,1.0,0.5993939882325746,0.002265713809254495,0.00259404451984641,441.36200958630235,-2.1004449023106986,-2.2227413076933376,0.23895879160473799,0.8551918091416236,-3.1782976298454577,-2.6289365127694677,7.990496930022251,0.7804922660928212,406.0,94.0,4.0,6.622516556291391,4.0,6.0,0.852760736196319,0.147239263803681,9.0,0.30200000000000005,0.698,1.0,0.995,
discounted_lints__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_lints,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,48,-0.937278861589244,False,True,50,46,0.92,0.7037482181058047,0.0022275987341386122,0.0028076632029980456,448.9138841186714,-0.937278861589244,-1.2387086002347378,0.6528149434471421,-0.3644476786171598,-1.3538825900761793,-1.425038294302805,4.978167014066592,0.8606622562107833,244.0,63.0,4.0,7.454545454545454,4.0,6.0,0.8253968253968254,0.1746031746031746,12.0,0.138,0.862,1.0,0.995,
discounted_linucb__corr__z48_a0p5_corr_pruned_top10,discounted_linucb,corr,z48_a0p5_corr_pruned_top10,48,22,-2.0303385681780513,False,True,50,50,1.0,0.8138243181666224,0.002507817986292505,,398.75302173678676,-2.0303385681780513,-2.0303385681780513,0.0,0.4278865294465158,-2.849746934052907,-2.4010233367373957,7.758730332058505,0.7517538138101527,415.0,94.0,4.0,6.5256410256410255,4.0,6.0,0.8653846153846154,0.1346153846153846,8.0,0.31200000000000006,0.688,1.0,0.995,0.009631185144734327
discounted_linucb__hybrid__z72_a0p5_hybrid_corr5_bsstablehie5_top10,discounted_linucb,hybrid,z72_a0p5_hybrid_corr5_bsstablehie5_top10,72,8,-1.0937349678553465,False,True,50,49,0.98,0.6439637565109974,0.002326440398553068,,429.8412289530181,-1.0937349678553465,-1.0937349678553465,0.0,0.33560032745163876,-1.5701800662910081,-1.2666332243196725,3.899745450854053,0.7977228108972134,226.0,70.0,4.0,8.657142857142857,4.0,6.0,0.8428571428571429,0.15714285714285714,12.0,0.14549999999999996,0.8545,1.0,0.995,0.01849983452420057
