bandit_name,method_group,set_name,confirmation_rank,original_trial_number,confirmation_seed,symbol,mode,n_decisions,return_pct,drawdown_abs,trades,profit_factor,is_active,executed_action_1_ratio,constraint_applied_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio,median_time_between_entries,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,BTCUSDT,val_first,,2.148577144184949,2.3960660309200854,55,1.2540854387158393,True,,,,,,,12.5,6.0,10.927272727272728,4.0,14.5,0.6545454545454545,0.34545454545454546
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,BTCUSDT,val_second,,0.47838391967292004,2.8376812470623403,39,1.1452912328104752,True,,,,,,,19.0,8.0,15.461538461538462,4.0,23.5,0.5641025641025641,0.4358974358974359
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,ETHUSDT,val,2000.0,-4.7266601081520365,8.587160753429423,140,0.7333144453544712,True,0.5105,0.1465,0.28,0.72,1.0,0.995,10.0,4.0,7.292857142857143,4.0,7.0,0.8214285714285714,0.17857142857142858
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,ETHUSDT,val_first,,1.300710128837057,2.99118817591133,67,1.0919180361587622,True,,,,,,,13.0,4.0,7.746268656716418,4.0,9.0,0.7761194029850746,0.22388059701492538
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,ETHUSDT,val_second,,-5.949978267006539,8.210304366868314,72,0.5005870271609546,True,,,,,,,9.0,4.0,6.708333333333333,4.0,6.0,0.875,0.125
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,SOLUSDT,val,2000.0,-6.5014499910264085,9.490012867679553,162,0.7304648464618344,True,0.4985,0.1975,0.3255,0.6745,1.0,0.995,8.0,4.0,6.12962962962963,4.0,5.0,0.8765432098765432,0.12345679012345678
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,SOLUSDT,val_first,,-0.6164289456758953,4.802688787987641,84,0.8845126152006463,True,,,,,,,9.0,4.0,6.261904761904762,4.0,6.0,0.8690476190476191,0.13095238095238096
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8002,SOLUSDT,val_second,,-5.921523027315745,9.490012867679553,78,0.618396218300119,True,,,,,,,8.0,4.0,5.987179487179487,4.0,5.0,0.8846153846153846,0.11538461538461539
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,BTCUSDT,val,2000.0,3.505008021689937,2.5338223435211638,95,1.2821218278527402,True,0.623,0.0615,0.1915,0.8085,1.0,0.995,15.0,7.0,12.873684210526315,4.0,16.5,0.631578947368421,0.3684210526315789
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,BTCUSDT,val_first,,2.9886316991534434,2.3960660309200854,55,1.3956902239689615,True,,,,,,,12.5,5.0,11.072727272727272,4.0,14.0,0.6727272727272727,0.32727272727272727
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,BTCUSDT,val_second,,0.5013915749894737,2.5338223435211638,40,1.143575753656088,True,,,,,,,17.5,8.0,15.35,5.0,20.0,0.575,0.425
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,ETHUSDT,val,2000.0,-5.174299680011584,8.796641209284795,153,0.7383580554549785,True,0.4825,0.1825,0.30600000000000005,0.694,1.0,0.995,8.0,4.0,6.30718954248366,4.0,6.0,0.8823529411764706,0.11764705882352941
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,ETHUSDT,val_first,,-0.8920380225890145,4.8307190636183055,74,0.8517194773848756,True,,,,,,,10.0,4.0,6.378378378378378,4.0,6.0,0.8648648648648649,0.13513513513513514
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,ETHUSDT,val_second,,-4.320804879832552,8.181707628786473,78,0.6448296571827249,True,,,,,,,8.0,4.0,6.064102564102564,4.0,5.0,0.9102564102564102,0.08974358974358974
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,SOLUSDT,val,2000.0,-6.814168179118707,9.513500387356032,163,0.7291736670208054,True,0.519,0.183,0.3275,0.6725,1.0,0.995,8.0,4.0,6.343558282208589,4.0,6.0,0.8466257668711656,0.15337423312883436
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,SOLUSDT,val_first,,-0.5892860321466742,5.1019492431380264,82,0.8892193779160984,True,,,,,,,9.0,4.0,6.817073170731708,4.0,7.0,0.8170731707317073,0.18292682926829268
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8003,SOLUSDT,val_second,,-6.261781953386825,9.513500387356032,81,0.6139540941684218,True,,,,,,,8.0,4.0,5.864197530864198,4.0,5.0,0.8765432098765432,0.12345679012345678
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,BTCUSDT,val,2000.0,1.3099654113042147,2.8446488871529785,92,1.0994092191405758,True,0.6125,0.0605,0.1855,0.8145,1.0,0.995,16.0,7.0,13.065217391304348,4.0,17.25,0.5869565217391305,0.41304347826086957
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,BTCUSDT,val_first,,1.3396599828332523,2.683631060377678,53,1.1364608341847136,True,,,,,,,12.0,7.0,10.660377358490566,4.0,16.0,0.6226415094339622,0.37735849056603776
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,BTCUSDT,val_second,,-0.029302024038835306,2.8446488871529785,38,0.9802783213715931,True,,,,,,,21.0,8.0,15.526315789473685,4.25,22.5,0.5526315789473685,0.4473684210526316
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,ETHUSDT,val,2000.0,-7.067143893195505,9.224641143292455,165,0.6699804180914621,True,0.4945,0.199,0.3315,0.6685,1.0,0.995,8.0,4.0,5.96969696969697,4.0,5.0,0.8848484848484849,0.11515151515151516
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,ETHUSDT,val_first,,-1.5562792961390848,5.069581777931842,82,0.7956611175925299,True,,,,,,,8.0,4.0,5.878048780487805,4.0,5.75,0.8780487804878049,0.12195121951219512
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,ETHUSDT,val_second,,-5.597984876693407,8.042514264391754,82,0.557154366865369,True,,,,,,,8.0,4.0,5.890243902439025,4.0,5.0,0.9024390243902439,0.0975609756097561
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,SOLUSDT,val,2000.0,-7.044576202803743,9.818726285596757,166,0.7220246398367206,True,0.5165,0.1895,0.3335,0.6665,1.0,0.995,9.0,4.0,6.198795180722891,4.0,6.0,0.8554216867469879,0.14457831325301204
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,SOLUSDT,val_first,,-0.41636120297328105,4.941043198895823,84,0.9060273961448875,True,,,,,,,9.0,4.0,6.630952380952381,4.0,8.0,0.8333333333333334,0.16666666666666666
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8004,SOLUSDT,val_second,,-6.655927700473185,9.818726285596757,82,0.5936289355780476,True,,,,,,,7.0,4.0,5.7560975609756095,4.0,5.0,0.8780487804878049,0.12195121951219512
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,BTCUSDT,val,2000.0,1.0152713782394018,3.0375716079765525,103,1.067940763703223,True,0.591,0.068,0.20750000000000002,0.7925,1.0,0.995,15.0,7.0,11.41747572815534,4.0,15.5,0.6116504854368932,0.3883495145631068
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,BTCUSDT,val_first,,1.3471986654132628,2.1086358641508984,61,1.136062155813033,True,,,,,,,13.0,6.0,9.78688524590164,4.0,14.0,0.639344262295082,0.36065573770491804
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,BTCUSDT,val_second,,-0.32751500933903,3.0375716079765525,42,0.9700501813225749,True,,,,,,,18.5,8.0,13.785714285714286,4.0,19.25,0.5714285714285714,0.42857142857142855
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,ETHUSDT,val,2000.0,-3.0833812075522937,7.979557537185866,148,0.810770574869528,True,0.4955,0.167,0.29600000000000004,0.704,1.0,0.995,9.0,4.0,6.695945945945946,4.0,6.0,0.8581081081081081,0.14189189189189189
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,ETHUSDT,val_first,,1.0123968312853782,3.7545959887030245,69,1.051200437370403,True,,,,,,,12.0,4.0,6.971014492753623,4.0,7.0,0.8260869565217391,0.17391304347826086
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,ETHUSDT,val_second,,-4.0547281000356765,7.745738223463849,78,0.6524921763313397,True,,,,,,,8.0,4.0,6.294871794871795,4.0,5.0,0.8974358974358975,0.10256410256410256
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,SOLUSDT,val,2000.0,-7.493310335538861,10.081689821967622,164,0.698529042228357,True,0.4965,0.192,0.32899999999999996,0.671,1.0,0.995,8.0,4.0,6.036585365853658,4.0,5.25,0.8719512195121951,0.12804878048780488
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,SOLUSDT,val_first,,-1.425975600236129,5.13405064515553,83,0.8285019353082473,True,,,,,,,10.0,4.0,6.421686746987952,4.0,6.5,0.8433734939759037,0.1566265060240964
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8005,SOLUSDT,val_second,,-6.15510503121679,8.932858051427562,81,0.6054811831620567,True,,,,,,,8.0,4.0,5.6419753086419755,4.0,5.0,0.9012345679012346,0.09876543209876543
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,BTCUSDT,val,2000.0,1.3731244559611389,2.9215847445530074,95,1.1089395782371163,True,0.604,0.06,0.1915,0.8085,1.0,0.995,15.0,7.0,12.473684210526315,4.0,17.0,0.631578947368421,0.3684210526315789
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,BTCUSDT,val_first,,1.274705387760111,2.7833647136299655,56,1.1229910799743308,True,,,,,,,11.5,6.0,9.75,4.0,14.25,0.6785714285714286,0.32142857142857145
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,BTCUSDT,val_second,,0.0971803056095899,2.9215847445530074,38,1.0322726300187404,True,,,,,,,18.5,7.5,15.631578947368421,4.0,22.5,0.5789473684210527,0.42105263157894735
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,ETHUSDT,val,2000.0,-4.125906060079576,7.864231804961419,143,0.7640111462319046,True,0.492,0.1625,0.28600000000000003,0.714,1.0,0.995,8.5,4.0,6.881118881118881,4.0,6.0,0.8391608391608392,0.16083916083916083
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,ETHUSDT,val_first,,0.45875899913623286,3.1215898436484646,70,0.9920899997241613,True,,,,,,,10.0,4.0,7.0,4.0,6.75,0.8142857142857143,0.18571428571428572
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,ETHUSDT,val_second,,-4.563728543824852,7.603012272309306,72,0.6209960436817347,True,,,,,,,8.0,4.0,6.597222222222222,4.0,5.0,0.875,0.125
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,SOLUSDT,val,2000.0,-6.186323625361112,10.284814813625998,155,0.7266589138721529,True,0.5175,0.173,0.3115,0.6885,1.0,0.995,9.0,4.0,6.651612903225806,4.0,6.5,0.832258064516129,0.16774193548387098
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,SOLUSDT,val_first,,1.0951044386606323,4.2620913843227415,82,1.0145210725107623,True,,,,,,,9.0,4.0,6.817073170731708,4.0,7.0,0.8170731707317073,0.18292682926829268
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8006,SOLUSDT,val_second,,-7.202552590901911,10.284814813625998,73,0.5339973076750592,True,,,,,,,8.0,4.0,6.465753424657534,4.0,5.0,0.8493150684931506,0.1506849315068493
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,BTCUSDT,val,2000.0,3.1375772636765165,2.458528775977886,95,1.2846751641509015,True,0.599,0.0615,0.1915,0.8085,1.0,0.995,16.0,7.0,12.368421052631579,4.0,17.0,0.6,0.4
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,BTCUSDT,val_first,,2.49847938049903,2.2273590884987593,56,1.3867664249875173,True,,,,,,,13.0,5.0,10.392857142857142,4.0,15.0,0.6428571428571429,0.35714285714285715
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,BTCUSDT,val_second,,0.6235193800339323,2.458528775977886,39,1.1699794369411352,True,,,,,,,23.0,8.0,15.205128205128204,4.0,22.0,0.5384615384615384,0.46153846153846156
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,ETHUSDT,val,2000.0,-4.283823616470006,9.449648193820881,146,0.754608597882702,True,0.5165,0.1575,0.29200000000000004,0.708,1.0,0.995,9.0,4.0,7.075342465753424,4.0,6.75,0.8287671232876712,0.17123287671232876
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,ETHUSDT,val_first,,2.54916467504287,2.5911195366900897,71,1.2755299800382562,True,,,,,,,11.0,4.0,7.169014084507042,4.0,8.0,0.7887323943661971,0.2112676056338028
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,ETHUSDT,val_second,,-6.663134032505469,9.224898375796432,74,0.49238634771838824,True,,,,,,,8.0,4.0,6.824324324324325,4.0,6.0,0.8783783783783784,0.12162162162162163
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,SOLUSDT,val,2000.0,-6.6890789012900465,9.702698385726794,163,0.725532584555269,True,0.517,0.1855,0.3275,0.6725,1.0,0.995,8.0,4.0,6.319018404907975,4.0,6.0,0.8404907975460123,0.15950920245398773
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,SOLUSDT,val_first,,-0.4607733434132233,5.866043721423154,86,0.9021440738457235,True,,,,,,,9.0,4.0,6.453488372093023,4.0,6.75,0.8255813953488372,0.1744186046511628
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8007,SOLUSDT,val_second,,-6.257136776202465,9.702698385726794,77,0.5988150600455573,True,,,,,,,8.0,4.0,6.1688311688311686,4.0,5.0,0.8571428571428571,0.14285714285714285
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,BTCUSDT,val,2000.0,4.078784536658997,2.6569786130105966,94,1.3231161215383758,True,0.633,0.059,0.1895,0.8105,1.0,0.995,15.5,7.5,13.22340425531915,4.0,17.75,0.5957446808510638,0.40425531914893614
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,BTCUSDT,val_first,,3.6173189946493434,2.0376538090955743,53,1.4968919260370819,True,,,,,,,11.0,6.0,11.037735849056604,4.0,14.0,0.6226415094339622,0.37735849056603776
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,BTCUSDT,val_second,,0.4453556089725419,2.6569786130105966,40,1.0623755511806445,True,,,,,,,18.5,8.0,15.275,5.0,21.0,0.575,0.425
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,ETHUSDT,val,2000.0,-6.656280899999867,9.639373573923383,154,0.6792790774301899,True,0.4965,0.1835,0.30800000000000005,0.692,1.0,0.995,9.0,4.0,6.4480519480519485,4.0,6.0,0.8441558441558441,0.15584415584415584
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,ETHUSDT,val_first,,-0.651025559540952,3.8277968330569623,79,0.8798413601633787,True,,,,,,,9.0,4.0,6.379746835443038,4.0,6.0,0.8227848101265823,0.17721518987341772
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,ETHUSDT,val_second,,-6.044607278817892,9.092667441290814,74,0.5341620677107851,True,,,,,,,8.0,4.0,6.351351351351352,4.0,6.0,0.8783783783783784,0.12162162162162163
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,SOLUSDT,val,2000.0,-7.003749231689516,10.394930982924988,158,0.7239637861372115,True,0.5285,0.1705,0.3175,0.6825,1.0,0.995,9.0,4.0,6.6645569620253164,4.0,7.0,0.8227848101265823,0.17721518987341772
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,SOLUSDT,val_first,,0.3294873958998412,5.587263922664865,80,0.9648750143262039,True,,,,,,,9.0,4.0,7.1375,4.0,8.25,0.7875,0.2125
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8008,SOLUSDT,val_second,,-7.309153886785458,10.394930982924988,78,0.5484346984571588,True,,,,,,,8.0,4.0,6.17948717948718,4.0,5.0,0.8589743589743589,0.14102564102564102
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,BTCUSDT,val,2000.0,3.0278233148051115,2.4192275792955797,92,1.2602538337295377,True,0.6085,0.056,0.1855,0.8145,1.0,0.995,16.0,7.0,12.978260869565217,4.0,19.0,0.5652173913043478,0.43478260869565216
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,BTCUSDT,val_first,,2.3147935533736064,1.9465656546451826,54,1.321250608169169,True,,,,,,,11.0,7.0,11.148148148148149,4.0,16.75,0.5925925925925926,0.4074074074074074
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,BTCUSDT,val_second,,0.6968980111947909,2.4192275792955797,38,1.185493727530405,True,,,,,,,21.0,8.5,15.578947368421053,5.0,20.75,0.5263157894736842,0.47368421052631576
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,ETHUSDT,val,2000.0,-5.201059923486406,8.916190828309812,148,0.7218413724953111,True,0.4735,0.1815,0.29600000000000004,0.704,1.0,0.995,9.0,4.0,6.398648648648648,4.0,6.0,0.8648648648648649,0.13513513513513514
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,ETHUSDT,val_first,,0.09808236736481568,4.16090272935109,70,0.9434374991999652,True,,,,,,,10.0,4.0,6.4,4.0,6.0,0.8714285714285714,0.12857142857142856
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,ETHUSDT,val_second,,-5.293949859501912,8.89292717221376,77,0.5678788448919824,True,,,,,,,8.0,4.0,6.220779220779221,4.0,5.0,0.8701298701298701,0.12987012987012986
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,SOLUSDT,val,2000.0,-8.026665095386765,11.120522359548236,168,0.6847184537395661,True,0.5085,0.197,0.3375,0.6625,1.0,0.995,8.0,4.0,6.029761904761905,4.0,5.0,0.875,0.125
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,SOLUSDT,val_first,,0.05912360805604422,4.65973162142711,86,0.9332472470989656,True,,,,,,,9.0,4.0,6.325581395348837,4.0,6.0,0.872093023255814,0.12790697674418605
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8009,SOLUSDT,val_second,,-8.081010918220544,11.120522359548236,82,0.5284366474739693,True,,,,,,,8.0,4.0,5.719512195121951,4.0,5.0,0.8780487804878049,0.12195121951219512
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,BTCUSDT,val,2000.0,3.9267922540643596,2.494262253082702,94,1.318712295667625,True,0.613,0.0655,0.1895,0.8105,1.0,0.995,15.0,7.0,12.797872340425531,4.0,16.0,0.648936170212766,0.35106382978723405
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,BTCUSDT,val_first,,2.99061878455702,2.4153754426226026,54,1.401474497193738,True,,,,,,,12.0,6.0,11.314814814814815,4.0,13.75,0.6666666666666666,0.3333333333333333
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,BTCUSDT,val_second,,0.9089890715830107,2.494262253082702,40,1.2191069031505433,True,,,,,,,23.0,8.0,14.8,4.75,20.25,0.625,0.375
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,ETHUSDT,val,2000.0,-6.108356577004004,9.147457193856734,153,0.6967036817168492,True,0.4865,0.188,0.30600000000000005,0.694,1.0,0.995,8.0,4.0,6.359477124183006,4.0,6.0,0.8823529411764706,0.11764705882352941
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,ETHUSDT,val_first,,-1.8234708854135584,4.824099768868373,74,0.7588457827029156,True,,,,,,,8.0,4.0,6.094594594594595,4.0,5.75,0.8918918918918919,0.10810810810810811
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,ETHUSDT,val_second,,-4.364470541211896,7.506229710367829,78,0.6393299289195093,True,,,,,,,8.0,4.0,6.435897435897436,4.0,6.0,0.8846153846153846,0.11538461538461539
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,SOLUSDT,val,2000.0,-7.1231518055040794,9.744325518347674,163,0.7081199526444872,True,0.5015,0.187,0.3275,0.6725,1.0,0.995,9.0,4.0,6.128834355828221,4.0,6.0,0.8711656441717791,0.12883435582822086
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,SOLUSDT,val_first,,-1.608425795352475,5.929228957343414,83,0.8144431927619996,True,,,,,,,9.5,4.0,6.493975903614458,4.0,7.0,0.8674698795180723,0.13253012048192772
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8010,SOLUSDT,val_second,,-5.604876286135396,8.777569074726744,80,0.626938035444943,True,,,,,,,8.0,4.0,5.75,4.0,5.0,0.875,0.125
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8011,BTCUSDT,val,2000.0,1.6238035693516784,2.756647440961879,94,1.1297581389786218,True,0.608,0.0575,0.1895,0.8105,1.0,0.995,15.0,7.0,12.691489361702128,4.0,17.0,0.6063829787234043,0.39361702127659576
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8011,BTCUSDT,val_first,,1.2206283641678972,2.5958801550943433,58,1.1354022329422107,True,,,,,,,12.0,6.0,10.0,4.0,13.75,0.6551724137931034,0.3448275862068966
discounted_lints,corr,z48_a0p5_corr_pruned_top10,1,41,8011,BTCUSDT,val_second,,0.39831328030612845,2.756647440961879,36,1.1222087208713,True,,,,,,,20.5,8.5,17.02777777777778,4.75,24.25,0.5277777777777778,0.4722222222222222
